category,platform,date,year,week,id_project,project_name,start_price,end_price,performance
General,Polygon,2023-02-18,2023,7,10287,Kommunitas,0.00148034,0.00172922,0.16812353918694364
General,Polygon,2023-02-18,2023,7,16476,Bullieverse,0.00376331,0.00607604,0.6145467686690707
General,Polygon,2023-02-18,2023,7,16037,Sheesha Finance Polygon,0.00302299,0.00292617,-0.032027892913969305
General,Polygon,2023-02-18,2023,7,12382,Fabwelt,0.00264503,0.00590232,1.231475635437027
General,Polygon,2023-02-18,2023,7,13269,Playermon,0.00153386,0.00146462,-0.0451410167811925
General,Polygon,2023-02-18,2023,7,18132,SPORT,0.0494504,0.051779,0.04708960898192937
General,Polygon,2023-02-18,2023,7,16534,Rainbow Token,0.0355116,0.0458315,0.29060644972347066
General,Polygon,2023-02-18,2023,7,12135,Snook,0.0164768,0.0142894,-0.13275636045834138
General,Polygon,2023-02-18,2023,7,13802,IX Token,0.71132,0.715399,0.005734409267277815
General,Polygon,2023-02-18,2023,7,16766,Vault Hill City,0.00311909,0.00377925,0.21165147527003064
General,Polygon,2023-02-25,2023,8,10287,Kommunitas,0.00172922,0.00180574,0.044251165265264014
General,Polygon,2023-02-25,2023,8,16476,Bullieverse,0.00607604,0.00568202,-0.06484815768164794
General,Polygon,2023-02-25,2023,8,12382,Fabwelt,0.00590232,0.00694238,0.17621206576397075
General,Polygon,2023-02-25,2023,8,16037,Sheesha Finance Polygon,0.00292617,0.00276907,-0.053687926538786145
General,Polygon,2023-02-25,2023,8,18132,SPORT,0.051779,0.048892,-0.05575619459626491
General,Polygon,2023-02-25,2023,8,13802,IX Token,0.715399,0.618788,-0.13504491898926332
General,Polygon,2023-02-25,2023,8,12135,Snook,0.0142894,0.0132514,-0.07264125855529278
General,Polygon,2023-02-25,2023,8,16534,Rainbow Token,0.0458315,0.0386458,-0.15678518049812895
General,Polygon,2023-02-25,2023,8,16766,Vault Hill City,0.00377925,0.00378499,0.0015188198716675897
General,Polygon,2023-02-25,2023,8,13269,Playermon,0.00146462,0.0016217,0.10724966202837595
General,Polygon,2023-03-04,2023,9,12260,Gains Network,7.91,7.0,-0.11504424778761063
General,Polygon,2023-03-04,2023,9,12382,Fabwelt,0.00694238,0.00625511,-0.09899630962292462
General,Polygon,2023-02-26,2023,9,17936,Quickswap,0.059868,0.096743,0.615938397808512
General,Polygon,2023-03-04,2023,9,13802,IX Token,0.618788,0.559547,-0.09573715068811933
General,Polygon,2023-03-04,2023,9,10287,Kommunitas,0.00180574,0.00151766,-0.15953570281435855
General,Polygon,2023-03-04,2023,9,13269,Playermon,0.0016217,0.00152891,-0.05721773447616694
General,Polygon,2023-03-04,2023,9,16037,Sheesha Finance Polygon,0.00276907,0.0022825,-0.17571603462534366
General,Polygon,2023-03-04,2023,9,18132,SPORT,0.048892,0.0418306,-0.14442853636586753
General,Polygon,2023-03-04,2023,9,12135,Snook,0.0132514,0.0134581,0.015598351872255055
General,Polygon,2023-03-04,2023,9,18603,Astrafer,1.85,1.76,-0.04864864864864869
General,Polygon,2023-03-11,2023,10,10287,Kommunitas,0.00151766,0.00171535,0.13025974197119244
General,Polygon,2023-03-11,2023,10,16476,Bullieverse,0.00529213,0.00437974,-0.17240506185600124
General,Polygon,2023-03-11,2023,10,12382,Fabwelt,0.00625511,0.00489246,-0.21784588920098927
General,Polygon,2023-03-11,2023,10,18132,SPORT,0.0418306,0.0346055,-0.1727228392612108
General,Polygon,2023-03-11,2023,10,12135,Snook,0.0134581,0.0140466,0.043728312317489
General,Polygon,2023-03-11,2023,10,13802,IX Token,0.559547,0.567569,0.014336597283159365
General,Polygon,2023-03-11,2023,10,16534,Rainbow Token,0.0365285,0.036881,0.009649999315602849
General,Polygon,2023-03-11,2023,10,13269,Playermon,0.00152891,0.00136198,-0.10918235867382646
General,Polygon,2023-03-11,2023,10,16766,Vault Hill City,0.0038067,0.00387298,0.01741140620484927
General,Polygon,2023-03-11,2023,10,13599,Index Coop - ETH 2x Flexible Leverage Index (Polygon),3.41,3.15,-0.07624633431085051
General,Polygon,2023-03-12,2023,11,17936,Quickswap,0.083143,0.075655,-0.09006170092491245
General,Polygon,2023-03-18,2023,11,10287,Kommunitas,0.00171535,0.00177279,0.033485877517707735
General,Polygon,2023-03-18,2023,11,16476,Bullieverse,0.00437974,0.00409007,-0.06613862923369873
General,Polygon,2023-03-18,2023,11,12135,Snook,0.0140466,0.0151134,0.07594720430566838
General,Polygon,2023-03-18,2023,11,12382,Fabwelt,0.00489246,0.00647793,0.3240639678198696
General,Polygon,2023-03-18,2023,11,13802,IX Token,0.567569,0.625702,0.10242455102375217
General,Polygon,2023-03-18,2023,11,18132,SPORT,0.0346055,0.0361136,0.043579777780988725
General,Polygon,2023-03-18,2023,11,16534,Rainbow Token,0.036881,0.0401291,0.08806973780537415
General,Polygon,2023-03-18,2023,11,13269,Playermon,0.00136198,0.00151594,0.1130413075081865
General,Polygon,2023-03-18,2023,11,16766,Vault Hill City,0.00387298,0.00391456,0.010735919111382
General,Polygon,2023-03-25,2023,12,17936,Quickswap,0.075655,0.08241,0.08928689445509215
General,Polygon,2023-03-25,2023,12,12382,Fabwelt,0.00647793,0.00857898,0.32433971963266045
General,Polygon,2023-03-25,2023,12,10287,Kommunitas,0.00177279,0.00174877,-0.013549264154242764
General,Polygon,2023-03-25,2023,12,16476,Bullieverse,0.00409007,0.00348504,-0.14792656360404596
General,Polygon,2023-03-25,2023,12,18132,SPORT,0.0361136,0.0316746,-0.12291768198130358
General,Polygon,2023-03-25,2023,12,12135,Snook,0.0151134,0.0133493,-0.11672423147670286
General,Polygon,2023-03-25,2023,12,13269,Playermon,0.00151594,0.00163076,0.07574178397561913
General,Polygon,2023-03-25,2023,12,13802,IX Token,0.625702,0.538085,-0.14002991839565793
