,id_project,name,top,score,year,week
0,8839,Internet Computer,4Chan,5.00,2024,1
1,376,Bitcoin,4Chan,5.00,2024,1
2,8839,Internet Computer,4Chan,5.00,2024,1
3,376,Bitcoin,4Chan,5.00,2024,1
4,22669,ETF The Token,4Chan,4.15,2024,1
5,22669,ETF The Token,4Chan,4.08,2024,1
6,978,Ethereum,4Chan,3.64,2024,1
7,978,Ethereum,4Chan,3.63,2024,1
8,979,XRP,4Chan,2.55,2024,1
9,979,XRP,4Chan,2.48,2024,1
10,23055,Beam Bridged AVAX (Beam),4Chan,2.32,2024,1
11,23055,Beam Bridged AVAX (Beam),4Chan,2.27,2024,1
12,24402,AICoin,4Chan,2.16,2024,1
13,24402,AICoin,4Chan,2.12,2024,1
14,3747,Solana,4Chan,2.12,2024,1
15,5518,Avalanche,4Chan,1.96,2024,1
16,3747,Solana,4Chan,1.84,2024,1
17,5518,Avalanche,4Chan,1.84,2024,1
18,986,Monero,4Chan,1.48,2024,1
19,986,Monero,4Chan,1.45,2024,1
20,24238,Kenshi,4Chan,1.16,2024,1
21,24238,Kenshi,4Chan,1.14,2024,1
22,345,Binance Coin,4Chan,1.12,2024,1
23,998,Dogecoin,4Chan,1.04,2024,1
24,8580,LinkPool,4Chan,1.02,2024,1
25,21068,Cheelee,4Chan,1.00,2024,1
26,19482,The Big Five,4Chan,1.00,2024,1
27,16945,ApeX,4Chan,1.00,2024,1
28,22525,Myro,4Chan,1.00,2024,1
29,22475,First Digital USD,4Chan,1.00,2024,1
30,376,Bitcoin,4Chan,5.00,2024,2
31,22669,ETF The Token,4Chan,4.33,2024,2
32,978,Ethereum,4Chan,3.99,2024,2
33,8839,Internet Computer,4Chan,3.83,2024,2
34,979,XRP,4Chan,2.70,2024,2
35,23055,Beam Bridged AVAX (Beam),4Chan,2.41,2024,2
36,24402,AICoin,4Chan,2.25,2024,2
37,986,Monero,4Chan,1.46,2024,2
38,24238,Kenshi,4Chan,1.21,2024,2
39,5518,Avalanche,4Chan,1.04,2024,2
40,4688,Polkadot,4Chan,1.00,2024,2
41,22668,Mintra,4Chan,1.00,2024,2
42,12264,Ethereum Name Service,4Chan,1.00,2024,2
43,23383,dYdX,4Chan,1.00,2024,2
44,6583,Staked Ether,4Chan,1.00,2024,2
45,15951,BitTorrent,4Chan,1.00,2024,2
46,24663,Rocky the dog,4Chan,1.00,2024,2
47,18175,Source Protocol,4Chan,1.00,2024,2
48,22712,Hex Orange Address,4Chan,1.00,2024,2
49,22475,First Digital USD,4Chan,1.00,2024,2
50,22484,CryptoPawCoin,4Chan,1.00,2024,2
51,11005,The Three Kingdoms,4Chan,1.00,2024,2
52,17345,Drunk Robots,4Chan,1.00,2024,2
53,18695,Trivians,4Chan,1.00,2024,2
54,10418,The Open Network,4Chan,1.00,2024,2
55,24830,dogwifhat,4Chan,1.00,2024,2
56,19609,KLEVA,4Chan,1.00,2024,2
57,18795,WhiteBIT Token,4Chan,1.00,2024,2
58,22489,Beam,4Chan,1.00,2024,2
59,21068,Cheelee,4Chan,1.00,2024,2
60,8839,Internet Computer,4Chan,5.00,2024,3
61,376,Bitcoin,4Chan,5.00,2024,3
62,24999,ETFSOL2024,4Chan,2.88,2024,3
63,978,Ethereum,4Chan,2.84,2024,3
64,979,XRP,4Chan,2.50,2024,3
65,986,Monero,4Chan,1.84,2024,3
66,18080,Luna Inu,4Chan,1.61,2024,3
67,22970,DuckDAO,4Chan,1.42,2024,3
68,5518,Avalanche,4Chan,1.37,2024,3
69,24842,Any Inu,4Chan,1.32,2024,3
70,24913,Side Eye Cat,4Chan,1.32,2024,3
71,3747,Solana,4Chan,1.23,2024,3
72,24238,Kenshi,4Chan,1.18,2024,3
73,659,ChainLink,4Chan,1.00,2024,3
74,4688,Polkadot,4Chan,1.00,2024,3
75,10418,The Open Network,4Chan,1.00,2024,3
76,6583,Staked Ether,4Chan,1.00,2024,3
77,12550,Sphinxel,4Chan,0.85,2024,3
78,1069,Hedera Hashgraph,4Chan,0.85,2024,3
79,23547,Real World Assets,4Chan,0.80,2024,3
80,22682,VinuChain,4Chan,0.80,2024,3
81,981,Litecoin,4Chan,0.80,2024,3
82,991,Ethereum Classic,4Chan,0.80,2024,3
83,12271,Euphoria,4Chan,0.76,2024,3
84,24369,TrumpCoin,4Chan,0.76,2024,3
85,3127,Everipedia,4Chan,0.61,2024,3
86,19154,Internet Money,4Chan,0.57,2024,3
87,24742,DumbMoney,4Chan,0.57,2024,3
88,12265,Merit Circle,4Chan,0.52,2024,3
89,21812,SPACE ID,4Chan,0.52,2024,3
90,5518,Avalanche,4Chan,5.00,2023,39
91,11726,2crazyNFT,4Chan,5.00,2023,39
92,376,Bitcoin,4Chan,5.00,2023,39
93,979,XRP,4Chan,4.68,2023,39
94,978,Ethereum,4Chan,4.13,2023,39
95,8839,Internet Computer,4Chan,3.79,2023,39
96,986,Monero,4Chan,2.48,2023,39
97,3127,Everipedia,4Chan,1.72,2023,39
98,13194,KILT Protocol,4Chan,1.38,2023,39
99,788,CREDITS,4Chan,1.10,2023,39
100,980,Tether,4Chan,0.83,2023,39
101,1372,Kleros,4Chan,0.69,2023,39
102,147,Algorand,4Chan,0.69,2023,39
103,408,Bitcoin SV,4Chan,0.69,2023,39
104,21812,SPACE ID,4Chan,0.62,2023,39
105,983,Stellar,4Chan,0.62,2023,39
106,345,Binance Coin,4Chan,0.55,2023,39
107,7176,DAO Maker,4Chan,0.55,2023,39
108,1401,OKCash,4Chan,0.55,2023,39
109,1040,Quant,4Chan,0.55,2023,39
110,5083,Shiba Inu,4Chan,0.55,2023,39
111,14483,CLIQ,4Chan,0.55,2023,39
112,15956,DYOR,4Chan,0.55,2023,39
113,18160,Terra,4Chan,0.55,2023,39
114,21151,ASIC Token,4Chan,0.55,2023,39
115,998,Dogecoin,4Chan,0.48,2023,39
116,1069,Hedera Hashgraph,4Chan,0.48,2023,39
117,14710,Coinpad,4Chan,0.48,2023,39
118,17158,Dogs Kombat,4Chan,0.48,2023,39
119,20392,Cookies Protocol,4Chan,0.48,2023,39
120,5518,Avalanche,4Chan,5.00,2023,40
121,376,Bitcoin,4Chan,5.00,2023,40
122,979,XRP,4Chan,4.97,2023,40
123,978,Ethereum,4Chan,4.49,2023,40
124,8839,Internet Computer,4Chan,3.01,2023,40
125,986,Monero,4Chan,2.80,2023,40
126,3127,Everipedia,4Chan,1.64,2023,40
127,16646,MEVerse,4Chan,1.06,2023,40
128,4688,Polkadot,4Chan,1.00,2023,40
129,10418,The Open Network,4Chan,1.00,2023,40
130,6583,Staked Ether,4Chan,1.00,2023,40
131,8062,Liquity,4Chan,0.79,2023,40
132,21812,SPACE ID,4Chan,0.74,2023,40
133,21525,AllianceBlock Nexera,4Chan,0.69,2023,40
134,18900,stake.link,4Chan,0.69,2023,40
135,345,Binance Coin,4Chan,0.63,2023,40
136,980,Tether,4Chan,0.63,2023,40
137,16578,IsotopeC,4Chan,0.58,2023,40
138,20913,CryptMi,4Chan,0.58,2023,40
139,983,Stellar,4Chan,0.58,2023,40
140,14483,CLIQ,4Chan,0.53,2023,40
141,659,ChainLink,4Chan,0.50,2023,40
142,2872,Wrapped Bitcoin,4Chan,0.50,2023,40
143,5395,Uniswap,4Chan,0.50,2023,40
144,5900,Near,4Chan,0.50,2023,40
145,347,Binance USD,4Chan,0.50,2023,40
146,18126,Optimism,4Chan,0.50,2023,40
147,18796,Aptos,4Chan,0.50,2023,40
148,809,Crypto.com Coin,4Chan,0.50,2023,40
149,987,LEO Token,4Chan,0.50,2023,40
150,978,Ethereum,4Chan,5.00,2023,41
151,22399,Pepa ERC,4Chan,5.00,2023,41
152,376,Bitcoin,4Chan,5.00,2023,41
153,979,XRP,4Chan,4.81,2023,41
154,5518,Avalanche,4Chan,3.86,2023,41
155,8839,Internet Computer,4Chan,3.58,2023,41
156,986,Monero,4Chan,2.29,2023,41
157,3127,Everipedia,4Chan,2.01,2023,41
158,13194,KILT Protocol,4Chan,1.73,2023,41
159,621,Cardano,4Chan,1.45,2023,41
160,4688,Polkadot,4Chan,1.00,2023,41
161,980,Tether,4Chan,0.89,2023,41
162,11606,Amnext,4Chan,0.84,2023,41
163,16646,MEVerse,4Chan,0.84,2023,41
164,1040,Quant,4Chan,0.78,2023,41
165,1069,Hedera Hashgraph,4Chan,0.73,2023,41
166,1401,OKCash,4Chan,0.73,2023,41
167,998,Dogecoin,4Chan,0.73,2023,41
168,788,CREDITS,4Chan,0.73,2023,41
169,21812,SPACE ID,4Chan,0.67,2023,41
170,981,Litecoin,4Chan,0.62,2023,41
171,3747,Solana,4Chan,0.62,2023,41
172,18160,Terra,4Chan,0.62,2023,41
173,21525,AllianceBlock Nexera,4Chan,0.62,2023,41
174,345,Binance Coin,4Chan,0.56,2023,41
175,983,Stellar,4Chan,0.56,2023,41
176,12271,Euphoria,4Chan,0.56,2023,41
177,1036,Polygon,4Chan,0.50,2023,41
178,20913,CryptMi,4Chan,0.50,2023,41
179,22044,Internet Money (BSC),4Chan,0.50,2023,41
180,978,Ethereum,4Chan,5.00,2023,42
181,979,XRP,4Chan,5.00,2023,42
182,376,Bitcoin,4Chan,5.00,2023,42
183,8839,Internet Computer,4Chan,3.31,2023,42
184,5518,Avalanche,4Chan,3.06,2023,42
185,986,Monero,4Chan,2.33,2023,42
186,3127,Everipedia,4Chan,1.78,2023,42
187,4688,Polkadot,4Chan,1.00,2023,42
188,8580,LinkPool,4Chan,0.98,2023,42
189,3747,Solana,4Chan,0.86,2023,42
190,13194,KILT Protocol,4Chan,0.86,2023,42
191,1040,Quant,4Chan,0.86,2023,42
192,980,Tether,4Chan,0.80,2023,42
193,12271,Euphoria,4Chan,0.80,2023,42
194,1209,LATOKEN,4Chan,0.74,2023,42
195,5938,Leverj Gluon,4Chan,0.67,2023,42
196,21812,SPACE ID,4Chan,0.67,2023,42
197,20913,CryptMi,4Chan,0.67,2023,42
198,13346,Spool DAO Token,4Chan,0.67,2023,42
