,id_project,name,top,score,year,week
0,376,Bitcoin,General,90.18,2024,4
1,978,Ethereum,General,75.67,2024,4
2,345,Binance Coin,General,73.65,2024,4
3,979,XRP,General,72.38,2024,4
4,5518,Avalanche,General,72.19,2024,4
5,8839,Internet Computer,General,71.37,2024,4
6,1069,Hedera Hashgraph,General,71.19,2024,4
7,984,TRON,General,70.89,2024,4
8,1036,Polygon,General,70.75,2024,4
9,769,Cosmos,General,70.64,2024,4
10,4688,Polkadot,General,70.57,2024,4
11,994,VeChain,General,70.54,2024,4
12,621,Cardano,General,70.42,2024,4
13,6569,The Graph,General,70.35,2024,4
14,5613,Aave,General,70.07,2024,4
15,147,Algorand,General,69.83,2024,4
16,8477,Mina Protocol (IOU),General,69.71,2024,4
17,3844,Trust Wallet Token,General,69.61,2024,4
18,15951,BitTorrent,General,68.65,2024,4
19,1087,Kava,General,68.42,2024,4
20,2391,Klaytn,General,67.88,2024,4
21,986,Monero,General,66.99,2024,4
22,996,Maker,General,66.70,2024,4
23,15335,Moonbeam,General,66.60,2024,4
24,907,Decentraland,General,66.39,2024,4
25,1011,Theta Network,General,66.25,2024,4
26,1014,Enjin Coin,General,66.23,2024,4
27,1005,Synthetix Network Token,General,66.10,2024,4
28,10410,Moonriver,General,65.85,2024,4
29,659,ChainLink,General,65.78,2024,4
30,376,Bitcoin,General,91.88,2024,5
31,978,Ethereum,General,78.65,2024,5
32,979,XRP,General,75.60,2024,5
33,345,Binance Coin,General,74.89,2024,5
34,8839,Internet Computer,General,73.07,2024,5
35,5518,Avalanche,General,72.99,2024,5
36,621,Cardano,General,72.12,2024,5
37,3844,Trust Wallet Token,General,71.77,2024,5
38,907,Decentraland,General,71.66,2024,5
39,986,Monero,General,71.61,2024,5
40,769,Cosmos,General,71.43,2024,5
41,1036,Polygon,General,71.35,2024,5
42,984,TRON,General,71.02,2024,5
43,5613,Aave,General,70.98,2024,5
44,4688,Polkadot,General,70.79,2024,5
45,147,Algorand,General,70.73,2024,5
46,1062,Fantom,General,70.37,2024,5
47,1069,Hedera Hashgraph,General,70.36,2024,5
48,994,VeChain,General,70.25,2024,5
49,3747,Solana,General,70.16,2024,5
50,5395,Uniswap,General,70.03,2024,5
51,1011,Theta Network,General,69.92,2024,5
52,659,ChainLink,General,69.73,2024,5
53,998,Dogecoin,General,69.27,2024,5
54,985,Tezos,General,69.10,2024,5
55,1005,Synthetix Network Token,General,68.99,2024,5
56,8477,Mina Protocol (IOU),General,68.78,2024,5
57,15951,BitTorrent,General,68.58,2024,5
58,991,Ethereum Classic,General,68.07,2024,5
59,5674,PancakeSwap,General,68.05,2024,5
60,376,Bitcoin,General,91.37,2024,6
61,978,Ethereum,General,78.37,2024,6
62,979,XRP,General,75.22,2024,6
63,345,Binance Coin,General,73.88,2024,6
64,8839,Internet Computer,General,73.20,2024,6
65,986,Monero,General,72.61,2024,6
66,1069,Hedera Hashgraph,General,72.21,2024,6
67,5518,Avalanche,General,71.52,2024,6
68,621,Cardano,General,71.08,2024,6
69,984,TRON,General,70.86,2024,6
70,3844,Trust Wallet Token,General,70.80,2024,6
71,1036,Polygon,General,70.78,2024,6
72,998,Dogecoin,General,70.71,2024,6
73,769,Cosmos,General,70.67,2024,6
74,907,Decentraland,General,70.56,2024,6
75,8477,Mina Protocol (IOU),General,70.08,2024,6
76,147,Algorand,General,70.08,2024,6
77,5613,Aave,General,70.05,2024,6
78,994,VeChain,General,69.90,2024,6
79,4688,Polkadot,General,69.87,2024,6
80,3747,Solana,General,69.84,2024,6
81,5395,Uniswap,General,69.69,2024,6
82,1011,Theta Network,General,69.58,2024,6
83,985,Tezos,General,69.32,2024,6
84,983,Stellar,General,69.30,2024,6
85,6569,The Graph,General,68.57,2024,6
86,1005,Synthetix Network Token,General,68.18,2024,6
87,996,Maker,General,68.14,2024,6
88,5674,PancakeSwap,General,68.00,2024,6
89,15951,BitTorrent,General,67.81,2024,6
