,id_project,name,top,score,year,week
0,978,Ethereum,Development,10.03,2024,1
1,978,Ethereum,Development,10.03,2024,1
2,17115,Wrapped Bitcoin (Sollet),Development,9.08,2024,1
3,376,Bitcoin,Development,9.08,2024,1
4,376,Bitcoin,Development,9.08,2024,1
5,17115,Wrapped Bitcoin (Sollet),Development,9.08,2024,1
6,5395,Uniswap,Development,8.39,2024,1
7,5395,Uniswap,Development,8.39,2024,1
8,907,Decentraland,Development,8.21,2024,1
9,907,Decentraland,Development,8.21,2024,1
10,659,ChainLink,Development,8.12,2024,1
11,659,ChainLink,Development,8.12,2024,1
12,1471,Mysterium,Development,8.09,2024,1
13,1471,Mysterium,Development,8.09,2024,1
14,3844,Trust Wallet Token,Development,8.02,2024,1
15,3844,Trust Wallet Token,Development,8.02,2024,1
16,22489,Beam,Development,8.00,2024,1
17,22542,Shido,Development,8.00,2024,1
18,16295,TOR,Development,8.00,2024,1
19,24663,Rocky the dog,Development,8.00,2024,1
20,16945,ApeX,Development,8.00,2024,1
21,22486,Celestia,Development,8.00,2024,1
22,22477,Sei,Development,8.00,2024,1
23,22475,First Digital USD,Development,8.00,2024,1
24,18795,WhiteBIT Token,Development,8.00,2024,1
25,13246,ConstitutionDAO,Development,8.00,2024,1
26,17403,ritestream,Development,8.00,2024,1
27,22887,SoonVerse,Development,8.00,2024,1
28,22525,Myro,Development,8.00,2024,1
29,18811,Bitget Token,Development,8.00,2024,1
30,978,Ethereum,Development,10.03,2024,2
31,376,Bitcoin,Development,9.09,2024,2
32,17115,Wrapped Bitcoin (Sollet),Development,9.08,2024,2
33,5395,Uniswap,Development,8.38,2024,2
34,907,Decentraland,Development,8.21,2024,2
35,1471,Mysterium,Development,8.09,2024,2
36,659,ChainLink,Development,8.09,2024,2
37,3844,Trust Wallet Token,Development,8.01,2024,2
38,24663,Rocky the dog,Development,8.00,2024,2
39,18795,WhiteBIT Token,Development,8.00,2024,2
40,22668,Mintra,Development,8.00,2024,2
41,22712,Hex Orange Address,Development,8.00,2024,2
42,22484,CryptoPawCoin,Development,8.00,2024,2
43,18175,Source Protocol,Development,8.00,2024,2
44,11005,The Three Kingdoms,Development,8.00,2024,2
45,22465,ORDI,Development,8.00,2024,2
46,19609,KLEVA,Development,8.00,2024,2
47,22489,Beam,Development,8.00,2024,2
48,24830,dogwifhat,Development,8.00,2024,2
49,17345,Drunk Robots,Development,8.00,2024,2
50,23383,dYdX,Development,8.00,2024,2
51,21068,Cheelee,Development,8.00,2024,2
52,20752,Blur,Development,8.00,2024,2
53,24276,SATS (Ordinals),Development,8.00,2024,2
54,18695,Trivians,Development,8.00,2024,2
55,22477,Sei,Development,8.00,2024,2
56,18835,Bonk,Development,8.00,2024,2
57,12264,Ethereum Name Service,Development,8.00,2024,2
58,22475,First Digital USD,Development,8.00,2024,2
59,22486,Celestia,Development,8.00,2024,2
60,978,Ethereum,Development,10.03,2024,3
61,17115,Wrapped Bitcoin (Sollet),Development,9.10,2024,3
62,376,Bitcoin,Development,9.09,2024,3
63,1103,Gnosis,Development,8.36,2024,3
64,5395,Uniswap,Development,8.36,2024,3
65,907,Decentraland,Development,8.15,2024,3
66,659,ChainLink,Development,8.09,2024,3
67,1471,Mysterium,Development,8.09,2024,3
68,3844,Trust Wallet Token,Development,8.01,2024,3
69,5083,Shiba Inu,Development,8.00,2024,3
70,981,Litecoin,Development,8.00,2024,3
71,3747,Solana,Development,8.00,2024,3
72,6583,Staked Ether,Development,8.00,2024,3
73,10418,The Open Network,Development,8.00,2024,3
74,983,Stellar,Development,7.96,2024,3
75,769,Cosmos,Development,7.94,2024,3
76,1135,LBRY Credits,Development,7.93,2024,3
77,621,Cardano,Development,7.89,2024,3
78,22702,Moove Protocol,Development,7.87,2024,3
79,1045,MaidSafeCoin,Development,7.87,2024,3
80,7922,Aave MANA v1,Development,7.85,2024,3
81,7934,Aave DAI v1,Development,7.85,2024,3
82,4375,Aave ZRX,Development,7.85,2024,3
83,4365,Aave BUSD,Development,7.85,2024,3
84,7928,Aave TUSD v1,Development,7.85,2024,3
85,4351,Aave KNC,Development,7.85,2024,3
86,4349,Aave USDC,Development,7.85,2024,3
87,7910,Aave WBTC v1,Development,7.85,2024,3
88,4364,Aave SUSD,Development,7.85,2024,3
89,4414,Aave WBTC,Development,7.85,2024,3
90,11726,2crazyNFT,Development,10.00,2023,39
91,978,Ethereum,Development,10.00,2023,39
92,376,Bitcoin,Development,9.12,2023,39
93,17115,Wrapped Bitcoin (Sollet),Development,9.12,2023,39
94,5395,Uniswap,Development,8.34,2023,39
95,659,ChainLink,Development,8.22,2023,39
96,3844,Trust Wallet Token,Development,8.00,2023,39
97,769,Cosmos,Development,7.96,2023,39
98,621,Cardano,Development,7.93,2023,39
99,1135,LBRY Credits,Development,7.93,2023,39
100,983,Stellar,Development,7.87,2023,39
101,7916,Aave BUSD v1,Development,7.86,2023,39
102,4375,Aave ZRX,Development,7.86,2023,39
103,7914,Aave SNX v1,Development,7.86,2023,39
104,4365,Aave BUSD,Development,7.86,2023,39
105,4364,Aave SUSD,Development,7.86,2023,39
106,7890,Aave LINK v1,Development,7.86,2023,39
107,7934,Aave DAI v1,Development,7.86,2023,39
108,7910,Aave WBTC v1,Development,7.86,2023,39
109,7922,Aave MANA v1,Development,7.86,2023,39
110,4414,Aave WBTC,Development,7.86,2023,39
111,7918,Aave ZRX v1,Development,7.86,2023,39
112,4356,Aave SNX,Development,7.86,2023,39
113,7932,Aave USDC v1,Development,7.86,2023,39
114,7911,Aave MKR v1,Development,7.86,2023,39
115,3963,Aave DAI,Development,7.85,2023,39
116,4352,Aave TUSD,Development,7.85,2023,39
117,4359,Aave MKR,Development,7.85,2023,39
118,4344,Aave LINK,Development,7.85,2023,39
119,7920,Aave KNC v1,Development,7.85,2023,39
120,978,Ethereum,Development,10.00,2023,40
121,17115,Wrapped Bitcoin (Sollet),Development,9.10,2023,40
122,376,Bitcoin,Development,9.10,2023,40
123,5395,Uniswap,Development,8.28,2023,40
124,659,ChainLink,Development,8.11,2023,40
125,3844,Trust Wallet Token,Development,8.01,2023,40
126,980,Tether,Development,8.00,2023,40
127,983,Stellar,Development,7.93,2023,40
128,1135,LBRY Credits,Development,7.93,2023,40
129,769,Cosmos,Development,7.93,2023,40
130,621,Cardano,Development,7.93,2023,40
131,345,Binance Coin,Development,7.86,2023,40
132,5613,Aave,Development,7.86,2023,40
133,7916,Aave BUSD v1,Development,7.85,2023,40
