category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-02-24 21:00:13,2024,8,345,Binance Coin,382.29,-,-,73.08
General,polygon-ecosystem,2024-02-24 21:00:19,2024,8,992,USD Coin,1.0,-,-,42.95
General,polygon-ecosystem,2024-02-24 21:00:33,2024,8,659,ChainLink,18.46,-,-,65.97
General,polygon-ecosystem,2024-02-24 21:00:36,2024,8,1036,Polygon,0.996543,-,-,65.69
General,polygon-ecosystem,2024-02-24 21:00:38,2024,8,2872,Wrapped Bitcoin,51496.0,-,-,42.35
General,polygon-ecosystem,2024-02-24 21:00:46,2024,8,5395,Uniswap,11.21,-,-,69.78
General,polygon-ecosystem,2024-02-24 21:00:56,2024,8,865,Dai,0.999141,-,-,41.3
General,polygon-ecosystem,2024-02-24 21:01:27,2024,8,5920,Injective Protocol,34.79,-,-,44.62
General,polygon-ecosystem,2024-02-24 21:01:39,2024,8,6723,Lido DAO,3.29,-,-,61.96
General,polygon-ecosystem,2024-02-24 21:02:01,2024,8,6569,The Graph,0.271895,-,-,65.12
General,polygon-ecosystem,2024-02-24 21:01:54,2024,8,4469,Render Token,7.34,-,-,45.12
General,polygon-ecosystem,2024-02-24 21:01:59,2024,8,996,Maker,2027.1,-,-,67.55
General,polygon-ecosystem,2024-02-24 21:02:04,2024,8,13879,Rocket Pool ETH,3288.69,-,-,36.18
General,polygon-ecosystem,2024-02-24 21:02:28,2024,8,5613,Aave,99.53,-,-,70.48
General,polygon-ecosystem,2024-02-24 21:02:47,2024,8,1005,Synthetix Network Token,4.03,-,-,68.11
General,polygon-ecosystem,2024-02-24 21:02:45,2024,8,1002,TrueUSD,0.973743,-,-,47.85
General,polygon-ecosystem,2024-02-24 21:02:55,2024,8,4708,SAND,0.521998,-,-,63.77
General,polygon-ecosystem,2024-02-24 21:03:19,2024,8,5649,APEcoin,1.75,-,-,35.59
General,polygon-ecosystem,2024-02-24 21:03:32,2024,8,907,Decentraland,0.499584,-,-,70.52
General,polygon-ecosystem,2024-02-24 21:04:21,2024,8,10321,WOO Network,0.529375,-,-,38.63
General,polygon-ecosystem,2024-02-24 21:03:47,2024,8,18838,Frax Ether,2974.22,-,-,27.75
General,polygon-ecosystem,2024-02-24 21:04:25,2024,8,18821,Axelar,1.46,-,-,45.48
General,polygon-ecosystem,2024-02-24 21:04:09,2024,8,18835,Bonk,1.178e-05,-,-,26.75
General,polygon-ecosystem,2024-02-24 21:04:45,2024,8,18839,Staked Frax Ether,3202.19,-,-,27.35
General,polygon-ecosystem,2024-02-24 21:04:37,2024,8,6597,Frax Share,8.43,-,-,55.3
General,polygon-ecosystem,2024-02-24 21:05:00,2024,8,4696,Curve DAO Token,0.598668,-,-,65.47
General,polygon-ecosystem,2024-02-24 21:04:53,2024,8,1028,NEXO,1.14,-,-,54.99
General,polygon-ecosystem,2024-02-24 21:04:43,2024,8,6570,Frax,0.998177,-,-,57.7
General,polygon-ecosystem,2024-02-24 21:04:50,2024,8,3720,Rocket Pool,28.28,-,-,39.69
General,polygon-ecosystem,2024-02-24 21:05:11,2024,8,19695,Coinbase Wrapped Staked ETH,3170.06,-,-,14.66
General,polygon-ecosystem,2024-02-24 21:05:33,2024,8,1090,IoTeX,0.059356,-,-,60.02
General,polygon-ecosystem,2024-02-24 21:05:19,2024,8,6641,1inch,0.499547,-,-,66.77
General,polygon-ecosystem,2024-02-24 21:06:38,2024,8,4340,Compound,67.85,-,-,31.82
General,polygon-ecosystem,2024-02-24 21:05:47,2024,8,16387,STEPN,0.265988,-,-,45.7
General,polygon-ecosystem,2024-02-24 21:05:36,2024,8,7424,SuperFarm,0.988135,-,-,36.69
General,polygon-ecosystem,2024-02-24 21:06:32,2024,8,1121,Ocean Protocol,0.722964,-,-,61.69
General,polygon-ecosystem,2024-02-24 21:09:23,2024,8,1052,Golem,0.341375,-,-,59.22
General,polygon-ecosystem,2024-02-24 21:07:09,2024,8,7426,Mask Network,4.63,-,-,36.16
General,polygon-ecosystem,2024-02-24 21:06:21,2024,8,6298,API3,3.88,-,-,58.24
General,polygon-ecosystem,2024-02-24 21:08:16,2024,8,1281,OriginTrail,1.025,-,-,56.3
General,polygon-ecosystem,2024-02-24 21:07:00,2024,8,291,Basic Attention Token,0.258347,-,-,36.74
General,polygon-ecosystem,2024-02-24 21:07:15,2024,8,7173,SafePal,0.794114,-,-,40.85
General,polygon-ecosystem,2024-02-24 21:08:43,2024,8,22494,Autonolas,6.1,-,-,28.1
General,polygon-ecosystem,2024-02-24 21:08:46,2024,8,188,Ankr,0.0310128,-,-,46.43
General,polygon-ecosystem,2024-02-24 21:07:44,2024,8,3750,UMA,3.98,-,-,48.29
General,polygon-ecosystem,2024-02-24 21:08:18,2024,8,3,0x,0.362598,-,-,59.55
General,polygon-ecosystem,2024-02-24 21:09:26,2024,8,4692,Sushi,1.69,-,-,48.9
General,polygon-ecosystem,2024-02-24 21:07:46,2024,8,1259,Tellor,115.14,-,-,52.45
General,polygon-ecosystem,2024-02-24 21:08:30,2024,8,282,Band Protocol,2.08,-,-,57.85
General,polygon-ecosystem,2024-02-24 21:09:52,2024,8,9795,Coin98,0.334271,-,-,37.25
General,polygon-ecosystem,2024-02-24 21:09:13,2024,8,4689,yearn.finance,8378.84,-,-,61.98
General,polygon-ecosystem,2024-02-24 21:10:02,2024,8,3752,Cartesi,0.333887,-,-,20.31
General,polygon-ecosystem,2024-02-24 21:10:06,2024,8,4341,Balancer,4.67,-,-,30.11
General,polygon-ecosystem,2024-02-24 21:10:32,2024,8,22460,Open Campus,0.833738,-,-,28.89
General,polygon-ecosystem,2024-02-24 21:10:11,2024,8,10720,Gelato,0.843912,-,-,44.02
General,polygon-ecosystem,2024-02-24 21:10:26,2024,8,12260,Gains Network,6.4,-,-,54.82
General,polygon-ecosystem,2024-02-24 21:11:12,2024,8,4706,MANTRA DAO,0.220083,-,-,43.8
General,polygon-ecosystem,2024-02-24 21:12:21,2024,8,9735,Vulcan Forged,6.6,-,-,36.13
General,polygon-ecosystem,2024-02-24 21:14:29,2024,8,776,Covalent,0.287005,-,-,39.68
General,polygon-ecosystem,2024-02-24 21:13:20,2024,8,9791,Yield Guild Games,0.53603,-,-,48.82
General,polygon-ecosystem,2024-02-24 21:13:09,2024,8,3144,Orbs,0.0395922,-,-,36.66
General,polygon-ecosystem,2024-02-24 21:13:54,2024,8,22479,crvUSD,0.999411,-,-,47.39
General,polygon-ecosystem,2024-02-24 21:13:13,2024,8,8050,Liquity USD,0.994461,-,-,50.45
General,polygon-ecosystem,2024-02-24 21:14:41,2024,8,16853,Stader MaticX,1.095,-,-,24.93
General,polygon-ecosystem,2024-02-24 21:17:36,2024,8,3127,Everipedia,0.00727612,-,-,50.59
General,polygon-ecosystem,2024-02-24 21:15:11,2024,8,16053,Alethea Artificial Liquid Intelligence Token,0.0475314,-,-,53.95
General,polygon-ecosystem,2024-02-24 21:14:47,2024,8,18805,Hashflow,0.39169,-,-,43.65
General,polygon-ecosystem,2024-02-24 21:14:10,2024,8,1099,STASIS EURO,1.082,-,-,35.29
General,polygon-ecosystem,2024-02-24 21:16:23,2024,8,1105,Telcoin,0.00151089,-,-,48.83
General,polygon-ecosystem,2024-02-24 21:14:19,2024,8,16688,Stargate Finance,0.664501,-,-,19.71
General,polygon-ecosystem,2024-02-24 21:15:22,2024,8,5619,DODO,0.201413,-,-,46.35
General,polygon-ecosystem,2024-02-24 21:13:24,2024,8,10909,Synapse,0.704039,-,-,36.18
General,polygon-ecosystem,2024-02-24 21:14:24,2024,8,3457,inSure,0.0030454,-,-,20.1
General,polygon-ecosystem,2024-02-24 21:16:38,2024,8,24672,Vanar Chain,0.091755,-,-,21.3
General,polygon-ecosystem,2024-02-24 21:14:50,2024,8,12078,Nakamoto Games,1.75,-,-,36.27
General,polygon-ecosystem,2024-02-24 21:17:51,2024,8,8485,Zignaly,0.081449,-,-,35.77
General,polygon-ecosystem,2024-02-24 21:16:00,2024,8,8843,Kyber Network Crystal,0.686345,-,-,47.72
General,polygon-ecosystem,2024-02-24 21:16:42,2024,8,23158,Multibit,0.096457,-,-,27.11
General,polygon-ecosystem,2024-02-24 21:17:18,2024,8,21706,SmarDex,0.0149601,-,-,27.57
General,polygon-ecosystem,2024-02-24 21:15:41,2024,8,3744,WazirX,0.247508,-,-,58.0
General,polygon-ecosystem,2024-02-24 21:18:41,2024,8,5918,CertiK,0.793385,-,-,33.23
General,polygon-ecosystem,2024-02-24 21:19:19,2024,8,7864,PlayDapp,0.21926,-,-,32.7
General,polygon-ecosystem,2024-02-24 21:20:53,2024,8,5519,tBTC,51438.0,-,-,7.82
General,polygon-ecosystem,2024-02-24 21:17:04,2024,8,21525,AllianceBlock Nexera,0.114915,-,-,27.4
General,polygon-ecosystem,2024-02-24 21:19:23,2024,8,8844,Dogelon Mars,1.63021e-07,-,-,38.03
