,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-03-09 21:00:12,2024,9,345,Binance Coin,408.79,487.72,0.19308202255436777,74.04
1,General,polygon-ecosystem,2024-03-09 21:00:21,2024,9,992,USD Coin,0.99996,1.0,4.000160006404257e-05,43.69
2,General,polygon-ecosystem,2024-03-09 21:00:31,2024,9,659,ChainLink,21.24,20.04,-0.05649717514124291,68.33
3,General,polygon-ecosystem,2024-03-09 21:00:36,2024,9,1036,Polygon,1.086,1.14,0.049723756906077186,70.73
4,General,polygon-ecosystem,2024-03-09 21:00:38,2024,9,2872,Wrapped Bitcoin,61876.0,68489.0,0.10687504040338743,47.35
5,General,polygon-ecosystem,2024-03-09 21:00:40,2024,9,5395,Uniswap,12.51,14.26,0.1398880895283773,69.75
6,General,polygon-ecosystem,2024-03-09 21:00:48,2024,9,865,Dai,0.998695,1.002,0.003309318660852415,41.4
7,General,polygon-ecosystem,2024-03-09 21:01:18,2024,9,5920,Injective Protocol,42.86,40.92,-0.04526364909006061,43.27
8,General,polygon-ecosystem,2024-03-09 21:01:27,2024,9,6723,Lido DAO,3.38,3.38,0.0,62.11
9,General,polygon-ecosystem,2024-03-09 21:01:29,2024,9,6569,The Graph,0.317406,0.400674,0.2623390862176517,68.55
10,General,polygon-ecosystem,2024-03-09 21:01:30,2024,9,4469,Render Token,7.65,12.42,0.6235294117647058,43.45
11,General,polygon-ecosystem,2024-03-09 21:01:48,2024,9,996,Maker,2121.4,2405.82,0.13407183935137176,69.43
12,General,polygon-ecosystem,2024-03-09 21:01:43,2024,9,13879,Rocket Pool ETH,3757.63,4291.29,0.1420203692220894,36.92
13,General,polygon-ecosystem,2024-03-09 21:02:08,2024,9,5613,Aave,116.98,131.43,0.12352538895537701,70.54
14,General,polygon-ecosystem,2024-03-09 21:02:24,2024,9,1005,Synthetix Network Token,4.57,4.36,-0.04595185995623631,69.74
15,General,polygon-ecosystem,2024-03-09 21:02:38,2024,9,1002,TrueUSD,1.0,1.004,0.0040000000000000036,49.26
16,General,polygon-ecosystem,2024-03-09 21:02:20,2024,9,4708,SAND,0.685632,0.765743,0.11684256277419947,68.94
17,General,polygon-ecosystem,2024-03-09 21:02:32,2024,9,5649,APEcoin,2.27,2.29,0.008810572687224677,38.33
