category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-01-06 21:00:13,2024,1,345,Binance Coin,314.97,307.1,-0.024986506651427133,72.64
General,polygon-ecosystem,2024-01-06 21:00:19,2024,1,992,USD Coin,1.0,1.0,0.0,29.1
General,polygon-ecosystem,2024-01-06 21:00:37,2024,1,659,ChainLink,15.23,13.52,-0.11227839789888383,71.0
General,polygon-ecosystem,2024-01-06 21:00:35,2024,1,1036,Polygon,0.960642,0.828885,-0.13715515249177115,70.67
General,polygon-ecosystem,2024-01-06 21:00:40,2024,1,2872,Wrapped Bitcoin,42311.0,43767.0,0.034411855073148825,46.29
General,polygon-ecosystem,2024-01-06 21:00:44,2024,1,5395,Uniswap,7.45,6.38,-0.14362416107382553,59.13
General,polygon-ecosystem,2024-01-06 21:00:51,2024,1,865,Dai,0.998687,1.0,0.0013147262355472822,33.77
General,polygon-ecosystem,2024-01-06 21:01:17,2024,1,5920,Injective Protocol,36.03,38.29,0.06272550652234243,49.13
General,polygon-ecosystem,2024-01-06 21:01:34,2024,1,6723,Lido DAO,2.76,3.16,0.1449275362318842,59.16
General,polygon-ecosystem,2024-01-06 21:01:57,2024,1,4469,Render Token,4.57,3.82,-0.16411378555798695,32.72
General,polygon-ecosystem,2024-01-06 21:02:10,2024,1,996,Maker,1588.82,1742.58,0.09677622386425146,66.85
General,polygon-ecosystem,2024-01-06 21:01:59,2024,1,6569,The Graph,0.177932,0.171799,-0.034468223815839756,70.22
General,polygon-ecosystem,2024-01-06 21:02:12,2024,1,13879,Rocket Pool ETH,2526.85,2463.73,-0.024979717830500382,40.01
General,polygon-ecosystem,2024-01-06 21:02:00,2024,1,5613,Aave,112.4,99.87,-0.11147686832740214,66.96
General,polygon-ecosystem,2024-01-06 21:01:37,2024,1,1002,TrueUSD,0.999971,1.0,2.900084102433544e-05,41.4
General,polygon-ecosystem,2024-01-06 21:02:23,2024,1,1005,Synthetix Network Token,3.86,3.46,-0.10362694300518133,63.03
General,polygon-ecosystem,2024-01-06 21:02:28,2024,1,4708,SAND,0.580164,0.503506,-0.13213160416709757,60.48
General,polygon-ecosystem,2024-01-06 21:04:15,2024,1,5649,APEcoin,1.64,1.4,-0.14634146341463414,34.81
General,polygon-ecosystem,2024-01-06 21:03:00,2024,1,907,Decentraland,0.516663,0.45497,-0.11940665385367251,63.3
General,polygon-ecosystem,2024-01-06 21:03:51,2024,1,18838,Frax Ether,2290.45,2235.95,-0.02379445087209937,23.97
General,polygon-ecosystem,2024-01-06 21:03:12,2024,1,18835,Bonk,1.414e-05,1.087e-05,-0.2312588401697313,30.36
General,polygon-ecosystem,2024-01-06 21:03:40,2024,1,10321,WOO Network,0.417379,0.389577,-0.06661092196780383,37.12
General,polygon-ecosystem,2024-01-06 21:03:53,2024,1,6597,Frax Share,8.91,8.05,-0.09652076318742979,55.34
General,polygon-ecosystem,2024-01-06 21:04:09,2024,1,18821,Axelar,1.19,1.11,-0.0672268907563024,41.38
General,polygon-ecosystem,2024-01-06 21:04:11,2024,1,3720,Rocket Pool,30.9,29.6,-0.042071197411003146,34.87
General,polygon-ecosystem,2024-01-06 21:04:05,2024,1,6570,Frax,0.999148,0.99721,-0.0019396525840015646,56.18
General,polygon-ecosystem,2024-01-06 21:04:46,2024,1,18839,Staked Frax Ether,2455.5,2391.95,-0.025880676033394494,22.82
General,polygon-ecosystem,2024-01-06 21:04:03,2024,1,4696,Curve DAO Token,0.622368,0.54498,-0.12434443930279193,63.25
General,polygon-ecosystem,2024-01-06 21:04:54,2024,1,1028,NEXO,0.859983,0.898889,0.045240429171274306,54.39
General,polygon-ecosystem,2024-01-06 21:04:57,2024,1,19695,Coinbase Wrapped Staked ETH,2432.38,2365.27,-0.027590261390078905,22.63
General,polygon-ecosystem,2024-01-06 21:05:04,2024,1,6641,1inch,0.421521,0.465551,0.10445505680618526,66.71
General,polygon-ecosystem,2024-01-06 21:05:05,2024,1,16387,STEPN,0.299918,0.339327,0.13139924912809492,46.27
General,polygon-ecosystem,2024-01-06 21:07:16,2024,1,7424,SuperFarm,0.631333,0.555864,-0.11953913386437903,38.1
General,polygon-ecosystem,2024-01-06 21:09:35,2024,1,6298,API3,1.83,1.63,-0.10928961748633889,53.16
General,polygon-ecosystem,2024-01-06 21:05:02,2024,1,1090,IoTeX,0.050264,0.0427211,-0.15006565335031047,62.44
General,polygon-ecosystem,2024-01-06 21:05:47,2024,1,4340,Compound,58.76,50.34,-0.14329475833900604,33.77
General,polygon-ecosystem,2024-01-06 21:06:16,2024,1,291,Basic Attention Token,0.246709,0.231314,-0.06240145272365426,36.75
General,polygon-ecosystem,2024-01-06 21:07:01,2024,1,7426,Mask Network,3.58,4.74,0.32402234636871513,33.85
General,polygon-ecosystem,2024-01-06 21:06:31,2024,1,7173,SafePal,0.789949,0.693765,-0.1217597591743265,43.5
General,polygon-ecosystem,2024-01-06 21:09:50,2024,1,3750,UMA,2.24,2.04,-0.08928571428571436,51.36
General,polygon-ecosystem,2024-01-06 21:03:56,2024,1,1259,Tellor,259.05,132.33,-0.48917197452229294,50.44
