category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2023-02-18 22:00:05,2023,7,376,Bitcoin,21672.0,24605.0,0.1353359173126615,88.69
General,polygon-ecosystem,2023-02-25 22:00:05,2023,8,376,Bitcoin,24605.0,22933.0,-0.06795366795366796,87.43
General,polygon-ecosystem,2023-03-04 22:00:05,2023,9,376,Bitcoin,22933.0,22218.0,-0.03117777874678411,82.86
General,polygon-ecosystem,2023-03-11 22:00:05,2023,10,376,Bitcoin,22218.0,20388.0,-0.08236564947339994,86.45
General,polygon-ecosystem,2023-03-18 22:00:05,2023,11,376,Bitcoin,20388.0,27527.0,0.35015695507161076,87.86
General,polygon-ecosystem,2023-03-25 22:00:06,2023,12,376,Bitcoin,27527.0,27592.0,0.0023613179787118103,82.07
General,polygon-ecosystem,2023-04-01 23:00:06,2023,13,376,Bitcoin,27592.0,28502.0,0.03298057407944332,85.02
General,polygon-ecosystem,2023-04-08 23:00:06,2023,14,376,Bitcoin,28502.0,27964.0,-0.01887586836011508,84.98
General,polygon-ecosystem,2023-04-15 23:00:05,2023,15,376,Bitcoin,27964.0,30323.0,0.08435846087827206,85.46
General,polygon-ecosystem,2023-04-22 23:00:05,2023,16,376,Bitcoin,30323.0,27679.0,-0.0871945387989315,84.7
General,polygon-ecosystem,2023-04-29 23:00:05,2023,17,376,Bitcoin,27679.0,29249.0,0.056721702373640666,86.72
General,polygon-ecosystem,2023-05-06 23:00:05,2023,18,376,Bitcoin,29249.0,28848.0,-0.013709870422920442,86.33
General,polygon-ecosystem,2023-05-13 23:44:16,2023,19,376,Bitcoin,28848.0,26895.0,-0.06769966722129783,84.11
General,polygon-ecosystem,2023-05-20 21:00:07,2023,20,376,Bitcoin,26895.0,27029.0,0.004982338724670013,85.88
General,polygon-ecosystem,2023-05-27 21:00:05,2023,21,376,Bitcoin,27029.0,26755.0,-0.010137259980021459,86.12
General,polygon-ecosystem,2023-06-03 21:00:07,2023,22,376,Bitcoin,26755.0,27105.0,0.013081666978134928,90.26
General,polygon-ecosystem,2023-06-10 21:00:05,2023,23,376,Bitcoin,27105.0,25781.0,-0.04884707618520568,82.98
General,polygon-ecosystem,2023-06-17 21:00:05,2023,24,376,Bitcoin,25781.0,26522.0,0.02874209689306078,81.81
General,polygon-ecosystem,2023-06-24 21:00:05,2023,25,376,Bitcoin,26522.0,30567.0,0.15251489329613152,85.93
General,polygon-ecosystem,2023-07-01 21:00:05,2023,26,376,Bitcoin,30567.0,30593.0,0.0008505905061013512,85.05
General,polygon-ecosystem,2023-07-08 21:00:06,2023,27,376,Bitcoin,30593.0,30134.0,-0.01500343215768313,85.08
General,polygon-ecosystem,2023-07-15 21:00:04,2023,28,376,Bitcoin,30134.0,30327.0,0.006404725559169045,84.84
General,polygon-ecosystem,2023-07-22 21:00:05,2023,29,376,Bitcoin,30327.0,29836.0,-0.016190193556896496,84.81
General,polygon-ecosystem,2023-07-29 21:00:06,2023,30,376,Bitcoin,29836.0,29353.0,-0.016188497117576084,82.06
General,polygon-ecosystem,2023-08-05 21:00:08,2023,31,376,Bitcoin,29353.0,29029.0,-0.011038054031955848,83.24
General,polygon-ecosystem,2023-08-12 21:00:05,2023,32,376,Bitcoin,29029.0,29406.0,0.012987012987012988,83.87
General,polygon-ecosystem,2023-08-19 21:00:05,2023,33,376,Bitcoin,29406.0,26074.0,-0.11331020880092497,83.11
General,polygon-ecosystem,2023-08-26 21:00:05,2023,34,376,Bitcoin,26074.0,26022.0,-0.0019943238475109305,85.16
General,polygon-ecosystem,2023-09-02 21:00:05,2023,35,376,Bitcoin,26022.0,25844.0,-0.006840365844285604,83.33
General,polygon-ecosystem,2023-09-09 21:00:05,2023,36,376,Bitcoin,25844.0,25860.0,0.0006190992106485065,82.23
General,polygon-ecosystem,2023-09-16 21:00:04,2023,37,376,Bitcoin,25860.0,26533.0,0.02602474864655839,83.77
General,polygon-ecosystem,2023-09-23 21:00:05,2023,38,376,Bitcoin,26533.0,26592.0,0.0022236460257038407,83.99
General,polygon-ecosystem,2023-09-30 21:00:06,2023,39,376,Bitcoin,26592.0,27070.0,0.017975330926594466,82.49
General,polygon-ecosystem,2023-10-07 21:00:05,2023,40,376,Bitcoin,27070.0,27933.0,0.03188031030661249,82.81
General,polygon-ecosystem,2023-10-14 21:00:05,2023,41,376,Bitcoin,27933.0,26845.0,-0.03895034546951634,82.23
General,polygon-ecosystem,2023-10-21 21:00:05,2023,42,376,Bitcoin,26845.0,30011.0,0.11793630098714844,83.57
General,polygon-ecosystem,2023-10-28 21:00:05,2023,43,376,Bitcoin,30011.0,34132.0,0.1373163173503049,81.72
General,polygon-ecosystem,2023-11-04 21:00:07,2023,44,376,Bitcoin,34132.0,34778.0,0.018926520567209656,78.5
General,polygon-ecosystem,2023-11-11 21:00:05,2023,45,376,Bitcoin,34778.0,37001.0,0.06391971936281557,81.04
General,polygon-ecosystem,2023-11-18 21:00:05,2023,46,376,Bitcoin,37001.0,36617.0,-0.010378097889246237,79.27
General,polygon-ecosystem,2023-11-25 21:00:04,2023,47,376,Bitcoin,36617.0,37812.0,0.03263511483737062,80.75
General,polygon-ecosystem,2023-12-02 21:00:08,2023,48,376,Bitcoin,37812.0,39501.0,0.044668359251031416,68.59
General,polygon-ecosystem,2023-12-09 21:00:07,2023,49,376,Bitcoin,39501.0,43985.0,0.11351611351611351,87.27
General,polygon-ecosystem,2023-12-16 21:00:09,2023,50,376,Bitcoin,43985.0,42301.0,-0.03828577924292372,79.01
General,polygon-ecosystem,2023-12-23 21:00:07,2023,51,376,Bitcoin,42301.0,43736.0,0.03392354790666887,71.23
General,polygon-ecosystem,2023-12-30 21:00:09,2023,52,376,Bitcoin,43736.0,42285.0,-0.03317633071154198,79.08
