,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2023-12-16 21:21:38,2023,49,22524,Osaka Protocol,4.8333e-08,4.6449e-08,-0.03897957916951149,23.27
1,General,polygon-ecosystem,2023-12-23 21:24:53,2023,50,22524,Osaka Protocol,4.6449e-08,4.0265e-08,-0.13313526663652617,17.71
2,General,polygon-ecosystem,2023-12-30 21:27:32,2023,51,22524,Osaka Protocol,4.0265e-08,3.876e-08,-0.03737737489134482,17.18
3,General,polygon-ecosystem,2024-01-06 21:30:26,2023,52,22524,Osaka Protocol,3.876e-08,3.999e-08,0.03173374613003109,19.83
4,General,polygon-ecosystem,2024-01-13 21:30:47,2024,1,22524,Osaka Protocol,3.999e-08,5.4079e-08,0.35231307826956726,20.15
5,General,polygon-ecosystem,2024-01-20 21:23:28,2024,2,22524,Osaka Protocol,5.4079e-08,5.5827e-08,0.03232308289724299,21.02
6,General,polygon-ecosystem,2024-01-27 21:25:13,2024,3,22524,Osaka Protocol,5.5827e-08,5.4276e-08,-0.027782255897683888,20.24
7,General,polygon-ecosystem,2024-02-03 21:23:21,2024,4,22524,Osaka Protocol,5.4276e-08,5.068e-08,-0.06625396123516841,19.96
8,General,polygon-ecosystem,2024-02-10 21:23:22,2024,5,22524,Osaka Protocol,5.068e-08,5.2959e-08,0.04496842936069449,23.23
9,General,polygon-ecosystem,2024-02-18 03:24:26,2024,6,22524,Osaka Protocol,5.2959e-08,6.9723e-08,0.31654676258992803,23.75
10,General,polygon-ecosystem,2024-02-24 21:25:17,2024,7,22524,Osaka Protocol,6.9723e-08,9.0389e-08,0.29640147440586334,24.41
11,General,polygon-ecosystem,2023-02-18 22:24:58,2023,6,4353,Aleph.im,0.072664,0.077913,0.07223659583837924,46.15
12,General,polygon-ecosystem,2023-02-25 22:26:10,2023,7,4353,Aleph.im,0.077913,0.073256,-0.059771796747654364,46.83
13,General,polygon-ecosystem,2023-03-04 22:29:01,2023,8,4353,Aleph.im,0.073256,0.065275,-0.10894670743693352,42.59
14,General,polygon-ecosystem,2023-03-11 22:27:05,2023,9,4353,Aleph.im,0.065275,0.058992,-0.09625430869398693,41.89
15,General,polygon-ecosystem,2023-03-18 22:26:23,2023,10,4353,Aleph.im,0.058992,0.06754,0.14490100352590182,41.0
16,General,polygon-ecosystem,2023-03-25 22:28:26,2023,11,4353,Aleph.im,0.06754,0.062982,-0.06748593426117866,40.92
17,General,polygon-ecosystem,2023-04-01 23:27:35,2023,12,4353,Aleph.im,0.062982,0.068722,0.09113715029691037,43.53
18,General,polygon-ecosystem,2023-04-08 23:26:50,2023,13,4353,Aleph.im,0.068722,0.066271,-0.03566543464974838,43.98
19,General,polygon-ecosystem,2023-04-15 23:27:51,2023,14,4353,Aleph.im,0.066271,0.07566,0.1416758461468819,43.51
20,General,polygon-ecosystem,2023-04-22 23:28:35,2023,15,4353,Aleph.im,0.07566,0.074802,-0.011340206185567163,44.2
21,General,polygon-ecosystem,2023-04-29 23:25:35,2023,16,4353,Aleph.im,0.074802,0.086527,0.15674714579824087,43.62
22,General,polygon-ecosystem,2023-05-06 23:25:37,2023,17,4353,Aleph.im,0.086527,0.08892,0.02765610734221679,44.1
23,General,polygon-ecosystem,2023-05-28 11:48:50,2023,20,4353,Aleph.im,0.087429,0.090211,0.03182010545699931,32.34
24,General,polygon-ecosystem,2023-06-04 11:34:29,2023,21,4353,Aleph.im,0.090211,0.08677,-0.03814390706233164,39.25
25,General,polygon-ecosystem,2023-06-11 11:46:49,2023,22,4353,Aleph.im,0.08677,0.078233,-0.09838653912642621,39.03
26,General,polygon-ecosystem,2023-06-17 21:28:00,2023,23,4353,Aleph.im,0.078233,0.078236,3.834698912227577e-05,38.94
27,General,polygon-ecosystem,2023-06-24 21:28:21,2023,24,4353,Aleph.im,0.078236,0.079315,0.013791604887775406,27.48
28,General,polygon-ecosystem,2023-07-01 21:26:30,2023,25,4353,Aleph.im,0.079315,0.078742,-0.007224358570257709,37.97
29,General,polygon-ecosystem,2023-07-08 21:28:23,2023,26,4353,Aleph.im,0.078742,0.078552,-0.0024129435371213533,38.33
30,General,polygon-ecosystem,2023-07-15 21:30:37,2023,27,4353,Aleph.im,0.078552,0.069106,-0.12025155311131475,37.05
31,General,polygon-ecosystem,2023-07-22 21:38:24,2023,28,4353,Aleph.im,0.069106,0.080841,0.16981159378346303,37.69
32,General,polygon-ecosystem,2023-07-29 22:10:41,2023,29,4353,Aleph.im,0.080841,0.078018,-0.034920399302334114,35.51
33,General,polygon-ecosystem,2023-08-05 21:23:38,2023,30,4353,Aleph.im,0.078018,0.069545,-0.10860314286446728,39.18
34,General,polygon-ecosystem,2023-08-12 21:24:49,2023,31,4353,Aleph.im,0.069545,0.082685,0.18894241138830972,38.81
35,General,polygon-ecosystem,2023-08-19 21:23:35,2023,32,4353,Aleph.im,0.082685,0.079857,-0.0342020922779222,39.42
36,General,polygon-ecosystem,2023-08-26 21:24:18,2023,33,4353,Aleph.im,0.079857,0.076594,-0.04086053821205407,39.37
37,General,polygon-ecosystem,2023-09-02 21:24:39,2023,34,4353,Aleph.im,0.076594,0.074875,-0.0224430112019218,39.36
38,General,polygon-ecosystem,2023-09-09 21:23:50,2023,35,4353,Aleph.im,0.074875,0.073404,-0.019646076794657765,38.32
39,General,polygon-ecosystem,2023-09-16 21:24:35,2023,36,4353,Aleph.im,0.073404,0.073837,0.0058988610974879145,35.74
40,General,polygon-ecosystem,2023-09-23 21:23:42,2023,37,4353,Aleph.im,0.073837,0.069634,-0.05692268104067064,35.47
41,General,polygon-ecosystem,2023-09-30 21:24:48,2023,38,4353,Aleph.im,0.069634,0.070648,0.014561851968865799,35.13
42,General,polygon-ecosystem,2023-10-07 21:25:34,2023,39,4353,Aleph.im,0.070648,0.068433,-0.03135262144717485,35.42
43,General,polygon-ecosystem,2023-10-14 21:25:20,2023,40,4353,Aleph.im,0.068433,0.062599,-0.08525126766326177,27.2
44,General,polygon-ecosystem,2023-10-21 21:25:20,2023,41,4353,Aleph.im,0.062599,0.063292,0.011070464384415073,26.91
45,General,polygon-ecosystem,2023-10-28 21:25:05,2023,42,4353,Aleph.im,0.063292,0.070137,0.1081495291664034,35.41
46,General,polygon-ecosystem,2023-11-04 21:26:26,2023,43,4353,Aleph.im,0.070137,0.067248,-0.04119081226741952,35.5
47,General,polygon-ecosystem,2023-11-11 21:27:49,2023,44,4353,Aleph.im,0.067248,0.078528,0.1677373304782298,35.02
48,General,polygon-ecosystem,2023-11-18 21:27:22,2023,45,4353,Aleph.im,0.078528,0.076823,-0.021712000814995903,27.7
49,General,polygon-ecosystem,2023-11-25 21:30:35,2023,46,4353,Aleph.im,0.076823,0.083803,0.09085820652669123,27.13
50,General,polygon-ecosystem,2023-12-02 21:42:18,2023,47,4353,Aleph.im,0.083803,0.089306,0.06566590694843853,35.58
51,General,polygon-ecosystem,2023-12-09 21:29:05,2023,48,4353,Aleph.im,0.089306,0.095746,0.07211161624079011,25.52
52,General,polygon-ecosystem,2023-12-16 21:31:02,2023,49,4353,Aleph.im,0.095746,0.108544,0.1336661583773735,25.56
53,General,polygon-ecosystem,2023-12-23 21:33:09,2023,50,4353,Aleph.im,0.108544,0.109918,0.012658461084905662,34.63
54,General,polygon-ecosystem,2023-12-30 21:34:11,2023,51,4353,Aleph.im,0.109918,0.130285,0.18529267271966385,17.88
55,General,polygon-ecosystem,2024-01-06 21:34:48,2023,52,4353,Aleph.im,0.130285,0.112271,-0.1382661089150709,27.1
56,General,polygon-ecosystem,2024-01-13 21:36:47,2024,1,4353,Aleph.im,0.112271,0.179583,0.5995493048071184,30.75
57,General,polygon-ecosystem,2024-01-20 21:26:31,2024,2,4353,Aleph.im,0.179583,0.204996,0.14151116753813012,36.6
58,General,polygon-ecosystem,2024-01-27 21:26:17,2024,3,4353,Aleph.im,0.204996,0.302326,0.4747897519951607,34.35
59,General,polygon-ecosystem,2024-02-03 21:19:39,2024,4,4353,Aleph.im,0.302326,0.276586,-0.08513988211400933,35.89
60,General,polygon-ecosystem,2024-02-10 21:20:00,2024,5,4353,Aleph.im,0.276586,0.304455,0.10076070372325417,42.25
61,General,polygon-ecosystem,2024-02-18 03:20:33,2024,6,4353,Aleph.im,0.304455,0.286498,-0.05898080176052291,42.75
62,General,polygon-ecosystem,2024-02-24 21:25:15,2024,7,4353,Aleph.im,0.286498,0.354414,0.23705575606112447,43.31
63,General,polygon-ecosystem,2023-02-18 22:11:36,2023,6,9802,Automata,0.169858,0.193448,0.13888071212424494,36.6
64,General,polygon-ecosystem,2023-02-25 22:11:56,2023,7,9802,Automata,0.193448,0.171788,-0.11196807410777063,37.03
65,General,polygon-ecosystem,2023-03-04 22:13:51,2023,8,9802,Automata,0.171788,0.147149,-0.14342678184739327,35.72
66,General,polygon-ecosystem,2023-03-11 22:12:55,2023,9,9802,Automata,0.147149,0.139735,-0.050384304344575935,35.6
