category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-02-17 21:00:12,2024,7,345,Binance Coin,353.18,-,-,74.67
General,polygon-ecosystem,2024-02-17 21:00:18,2024,7,992,USD Coin,1.001,-,-,43.73
General,polygon-ecosystem,2024-02-17 21:00:32,2024,7,659,ChainLink,20.1,-,-,66.78
General,polygon-ecosystem,2024-02-17 21:00:39,2024,7,1036,Polygon,0.924026,-,-,71.87
General,polygon-ecosystem,2024-02-17 21:00:40,2024,7,2872,Wrapped Bitcoin,51440.0,-,-,45.86
General,polygon-ecosystem,2024-02-17 21:00:50,2024,7,5395,Uniswap,7.68,-,-,70.31
General,polygon-ecosystem,2024-02-17 21:00:52,2024,7,865,Dai,1.001,-,-,41.43
General,polygon-ecosystem,2024-02-17 21:01:19,2024,7,5920,Injective Protocol,36.4,-,-,47.93
General,polygon-ecosystem,2024-02-17 21:01:36,2024,7,6723,Lido DAO,3.15,-,-,61.72
General,polygon-ecosystem,2024-02-17 21:01:58,2024,7,6569,The Graph,0.203165,-,-,66.66
General,polygon-ecosystem,2024-02-17 21:01:54,2024,7,4469,Render Token,5.57,-,-,48.85
General,polygon-ecosystem,2024-02-17 21:01:52,2024,7,996,Maker,2112.5,-,-,68.13
General,polygon-ecosystem,2024-02-17 21:02:02,2024,7,13879,Rocket Pool ETH,3054.93,-,-,37.47
General,polygon-ecosystem,2024-02-17 21:02:18,2024,7,5613,Aave,93.8,-,-,71.06
General,polygon-ecosystem,2024-02-17 21:02:12,2024,7,1002,TrueUSD,0.97564,-,-,48.65
General,polygon-ecosystem,2024-02-17 21:02:34,2024,7,1005,Synthetix Network Token,3.63,-,-,69.11
General,polygon-ecosystem,2024-02-17 21:02:43,2024,7,4708,SAND,0.496167,-,-,64.67
General,polygon-ecosystem,2024-02-18 03:00:31,2024,7,5649,APEcoin,1.63,-,-,36.57
General,polygon-ecosystem,2024-02-18 03:00:33,2024,7,907,Decentraland,0.487358,-,-,71.51
General,polygon-ecosystem,2024-02-18 03:00:59,2024,7,18838,Frax Ether,2763.94,-,-,28.74
General,polygon-ecosystem,2024-02-18 03:01:07,2024,7,10321,WOO Network,0.397863,-,-,40.32
General,polygon-ecosystem,2024-02-18 03:00:42,2024,7,18835,Bonk,1.273e-05,-,-,27.85
General,polygon-ecosystem,2024-02-18 03:01:32,2024,7,18821,Axelar,1.2,-,-,45.34
General,polygon-ecosystem,2024-02-18 03:01:11,2024,7,6597,Frax Share,8.51,-,-,57.23
General,polygon-ecosystem,2024-02-18 03:01:47,2024,7,18839,Staked Frax Ether,2973.2,-,-,28.28
General,polygon-ecosystem,2024-02-18 03:01:24,2024,7,6570,Frax,0.995965,-,-,58.11
General,polygon-ecosystem,2024-02-18 03:01:53,2024,7,1028,NEXO,1.077,-,-,56.79
General,polygon-ecosystem,2024-02-18 03:01:51,2024,7,4696,Curve DAO Token,0.521772,-,-,65.24
General,polygon-ecosystem,2024-02-18 03:01:40,2024,7,3720,Rocket Pool,30.48,-,-,41.79
General,polygon-ecosystem,2024-02-18 03:02:42,2024,7,1090,IoTeX,0.050604,-,-,60.94
General,polygon-ecosystem,2024-02-18 03:02:01,2024,7,19695,Coinbase Wrapped Staked ETH,2931.07,-,-,15.26
General,polygon-ecosystem,2024-02-18 03:02:46,2024,7,7424,SuperFarm,1.059,-,-,38.16
General,polygon-ecosystem,2024-02-18 03:02:07,2024,7,6641,1inch,0.438108,-,-,65.2
General,polygon-ecosystem,2024-02-18 03:02:21,2024,7,16387,STEPN,0.267908,-,-,47.61
General,polygon-ecosystem,2024-02-18 03:03:45,2024,7,6298,API3,4.07,-,-,62.21
General,polygon-ecosystem,2024-02-18 03:03:02,2024,7,4340,Compound,57.89,-,-,32.5
General,polygon-ecosystem,2024-02-18 03:04:22,2024,7,1121,Ocean Protocol,0.691074,-,-,63.78
General,polygon-ecosystem,2024-02-18 03:10:13,2024,7,22494,Autonolas,5.7,-,-,28.16
