platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2023-02-18,2023,7,376,Bitcoin,21672.0,24605.0,0.1353359173126615
polygon-ecosystem,2023-02-18,2023,7,345,Binance Coin,308.48,314.66,0.020033713692946
polygon-ecosystem,2023-02-18,2023,7,907,Decentraland,0.684324,0.70927,0.0364534927899648
polygon-ecosystem,2023-02-18,2023,7,1036,Polygon,1.24,1.48,0.1935483870967742
polygon-ecosystem,2023-02-18,2023,7,5613,Aave,78.28,89.05,0.137583035258048
polygon-ecosystem,2023-02-18,2023,7,5395,Uniswap,6.42,6.96,0.0841121495327102
polygon-ecosystem,2023-02-18,2023,7,996,Maker,722.32,724.59,0.0031426514564181
polygon-ecosystem,2023-02-18,2023,7,1005,Synthetix Network Token,2.4,2.59,0.0791666666666666
polygon-ecosystem,2023-02-18,2023,7,6641,1inch,0.535781,0.569085,0.062159725708825
polygon-ecosystem,2023-02-18,2023,7,6569,The Graph,0.158738,0.179333,0.1297420907407174
polygon-ecosystem,2023-02-25,2023,8,376,Bitcoin,24605.0,22933.0,-0.0679536679536679
polygon-ecosystem,2023-02-25,2023,8,345,Binance Coin,314.66,298.19,-0.052342210640056
polygon-ecosystem,2023-02-25,2023,8,1036,Polygon,1.48,1.21,-0.1824324324324324
polygon-ecosystem,2023-02-25,2023,8,907,Decentraland,0.70927,0.629482,-0.1124931267359397
polygon-ecosystem,2023-02-25,2023,8,5613,Aave,89.05,78.08,-0.1231892195395844
polygon-ecosystem,2023-02-25,2023,8,5395,Uniswap,6.96,6.33,-0.0905172413793103
polygon-ecosystem,2023-02-25,2023,8,1005,Synthetix Network Token,2.59,2.44,-0.0579150579150578
polygon-ecosystem,2023-02-25,2023,8,996,Maker,724.59,685.62,-0.0537821388647373
polygon-ecosystem,2023-02-25,2023,8,4708,SAND,0.756144,0.679563,-0.1012783279375357
polygon-ecosystem,2023-02-25,2023,8,6641,1inch,0.569085,0.572471,0.005949902035724
polygon-ecosystem,2023-03-04,2023,9,376,Bitcoin,22933.0,22218.0,-0.0311777787467841
polygon-ecosystem,2023-03-04,2023,9,345,Binance Coin,298.19,287.33,-0.0364197323853919
polygon-ecosystem,2023-03-04,2023,9,907,Decentraland,0.629482,0.572219,-0.0909684470723546
polygon-ecosystem,2023-03-04,2023,9,5613,Aave,78.08,74.63,-0.0441854508196721
polygon-ecosystem,2023-03-04,2023,9,5395,Uniswap,6.33,6.11,-0.0347551342812005
polygon-ecosystem,2023-03-04,2023,9,1005,Synthetix Network Token,2.44,2.86,0.1721311475409835
polygon-ecosystem,2023-03-04,2023,9,996,Maker,685.62,852.61,0.2435605729121087
polygon-ecosystem,2023-03-04,2023,9,6641,1inch,0.572471,0.506868,-0.1145961978860064
polygon-ecosystem,2023-03-04,2023,9,4696,Curve DAO Token,0.961426,0.902774,-0.0610052151699663
polygon-ecosystem,2023-03-04,2023,9,4708,SAND,0.679563,0.615788,-0.0938470752527727
polygon-ecosystem,2023-03-11,2023,10,376,Bitcoin,22218.0,20388.0,-0.0823656494733999
polygon-ecosystem,2023-03-11,2023,10,345,Binance Coin,287.33,274.1,-0.04604461768698
polygon-ecosystem,2023-03-11,2023,10,1036,Polygon,1.11,1.049,-0.0549549549549551
polygon-ecosystem,2023-03-11,2023,10,5613,Aave,74.63,66.53,-0.1085354415114564
polygon-ecosystem,2023-03-11,2023,10,5395,Uniswap,6.11,5.45,-0.1080196399345335
polygon-ecosystem,2023-03-11,2023,10,1005,Synthetix Network Token,2.86,2.16,-0.2447552447552446
polygon-ecosystem,2023-03-11,2023,10,996,Maker,852.61,726.11,-0.1483679525222551
polygon-ecosystem,2023-03-11,2023,10,4708,SAND,0.615788,0.528305,-0.1420667502452142
polygon-ecosystem,2023-03-11,2023,10,6569,The Graph,0.139689,0.114089,-0.1832642513011046
polygon-ecosystem,2023-03-11,2023,10,659,ChainLink,6.82,6.15,-0.0982404692082111
polygon-ecosystem,2023-03-18,2023,11,376,Bitcoin,20388.0,27527.0,0.3501569550716107
polygon-ecosystem,2023-03-18,2023,11,345,Binance Coin,274.1,339.63,0.2390733309011308
polygon-ecosystem,2023-03-18,2023,11,1036,Polygon,1.049,1.21,0.1534795042897998
polygon-ecosystem,2023-03-18,2023,11,659,ChainLink,6.15,7.12,0.1577235772357723
polygon-ecosystem,2023-03-18,2023,11,5613,Aave,66.53,80.28,0.2066736810461446
polygon-ecosystem,2023-03-18,2023,11,5395,Uniswap,5.45,6.56,0.2036697247706421
polygon-ecosystem,2023-03-18,2023,11,907,Decentraland,0.517805,0.648969,0.2533077123627621
polygon-ecosystem,2023-03-18,2023,11,996,Maker,726.11,706.72,-0.0267039429287573
polygon-ecosystem,2023-03-18,2023,11,1005,Synthetix Network Token,2.16,2.94,0.361111111111111
polygon-ecosystem,2023-03-18,2023,11,6569,The Graph,0.114089,0.161476,0.4153511732068825
polygon-ecosystem,2023-03-25,2023,12,376,Bitcoin,27527.0,27592.0,0.0023613179787118
polygon-ecosystem,2023-03-25,2023,12,345,Binance Coin,339.63,324.47,-0.0446368106468803
polygon-ecosystem,2023-03-25,2023,12,1036,Polygon,1.21,1.079,-0.1082644628099173
polygon-ecosystem,2023-03-25,2023,12,5613,Aave,80.28,70.69,-0.1194569008470354
polygon-ecosystem,2023-03-25,2023,12,659,ChainLink,7.12,7.1,-0.002808988764045
polygon-ecosystem,2023-03-25,2023,12,5395,Uniswap,6.56,5.77,-0.1204268292682926
polygon-ecosystem,2023-03-25,2023,12,907,Decentraland,0.648969,0.578427,-0.108698566495472
polygon-ecosystem,2023-03-25,2023,12,1005,Synthetix Network Token,2.94,2.41,-0.1802721088435373
polygon-ecosystem,2023-03-25,2023,12,6723,Lido DAO,2.58,2.05,-0.2054263565891473
polygon-ecosystem,2023-03-25,2023,12,996,Maker,706.72,665.13,-0.0588493321258773
polygon-ecosystem,2023-04-01,2023,13,376,Bitcoin,27592.0,28502.0,0.0329805740794433
polygon-ecosystem,2023-04-01,2023,13,345,Binance Coin,324.47,314.71,-0.0300798224797363
polygon-ecosystem,2023-04-01,2023,13,1036,Polygon,1.079,1.11,0.0287303058387397
polygon-ecosystem,2023-04-01,2023,13,659,ChainLink,7.1,7.53,0.0605633802816902
polygon-ecosystem,2023-04-01,2023,13,907,Decentraland,0.578427,0.592631,0.0245562534252377
polygon-ecosystem,2023-04-01,2023,13,6569,The Graph,0.137009,0.143113,0.0445518177637965
polygon-ecosystem,2023-04-01,2023,13,5613,Aave,70.69,74.31,0.0512095062950913
polygon-ecosystem,2023-04-01,2023,13,6723,Lido DAO,2.05,2.4,0.1707317073170732
polygon-ecosystem,2023-04-01,2023,13,5395,Uniswap,5.77,6.08,0.0537261698440208
polygon-ecosystem,2023-04-01,2023,13,4696,Curve DAO Token,0.910221,0.922075,0.0130232108465966
polygon-ecosystem,2023-04-08,2023,14,376,Bitcoin,28502.0,27964.0,-0.018875868360115
polygon-ecosystem,2023-04-08,2023,14,345,Binance Coin,314.71,310.97,-0.0118839566585108
polygon-ecosystem,2023-04-08,2023,14,1036,Polygon,1.11,1.11,0.0
polygon-ecosystem,2023-04-08,2023,14,659,ChainLink,7.53,7.13,-0.0531208499335989
polygon-ecosystem,2023-04-08,2023,14,907,Decentraland,0.592631,0.602266,0.016258008777806
polygon-ecosystem,2023-04-08,2023,14,5613,Aave,74.31,76.54,0.0300094199973086
polygon-ecosystem,2023-04-08,2023,14,6569,The Graph,0.143113,0.142405,-0.0049471396728458
polygon-ecosystem,2023-04-08,2023,14,6723,Lido DAO,2.4,2.38,-0.0083333333333333
polygon-ecosystem,2023-04-08,2023,14,4696,Curve DAO Token,0.922075,1.039,0.1268063877667217
polygon-ecosystem,2023-04-08,2023,14,1005,Synthetix Network Token,2.56,2.62,0.0234375
polygon-ecosystem,2023-04-15,2023,15,376,Bitcoin,27964.0,30323.0,0.084358460878272
polygon-ecosystem,2023-04-15,2023,15,345,Binance Coin,310.97,332.77,0.0701032253915167
polygon-ecosystem,2023-04-15,2023,15,659,ChainLink,7.13,7.96,0.1164095371669004
polygon-ecosystem,2023-04-15,2023,15,6569,The Graph,0.142405,0.166261,0.1675222077876478
polygon-ecosystem,2023-04-15,2023,15,5613,Aave,76.54,82.66,0.0799581917951396
polygon-ecosystem,2023-04-15,2023,15,1036,Polygon,1.11,1.17,0.0540540540540539
polygon-ecosystem,2023-04-15,2023,15,907,Decentraland,0.602266,0.632028,0.049416702918644
polygon-ecosystem,2023-04-15,2023,15,6723,Lido DAO,2.38,2.51,0.0546218487394957
polygon-ecosystem,2023-04-15,2023,15,4696,Curve DAO Token,1.039,1.087,0.0461982675649663
polygon-ecosystem,2023-04-15,2023,15,1005,Synthetix Network Token,2.62,2.76,0.0534351145038166
polygon-ecosystem,2023-04-22,2023,16,376,Bitcoin,30323.0,27679.0,-0.0871945387989315
polygon-ecosystem,2023-04-22,2023,16,345,Binance Coin,332.77,330.89,-0.0056495477356732
polygon-ecosystem,2023-04-22,2023,16,659,ChainLink,7.96,7.14,-0.1030150753768844
polygon-ecosystem,2023-04-22,2023,16,6569,The Graph,0.166261,0.1401,-0.1573489874354177
polygon-ecosystem,2023-04-22,2023,16,1036,Polygon,1.17,1.024,-0.1247863247863247
polygon-ecosystem,2023-04-22,2023,16,5613,Aave,82.66,70.49,-0.1472296152915558
polygon-ecosystem,2023-04-22,2023,16,907,Decentraland,0.632028,0.569732,-0.0985652534381388
polygon-ecosystem,2023-04-22,2023,16,6723,Lido DAO,2.51,2.1,-0.1633466135458166
polygon-ecosystem,2023-04-22,2023,16,4696,Curve DAO Token,1.087,0.930349,-0.144113155473781
polygon-ecosystem,2023-04-22,2023,16,1005,Synthetix Network Token,2.76,2.52,-0.0869565217391303
polygon-ecosystem,2023-04-29,2023,17,376,Bitcoin,27679.0,29249.0,0.0567217023736406
polygon-ecosystem,2023-04-29,2023,17,345,Binance Coin,330.89,322.45,-0.0255069660612288
polygon-ecosystem,2023-04-29,2023,17,659,ChainLink,7.14,7.19,0.0070028011204482
polygon-ecosystem,2023-04-29,2023,17,6569,The Graph,0.1401,0.139742,-0.002555317630264
polygon-ecosystem,2023-04-29,2023,17,1036,Polygon,1.024,1.008,-0.015625
polygon-ecosystem,2023-04-29,2023,17,907,Decentraland,0.569732,0.556014,-0.0240779875450211
polygon-ecosystem,2023-04-29,2023,17,5613,Aave,70.49,71.86,0.0194353809050929
polygon-ecosystem,2023-04-29,2023,17,996,Maker,698.4,710.61,0.0174828178694158
polygon-ecosystem,2023-04-29,2023,17,6723,Lido DAO,2.1,2.1,0.0
polygon-ecosystem,2023-04-29,2023,17,1005,Synthetix Network Token,2.52,2.49,-0.0119047619047618
polygon-ecosystem,2023-05-06,2023,18,376,Bitcoin,29249.0,28848.0,-0.0137098704229204
polygon-ecosystem,2023-05-06,2023,18,345,Binance Coin,322.45,323.48,0.0031942936889441
polygon-ecosystem,2023-05-06,2023,18,659,ChainLink,7.19,6.97,-0.0305980528511822
polygon-ecosystem,2023-05-06,2023,18,6569,The Graph,0.139742,0.126929,-0.0916904008816248
polygon-ecosystem,2023-05-06,2023,18,1036,Polygon,1.008,0.98063,-0.0271527777777777
polygon-ecosystem,2023-05-06,2023,18,5613,Aave,71.86,70.03,-0.0254661842471472
polygon-ecosystem,2023-05-06,2023,18,907,Decentraland,0.556014,0.518906,-0.0667393267076009
polygon-ecosystem,2023-05-06,2023,18,6723,Lido DAO,2.1,1.83,-0.1285714285714286
polygon-ecosystem,2023-05-06,2023,18,4696,Curve DAO Token,0.938658,0.908074,-0.0325826871981061
polygon-ecosystem,2023-05-06,2023,18,5395,Uniswap,5.61,5.3,-0.0552584670231729
polygon-ecosystem,2023-05-14,2023,19,376,Bitcoin,28848.0,26895.0,-0.0676996672212978
polygon-ecosystem,2023-05-14,2023,19,345,Binance Coin,323.48,311.65,-0.0365710399406456
polygon-ecosystem,2023-05-14,2023,19,659,ChainLink,6.97,6.49,-0.0688665710186513
polygon-ecosystem,2023-05-14,2023,19,6569,The Graph,0.126929,0.116159,-0.0848505857605432
polygon-ecosystem,2023-05-14,2023,19,1036,Polygon,0.98063,0.851427,-0.1317550962136585
polygon-ecosystem,2023-05-14,2023,19,5613,Aave,70.03,61.92,-0.1158075110666857
polygon-ecosystem,2023-05-14,2023,19,907,Decentraland,0.518906,0.449403,-0.1339414074996242
polygon-ecosystem,2023-05-14,2023,19,6723,Lido DAO,1.83,1.87,0.0218579234972677
polygon-ecosystem,2023-05-14,2023,19,4696,Curve DAO Token,0.908074,0.803289,-0.115392578137905
polygon-ecosystem,2023-05-14,2023,19,1005,Synthetix Network Token,2.39,2.01,-0.1589958158995817
polygon-ecosystem,2023-05-20,2023,20,376,Bitcoin,26895.0,27029.0,0.00498233872467
polygon-ecosystem,2023-05-20,2023,20,345,Binance Coin,311.65,310.58,-0.0034333386812128
polygon-ecosystem,2023-05-20,2023,20,659,ChainLink,6.49,6.49,0.0
polygon-ecosystem,2023-05-20,2023,20,6569,The Graph,0.116159,0.121648,0.0472541946814281
polygon-ecosystem,2023-05-20,2023,20,1036,Polygon,0.851427,0.874814,0.0274680037161141
polygon-ecosystem,2023-05-20,2023,20,6723,Lido DAO,1.87,2.14,0.1443850267379679
polygon-ecosystem,2023-05-20,2023,20,5613,Aave,61.92,65.15,0.0521640826873385
polygon-ecosystem,2023-05-20,2023,20,907,Decentraland,0.449403,0.493189,0.0974314813207744
polygon-ecosystem,2023-05-20,2023,20,4696,Curve DAO Token,0.803289,0.835491,0.0400876894865981
polygon-ecosystem,2023-05-20,2023,20,996,Maker,628.98,625.69,-0.0052306909599668
polygon-ecosystem,2023-05-21,2023,20,1203,IDEX,0.088302,0.081139,-0.08111934044529
polygon-ecosystem,2023-05-21,2023,20,9802,Automata,0.127803,0.129957,0.0168540644585807
polygon-ecosystem,2023-05-21,2023,20,7598,Ethernity Chain,1.85,1.89,0.0216216216216215
polygon-ecosystem,2023-05-21,2023,20,5397,Aavegotchi,0.955661,0.969946,0.0149477691357081
polygon-ecosystem,2023-05-21,2023,20,344,BiLira,0.0455925,0.0478275,0.0490212205954927
