category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-05-04 21:00:15,2024,18,345,Binance Coin,589.07,-,-,72.79
General,polygon-ecosystem,2024-05-04 21:00:20,2024,18,992,USD Coin,1.0,-,-,43.02
General,polygon-ecosystem,2024-05-04 21:00:41,2024,18,2872,Wrapped Bitcoin,63750.0,-,-,45.73
General,polygon-ecosystem,2024-05-04 21:00:48,2024,18,659,ChainLink,14.36,-,-,68.67
General,polygon-ecosystem,2024-05-04 21:00:53,2024,18,1036,Polygon,0.734963,-,-,68.1
General,polygon-ecosystem,2024-05-04 21:01:11,2024,18,5395,Uniswap,7.57,-,-,64.6
General,polygon-ecosystem,2024-05-04 21:01:16,2024,18,865,Dai,0.99951,-,-,39.71
General,polygon-ecosystem,2024-05-04 21:01:47,2024,18,4469,Render Token,9.0,-,-,45.71
General,polygon-ecosystem,2024-05-04 21:02:13,2024,18,6569,The Graph,0.278362,-,-,68.18
General,polygon-ecosystem,2024-05-04 21:02:07,2024,18,996,Maker,2895.79,-,-,64.8
General,polygon-ecosystem,2024-05-04 21:02:23,2024,18,5920,Injective Protocol,24.79,-,-,44.91
General,polygon-ecosystem,2024-05-04 21:02:45,2024,18,6723,Lido DAO,2.09,-,-,65.96
General,polygon-ecosystem,2024-05-04 21:02:43,2024,18,13879,Rocket Pool ETH,3459.5,-,-,37.07
General,polygon-ecosystem,2024-05-04 21:02:47,2024,18,18835,Bonk,2.792e-05,-,-,25.38
General,polygon-ecosystem,2024-05-04 21:03:20,2024,18,5613,Aave,89.28,-,-,67.71
General,polygon-ecosystem,2024-05-04 21:04:01,2024,18,4708,SAND,0.452374,-,-,62.88
General,polygon-ecosystem,2024-05-04 21:04:13,2024,18,1005,Synthetix Network Token,2.86,-,-,65.11
General,polygon-ecosystem,2024-05-04 21:04:45,2024,18,907,Decentraland,0.449667,-,-,66.94
General,polygon-ecosystem,2024-05-04 21:04:58,2024,18,18821,Axelar,1.27,-,-,42.8
General,polygon-ecosystem,2024-05-04 21:04:49,2024,18,5649,APEcoin,1.25,-,-,39.08
General,polygon-ecosystem,2024-05-04 21:05:12,2024,18,1028,NEXO,1.3,-,-,55.26
General,polygon-ecosystem,2024-05-04 21:06:22,2024,18,1121,Ocean Protocol,0.916265,-,-,56.26
General,polygon-ecosystem,2024-05-04 21:05:38,2024,18,6570,Frax,0.998545,-,-,55.34
General,polygon-ecosystem,2024-05-04 21:05:33,2024,18,18838,Frax Ether,3111.55,-,-,28.39
General,polygon-ecosystem,2024-05-04 21:06:02,2024,18,4706,MANTRA DAO,0.792306,-,-,48.9
General,polygon-ecosystem,2024-05-04 21:06:52,2024,18,1052,Golem,0.579284,-,-,54.31
General,polygon-ecosystem,2024-05-04 21:06:06,2024,18,19695,Coinbase Wrapped Staked ETH,3339.89,-,-,15.08
General,polygon-ecosystem,2024-05-04 21:06:11,2024,18,10321,WOO Network,0.300063,-,-,29.91
