category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-04-20 21:00:13,2024,16,345,Binance Coin,572.35,-,-,72.89
General,polygon-ecosystem,2024-04-20 21:00:17,2024,16,992,USD Coin,0.99987,-,-,42.16
General,polygon-ecosystem,2024-04-20 21:00:36,2024,16,2872,Wrapped Bitcoin,64796.0,-,-,45.83
General,polygon-ecosystem,2024-04-20 21:00:45,2024,16,659,ChainLink,15.0,-,-,68.65
General,polygon-ecosystem,2024-04-20 21:00:48,2024,16,1036,Polygon,0.737217,-,-,67.65
General,polygon-ecosystem,2024-04-20 21:01:03,2024,16,5395,Uniswap,7.85,-,-,64.49
General,polygon-ecosystem,2024-04-20 21:00:59,2024,16,865,Dai,0.998896,-,-,32.28
General,polygon-ecosystem,2024-04-20 21:01:39,2024,16,4469,Render Token,8.77,-,-,45.69
General,polygon-ecosystem,2024-04-20 21:01:55,2024,16,6569,The Graph,0.298259,-,-,68.04
General,polygon-ecosystem,2024-04-20 21:01:49,2024,16,996,Maker,3108.07,-,-,66.33
General,polygon-ecosystem,2024-04-20 21:02:06,2024,16,5920,Injective Protocol,29.19,-,-,45.37
General,polygon-ecosystem,2024-04-20 21:02:35,2024,16,6723,Lido DAO,2.1,-,-,65.38
General,polygon-ecosystem,2024-04-20 21:02:17,2024,16,13879,Rocket Pool ETH,3484.47,-,-,35.86
General,polygon-ecosystem,2024-04-20 21:03:18,2024,16,5613,Aave,91.66,-,-,67.19
General,polygon-ecosystem,2024-04-20 21:03:49,2024,16,18835,Bonk,1.875e-05,-,-,25.89
General,polygon-ecosystem,2024-04-20 21:03:55,2024,16,4708,SAND,0.48288,-,-,62.55
General,polygon-ecosystem,2024-04-20 21:04:03,2024,16,1005,Synthetix Network Token,3.12,-,-,65.01
General,polygon-ecosystem,2024-04-20 21:04:35,2024,16,907,Decentraland,0.471862,-,-,67.44
General,polygon-ecosystem,2024-04-20 21:04:50,2024,16,5649,APEcoin,1.32,-,-,38.95
General,polygon-ecosystem,2024-04-20 21:05:20,2024,16,18821,Axelar,1.26,-,-,41.94
General,polygon-ecosystem,2024-04-20 21:04:53,2024,16,1028,NEXO,1.28,-,-,55.46
General,polygon-ecosystem,2024-04-20 21:04:43,2024,16,18838,Frax Ether,3148.47,-,-,27.47
General,polygon-ecosystem,2024-04-20 21:05:01,2024,16,6570,Frax,0.999182,-,-,55.36
General,polygon-ecosystem,2024-04-20 21:06:47,2024,16,1121,Ocean Protocol,1.031,-,-,56.12
General,polygon-ecosystem,2024-04-20 21:06:26,2024,16,10321,WOO Network,0.315508,-,-,29.23
General,polygon-ecosystem,2024-04-20 21:05:40,2024,16,19695,Coinbase Wrapped Staked ETH,3359.8,-,-,14.49
General,polygon-ecosystem,2024-04-20 21:06:38,2024,16,1090,IoTeX,0.058611,-,-,62.15
General,polygon-ecosystem,2024-04-20 21:05:34,2024,16,4706,MANTRA DAO,0.724668,-,-,41.53
General,polygon-ecosystem,2024-04-20 21:06:35,2024,16,4696,Curve DAO Token,0.462259,-,-,64.96
General,polygon-ecosystem,2024-04-20 21:06:24,2024,16,18839,Staked Frax Ether,3412.21,-,-,10.67
General,polygon-ecosystem,2024-04-20 21:07:44,2024,16,188,Ankr,0.0491667,-,-,43.14
General,polygon-ecosystem,2024-04-20 21:06:04,2024,16,1002,TrueUSD,1.0,-,-,48.26
General,polygon-ecosystem,2024-04-20 21:06:58,2024,16,6641,1inch,0.4459,-,-,63.26
General,polygon-ecosystem,2024-04-20 21:06:43,2024,16,16387,STEPN,0.256104,-,-,44.15
General,polygon-ecosystem,2024-04-20 21:07:51,2024,16,7424,SuperFarm,1.086,-,-,36.49
General,polygon-ecosystem,2024-04-20 21:07:05,2024,16,3720,Rocket Pool,23.11,-,-,38.33
