,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-04-13 21:00:13,2024,14,345,Binance Coin,585.35,522.96,-0.10658580336550778,72.0
1,General,polygon-ecosystem,2024-04-13 21:00:18,2024,14,992,USD Coin,1.001,0.996869,-0.004126873126873013,42.33
2,General,polygon-ecosystem,2024-04-13 21:00:44,2024,14,2872,Wrapped Bitcoin,68505.0,61668.0,-0.09980293409240201,46.45
3,General,polygon-ecosystem,2024-04-13 21:00:49,2024,14,659,ChainLink,17.5,12.25,-0.3,72.02
4,General,polygon-ecosystem,2024-04-13 21:00:51,2024,14,5395,Uniswap,11.25,6.25,-0.4444444444444444,65.15
5,General,polygon-ecosystem,2024-04-13 21:00:54,2024,14,1036,Polygon,0.896547,0.610038,-0.3195694146542234,68.21
6,General,polygon-ecosystem,2024-04-13 21:01:09,2024,14,865,Dai,1.001,1.0,-0.000999000999000889,39.76
7,General,polygon-ecosystem,2024-04-13 21:01:34,2024,14,4469,Render Token,9.52,6.68,-0.29831932773109243,44.16
8,General,polygon-ecosystem,2024-04-13 21:01:43,2024,14,996,Maker,3714.0,2576.08,-0.30638664512654823,65.28
9,General,polygon-ecosystem,2024-04-13 21:01:50,2024,14,6569,The Graph,0.335957,0.211248,-0.3712052435281897,68.3
10,General,polygon-ecosystem,2024-04-13 21:01:52,2024,14,5920,Injective Protocol,34.89,20.67,-0.407566638005159,45.16
11,General,polygon-ecosystem,2024-04-13 21:02:21,2024,14,6723,Lido DAO,2.52,1.66,-0.3412698412698413,66.69
12,General,polygon-ecosystem,2024-04-13 21:02:41,2024,14,13879,Rocket Pool ETH,3697.41,3211.84,-0.13132706407999106,36.09
13,General,polygon-ecosystem,2024-04-13 21:02:58,2024,14,5613,Aave,117.75,74.55,-0.3668789808917198,68.35
14,General,polygon-ecosystem,2024-04-13 21:03:20,2024,14,18835,Bonk,2.268e-05,1.366e-05,-0.3977072310405644,25.7
15,General,polygon-ecosystem,2024-04-13 21:03:38,2024,14,4708,SAND,0.608391,0.386002,-0.36553630806504367,63.23
16,General,polygon-ecosystem,2024-04-13 21:03:49,2024,14,1005,Synthetix Network Token,3.97,2.56,-0.35516372795969775,65.73
17,General,polygon-ecosystem,2024-04-13 21:04:26,2024,14,907,Decentraland,0.589481,0.393677,-0.3321633776152243,68.09
18,General,polygon-ecosystem,2024-04-13 21:04:34,2024,14,5649,APEcoin,1.71,1.093,-0.3608187134502924,39.74
19,General,polygon-ecosystem,2024-04-13 21:05:04,2024,14,18821,Axelar,1.5,0.956797,-0.3621353333333333,42.47
20,General,polygon-ecosystem,2024-04-13 21:05:21,2024,14,18838,Frax Ether,3336.22,2933.5,-0.12071146387228655,27.83
21,General,polygon-ecosystem,2024-04-13 21:05:56,2024,14,10321,WOO Network,0.415797,0.258879,-0.3773908902661635,28.0
22,General,polygon-ecosystem,2024-04-13 21:06:10,2024,14,1028,NEXO,1.33,1.2,-0.09774436090225572,56.67
23,General,polygon-ecosystem,2024-04-13 21:06:13,2024,14,4696,Curve DAO Token,0.623114,0.388477,-0.37655549385826664,66.62
24,General,polygon-ecosystem,2024-04-13 21:06:23,2024,14,1090,IoTeX,0.076479,0.0488298,-0.3615266936021653,63.73
25,General,polygon-ecosystem,2024-04-13 21:06:33,2024,14,1121,Ocean Protocol,1.13,0.704726,-0.37634867256637167,58.81
26,General,polygon-ecosystem,2024-04-13 21:06:47,2024,14,19695,Coinbase Wrapped Staked ETH,3577.07,3125.77,-0.12616471022373063,15.12
27,General,polygon-ecosystem,2024-04-13 21:06:57,2024,14,6641,1inch,0.544748,0.365902,-0.32830960370666806,63.97
28,General,polygon-ecosystem,2024-04-13 21:07:53,2024,14,4706,MANTRA DAO,0.67962,0.692798,0.01939024749124514,49.93
29,General,polygon-ecosystem,2024-04-13 21:06:39,2024,14,6570,Frax,0.998224,1.003,0.004784497267146344,55.59
