,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2023-02-18 22:21:10,2023,6,4569,MATH,0.133072,0.155081,0.16539166766863053,54.12
1,General,polygon-ecosystem,2023-02-25 22:21:28,2023,7,4569,MATH,0.155081,0.149712,-0.034620617612731316,49.72
2,General,polygon-ecosystem,2023-03-04 22:23:38,2023,8,4569,MATH,0.149712,0.13699,-0.08497648819065946,53.41
3,General,polygon-ecosystem,2023-03-11 22:21:42,2023,9,4569,MATH,0.13699,0.116419,-0.15016424556536978,56.55
4,General,polygon-ecosystem,2023-03-18 22:21:47,2023,10,4569,MATH,0.116419,0.125233,0.07570929143868284,56.28
5,General,polygon-ecosystem,2023-03-25 22:23:36,2023,11,4569,MATH,0.125233,0.11968,-0.04434134772783544,56.8
6,General,polygon-ecosystem,2023-04-01 23:22:40,2023,12,4569,MATH,0.11968,0.114754,-0.04115975935828877,58.93
7,General,polygon-ecosystem,2023-04-08 23:23:05,2023,13,4569,MATH,0.114754,0.111613,-0.0273715948899384,58.96
8,General,polygon-ecosystem,2023-04-15 23:24:02,2023,14,4569,MATH,0.111613,0.135256,0.21183016315303757,58.98
9,General,polygon-ecosystem,2023-04-22 23:23:53,2023,15,4569,MATH,0.135256,0.112128,-0.1709942627314129,59.69
10,General,polygon-ecosystem,2023-04-29 23:22:56,2023,16,4569,MATH,0.112128,0.105534,-0.05880779109589043,58.25
11,General,polygon-ecosystem,2023-05-06 23:24:43,2023,17,4569,MATH,0.105534,0.109782,0.04025243049633295,58.56
12,General,polygon-ecosystem,2023-05-28 11:55:03,2023,20,4569,MATH,0.097239,0.093482,-0.03863676097039264,48.44
13,General,polygon-ecosystem,2023-06-04 12:11:50,2023,21,4569,MATH,0.093482,0.093293,-0.0020217795939324653,60.0
14,General,polygon-ecosystem,2023-06-11 12:07:34,2023,22,4569,MATH,0.093293,0.081339,-0.12813394359705452,55.2
15,General,polygon-ecosystem,2023-06-17 21:29:06,2023,23,4569,MATH,0.081339,0.079566,-0.021797661638328438,51.82
16,General,polygon-ecosystem,2023-06-24 21:29:37,2023,24,4569,MATH,0.079566,0.085229,0.07117361687152805,54.12
17,General,polygon-ecosystem,2023-07-01 21:27:14,2023,25,4569,MATH,0.085229,0.081674,-0.04171115465393238,47.36
18,General,polygon-ecosystem,2023-07-08 21:29:17,2023,26,4569,MATH,0.081674,0.080459,-0.014876215197002643,46.7
19,General,polygon-ecosystem,2023-07-15 21:31:58,2023,27,4569,MATH,0.080459,0.074242,-0.07726916814775227,46.36
20,General,polygon-ecosystem,2023-07-22 21:38:50,2023,28,4569,MATH,0.074242,0.073692,-0.007408205597909658,44.03
21,General,polygon-ecosystem,2023-07-29 22:18:18,2023,29,4569,MATH,0.073692,0.07405,0.004858057862454692,47.09
22,General,polygon-ecosystem,2023-08-05 21:25:23,2023,30,4569,MATH,0.07405,0.075756,0.02303848750844023,47.2
23,General,polygon-ecosystem,2023-08-12 21:24:59,2023,31,4569,MATH,0.075756,0.076925,0.01543112096731598,47.28
24,General,polygon-ecosystem,2023-08-19 21:25:24,2023,32,4569,MATH,0.076925,0.073768,-0.0410399740006499,43.22
25,General,polygon-ecosystem,2023-08-26 21:26:19,2023,33,4569,MATH,0.073768,0.068862,-0.06650580197375547,51.0
26,General,polygon-ecosystem,2023-09-02 21:27:06,2023,34,4569,MATH,0.068862,0.066503,-0.03425691963637419,50.84
27,General,polygon-ecosystem,2023-09-09 21:26:34,2023,35,4569,MATH,0.066503,0.067849,0.020239688435108188,50.96
28,General,polygon-ecosystem,2023-09-16 21:26:33,2023,36,4569,MATH,0.067849,0.066831,-0.015003905731845789,51.24
29,General,polygon-ecosystem,2023-09-23 21:26:03,2023,37,4569,MATH,0.066831,0.067469,0.009546467956487253,51.08
30,General,polygon-ecosystem,2023-09-30 21:26:28,2023,38,4569,MATH,0.067469,0.068839,0.0203056218411418,51.24
31,General,polygon-ecosystem,2023-10-07 21:26:52,2023,39,4569,MATH,0.068839,0.070706,0.02712125394035369,51.24
32,General,polygon-ecosystem,2023-10-14 21:26:02,2023,40,4569,MATH,0.070706,0.067554,-0.044578960767120215,51.24
33,General,polygon-ecosystem,2023-10-21 21:25:35,2023,41,4569,MATH,0.067554,0.066924,-0.009325872635225234,50.96
34,General,polygon-ecosystem,2023-10-28 21:25:43,2023,42,4569,MATH,0.066924,0.069179,0.03369493754109149,51.16
35,General,polygon-ecosystem,2023-11-04 21:27:35,2023,43,4569,MATH,0.069179,0.077183,0.11569985111088621,51.28
36,General,polygon-ecosystem,2023-11-11 21:27:16,2023,44,4569,MATH,0.077183,0.079752,0.033284531567832315,51.44
37,General,polygon-ecosystem,2023-11-18 21:27:58,2023,45,4569,MATH,0.079752,0.086426,0.0836844217072926,51.11
38,General,polygon-ecosystem,2023-11-25 21:30:06,2023,46,4569,MATH,0.086426,0.097978,0.1336634808969522,51.19
39,General,polygon-ecosystem,2023-12-02 21:41:16,2023,47,4569,MATH,0.097978,0.109066,0.113168262262957,51.52
40,General,polygon-ecosystem,2023-12-09 21:27:23,2023,48,4569,MATH,0.109066,0.103895,-0.04741165899547059,31.82
41,General,polygon-ecosystem,2023-12-16 21:31:04,2023,49,4569,MATH,0.103895,0.107684,0.0364695124885702,31.43
42,General,polygon-ecosystem,2023-12-23 21:34:34,2023,50,4569,MATH,0.107684,0.14908,0.3844210839121874,49.6
43,General,polygon-ecosystem,2023-12-30 21:30:12,2023,51,4569,MATH,0.14908,0.218598,0.4663133887845452,41.22
44,General,polygon-ecosystem,2024-01-06 21:26:11,2023,52,4569,MATH,0.218598,0.214288,-0.019716557333552827,47.64
45,General,polygon-ecosystem,2024-01-13 21:27:35,2024,1,4569,MATH,0.214288,0.205976,-0.03878891958485783,51.12
46,General,polygon-ecosystem,2024-01-20 21:25:26,2024,2,4569,MATH,0.205976,0.182605,-0.11346467549617432,48.28
47,General,polygon-ecosystem,2024-01-27 21:29:34,2024,3,4569,MATH,0.182605,0.163678,-0.10364995482051423,45.43
48,General,polygon-ecosystem,2024-02-03 21:28:55,2024,4,4569,MATH,0.163678,0.149438,-0.08700008553379197,47.91
49,General,polygon-ecosystem,2024-02-10 21:28:47,2024,5,4569,MATH,0.149438,0.183628,0.22879053520523582,57.35
50,General,polygon-ecosystem,2024-02-18 03:27:23,2024,6,4569,MATH,0.183628,0.172847,-0.058711089812011306,57.23
51,General,polygon-ecosystem,2024-02-24 21:34:39,2024,7,4569,MATH,0.172847,0.190976,0.10488466678623294,54.94
52,General,polygon-ecosystem,2024-03-02 21:28:01,2024,8,4569,MATH,0.190976,0.19369,0.014211209785522757,57.07
53,General,polygon-ecosystem,2024-03-09 21:31:07,2024,9,4569,MATH,0.19369,0.236821,0.22268057204811814,58.58
54,General,polygon-ecosystem,2024-03-16 21:29:17,2024,10,4569,MATH,0.236821,0.212654,-0.10204753801394299,56.77
55,General,polygon-ecosystem,2024-03-23 21:28:38,2024,11,4569,MATH,0.212654,0.198252,-0.06772503691442436,57.23
56,General,polygon-ecosystem,2024-03-30 21:30:05,2024,12,4569,MATH,0.198252,0.201057,0.014148659282125789,57.46
57,General,polygon-ecosystem,2024-04-06 21:37:42,2024,13,4569,MATH,0.201057,0.189554,-0.057212631243876176,57.56
58,General,polygon-ecosystem,2024-04-13 21:49:02,2024,14,4569,MATH,0.189554,0.543297,1.8661858889815042,57.55
