,id_project,week,year,top,score,created_at,name,week_associated
0,376,1,2024,General,85.51,2024-01-08 10:12:30,Bitcoin,5
1,978,1,2024,General,76.16,2024-01-08 10:12:32,Ethereum,5
2,8839,1,2024,General,73.56,2024-01-08 10:13:03,Internet Computer,5
3,345,1,2024,General,72.64,2024-01-08 10:12:29,Binance Coin,5
4,5518,1,2024,General,72.21,2024-01-08 10:12:50,Avalanche,5
5,984,1,2024,General,71.18,2024-01-08 10:12:33,TRON,5
6,659,1,2024,General,71.00,2024-01-08 10:12:31,ChainLink,5
7,1036,1,2024,General,70.67,2024-01-08 10:12:33,Polygon,5
8,6569,1,2024,General,70.22,2024-01-08 10:12:54,The Graph,5
9,979,1,2024,General,70.09,2024-01-08 10:12:32,XRP,5
10,4688,1,2024,General,69.94,2024-01-08 10:12:47,Polkadot,5
11,15951,1,2024,General,69.58,2024-01-08 10:14:27,BitTorrent,5
12,3844,1,2024,General,69.31,2024-01-08 10:12:44,Trust Wallet Token,5
13,8477,1,2024,General,68.50,2024-01-08 10:13:02,Mina Protocol (IOU),5
14,621,1,2024,General,68.43,2024-01-08 10:12:31,Cardano,5
15,5674,1,2024,General,68.38,2024-01-08 10:12:51,PancakeSwap,5
16,1087,1,2024,General,68.05,2024-01-08 10:12:34,Kava,5
17,1069,1,2024,General,67.88,2024-01-08 10:12:33,Hedera Hashgraph,5
18,18126,1,2024,General,67.70,2024-01-08 10:15:05,Optimism,5
19,5613,1,2024,General,66.96,2024-01-08 10:12:50,Aave,5
20,6009,1,2024,General,66.89,2024-01-08 10:12:52,Axie Infinity,5
21,996,1,2024,General,66.85,2024-01-08 10:12:33,Maker,5
22,6641,1,2024,General,66.71,2024-01-08 10:12:55,1inch,5
23,994,1,2024,General,66.53,2024-01-08 10:12:33,VeChain,5
24,147,1,2024,General,66.27,2024-01-08 10:12:29,Algorand,5
25,18408,1,2024,General,65.74,2024-01-08 10:15:10,Kaspa,5
26,995,1,2024,General,65.38,2024-01-08 10:12:33,Ontology,5
27,1032,1,2024,General,64.91,2024-01-08 10:12:33,Zilliqa,5
28,1118,1,2024,General,64.88,2024-01-08 10:12:34,VeThor Token,5
29,1014,1,2024,General,64.59,2024-01-08 10:12:33,Enjin Coin,5
30,376,2,2024,General,92.04,2024-01-15 10:33:04,Bitcoin,5
31,978,2,2024,General,79.81,2024-01-15 10:33:09,Ethereum,5
32,8839,2,2024,General,74.84,2024-01-15 10:34:23,Internet Computer,5
33,345,2,2024,General,73.40,2024-01-15 10:33:03,Binance Coin,5
34,5518,2,2024,General,72.28,2024-01-15 10:33:49,Avalanche,5
35,621,2,2024,General,71.60,2024-01-15 10:33:06,Cardano,5
36,1069,2,2024,General,71.31,2024-01-15 10:33:11,Hedera Hashgraph,5
37,984,2,2024,General,71.31,2024-01-15 10:33:09,TRON,5
38,4688,2,2024,General,71.15,2024-01-15 10:33:42,Polkadot,5
39,769,2,2024,General,71.13,2024-01-15 10:33:07,Cosmos,5
40,1036,2,2024,General,70.83,2024-01-15 10:33:10,Polygon,5
41,3844,2,2024,General,70.70,2024-01-15 10:33:36,Trust Wallet Token,5
42,994,2,2024,General,70.65,2024-01-15 10:33:09,VeChain,5
43,6569,2,2024,General,70.54,2024-01-15 10:34:00,The Graph,5
44,15951,2,2024,General,70.28,2024-01-15 10:36:14,BitTorrent,5
45,8477,2,2024,General,70.22,2024-01-15 10:34:19,Mina Protocol (IOU),5
46,147,2,2024,General,69.83,2024-01-15 10:33:02,Algorand,5
47,2391,2,2024,General,67.59,2024-01-15 10:33:26,Klaytn,5
48,659,2,2024,General,67.09,2024-01-15 10:33:06,ChainLink,5
49,6641,2,2024,General,67.06,2024-01-15 10:34:00,1inch,5
50,907,2,2024,General,66.92,2024-01-15 10:33:08,Decentraland,5
51,1014,2,2024,General,66.76,2024-01-15 10:33:10,Enjin Coin,5
52,1005,2,2024,General,66.43,2024-01-15 10:33:09,Synthetix Network Token,5
53,18126,2,2024,General,66.29,2024-01-15 10:36:54,Optimism,5
54,1011,2,2024,General,66.17,2024-01-15 10:33:10,Theta Network,5
55,985,2,2024,General,65.99,2024-01-15 10:33:09,Tezos,5
56,7102,2,2024,General,65.57,2024-01-15 10:34:05,Flow - Dapper Labs,5
57,986,2,2024,General,65.50,2024-01-15 10:33:09,Monero,5
58,979,2,2024,General,65.46,2024-01-15 10:33:09,XRP,5
59,1118,2,2024,General,65.42,2024-01-15 10:33:12,VeThor Token,5
60,376,3,2024,General,90.79,2024-01-22 10:03:14,Bitcoin,5
61,978,3,2024,General,77.44,2024-01-22 10:03:16,Ethereum,5
62,8839,3,2024,General,74.94,2024-01-22 10:03:46,Internet Computer,5
63,345,3,2024,General,74.66,2024-01-22 10:03:14,Binance Coin,5
64,979,3,2024,General,72.88,2024-01-22 10:03:16,XRP,5
65,621,3,2024,General,71.50,2024-01-22 10:03:15,Cardano,5
66,1069,3,2024,General,71.20,2024-01-22 10:03:17,Hedera Hashgraph,5
67,984,3,2024,General,70.70,2024-01-22 10:03:16,TRON,5
68,769,3,2024,General,70.42,2024-01-22 10:03:15,Cosmos,5
69,1036,3,2024,General,70.13,2024-01-22 10:03:17,Polygon,5
70,4688,3,2024,General,70.08,2024-01-22 10:03:30,Polkadot,5
71,5613,3,2024,General,69.69,2024-01-22 10:03:33,Aave,5
72,3844,3,2024,General,69.60,2024-01-22 10:03:28,Trust Wallet Token,5
73,8477,3,2024,General,69.53,2024-01-22 10:03:44,Mina Protocol (IOU),5
74,15951,3,2024,General,69.19,2024-01-22 10:04:29,BitTorrent,5
75,6569,3,2024,General,68.28,2024-01-22 10:03:37,The Graph,5
76,1087,3,2024,General,67.95,2024-01-22 10:03:17,Kava,5
77,5674,3,2024,General,67.86,2024-01-22 10:03:34,PancakeSwap,5
78,907,3,2024,General,66.75,2024-01-22 10:03:16,Decentraland,5
79,996,3,2024,General,66.27,2024-01-22 10:03:16,Maker,5
80,1011,3,2024,General,66.17,2024-01-22 10:03:17,Theta Network,5
81,986,3,2024,General,65.74,2024-01-22 10:03:16,Monero,5
82,1014,3,2024,General,65.70,2024-01-22 10:03:17,Enjin Coin,5
83,1032,3,2024,General,65.40,2024-01-22 10:03:17,Zilliqa,5
84,985,3,2024,General,65.37,2024-01-22 10:03:16,Tezos,5
85,7102,3,2024,General,65.03,2024-01-22 10:03:39,Flow - Dapper Labs,5
86,1118,3,2024,General,64.60,2024-01-22 10:03:17,VeThor Token,5
87,659,3,2024,General,64.35,2024-01-22 10:03:15,ChainLink,5
88,4708,3,2024,General,64.30,2024-01-22 10:03:30,SAND,5
89,1081,3,2024,General,64.29,2024-01-22 10:03:17,Harmony,5
90,376,4,2024,General,90.18,2024-01-29 10:12:05,Bitcoin,5
91,978,4,2024,General,75.67,2024-01-29 10:12:13,Ethereum,5
92,345,4,2024,General,73.65,2024-01-29 10:12:05,Binance Coin,5
93,979,4,2024,General,72.38,2024-01-29 10:12:13,XRP,5
94,5518,4,2024,General,72.19,2024-01-29 10:13:09,Avalanche,5
95,8839,4,2024,General,71.37,2024-01-29 10:13:47,Internet Computer,5
96,1069,4,2024,General,71.19,2024-01-29 10:12:16,Hedera Hashgraph,5
97,984,4,2024,General,70.89,2024-01-29 10:12:13,TRON,5
98,1036,4,2024,General,70.75,2024-01-29 10:12:15,Polygon,5
99,769,4,2024,General,70.64,2024-01-29 10:12:10,Cosmos,5
100,4688,4,2024,General,70.57,2024-01-29 10:13:00,Polkadot,5
101,994,4,2024,General,70.54,2024-01-29 10:12:13,VeChain,5
102,621,4,2024,General,70.42,2024-01-29 10:12:08,Cardano,5
103,6569,4,2024,General,70.35,2024-01-29 10:13:21,The Graph,5
104,5613,4,2024,General,70.07,2024-01-29 10:13:10,Aave,5
105,147,4,2024,General,69.83,2024-01-29 10:12:02,Algorand,5
106,8477,4,2024,General,69.71,2024-01-29 10:13:43,Mina Protocol (IOU),5
107,3844,4,2024,General,69.61,2024-01-29 10:12:51,Trust Wallet Token,5
108,15951,4,2024,General,68.65,2024-01-29 10:15:40,BitTorrent,5
109,1087,4,2024,General,68.42,2024-01-29 10:12:16,Kava,5
110,2391,4,2024,General,67.88,2024-01-29 10:12:34,Klaytn,5
111,986,4,2024,General,66.99,2024-01-29 10:12:13,Monero,5
112,996,4,2024,General,66.70,2024-01-29 10:12:13,Maker,5
113,15335,4,2024,General,66.60,2024-01-29 10:15:31,Moonbeam,5
114,907,4,2024,General,66.39,2024-01-29 10:12:12,Decentraland,5
115,1011,4,2024,General,66.25,2024-01-29 10:12:14,Theta Network,5
116,1014,4,2024,General,66.23,2024-01-29 10:12:14,Enjin Coin,5
117,1005,4,2024,General,66.10,2024-01-29 10:12:14,Synthetix Network Token,5
118,10410,4,2024,General,65.85,2024-01-29 10:14:11,Moonriver,5
119,659,4,2024,General,65.78,2024-01-29 10:12:09,ChainLink,5
120,376,2,2024,General,92.04,2024-01-15 10:33:04,Bitcoin,6
121,978,2,2024,General,79.81,2024-01-15 10:33:09,Ethereum,6
122,8839,2,2024,General,74.84,2024-01-15 10:34:23,Internet Computer,6
123,345,2,2024,General,73.40,2024-01-15 10:33:03,Binance Coin,6
124,5518,2,2024,General,72.28,2024-01-15 10:33:49,Avalanche,6
125,621,2,2024,General,71.60,2024-01-15 10:33:06,Cardano,6
126,1069,2,2024,General,71.31,2024-01-15 10:33:11,Hedera Hashgraph,6
127,984,2,2024,General,71.31,2024-01-15 10:33:09,TRON,6
128,4688,2,2024,General,71.15,2024-01-15 10:33:42,Polkadot,6
129,769,2,2024,General,71.13,2024-01-15 10:33:07,Cosmos,6
130,1036,2,2024,General,70.83,2024-01-15 10:33:10,Polygon,6
131,3844,2,2024,General,70.70,2024-01-15 10:33:36,Trust Wallet Token,6
132,994,2,2024,General,70.65,2024-01-15 10:33:09,VeChain,6
133,6569,2,2024,General,70.54,2024-01-15 10:34:00,The Graph,6
134,15951,2,2024,General,70.28,2024-01-15 10:36:14,BitTorrent,6
135,8477,2,2024,General,70.22,2024-01-15 10:34:19,Mina Protocol (IOU),6
136,147,2,2024,General,69.83,2024-01-15 10:33:02,Algorand,6
137,2391,2,2024,General,67.59,2024-01-15 10:33:26,Klaytn,6
138,659,2,2024,General,67.09,2024-01-15 10:33:06,ChainLink,6
139,6641,2,2024,General,67.06,2024-01-15 10:34:00,1inch,6
