,id_project,week,year,top,score,created_at,name,week_associated,init_price,end_price,performance,date_performance
0,376,1,2024,General,85.51,2024-01-08 10:12:30,Bitcoin,5,43857.0,42845.0,-0.023074993729621268,2024-01-13 21:00:07
1,978,1,2024,General,76.16,2024-01-08 10:12:32,Ethereum,5,2242.24,2571.78,0.14696910232624538,2024-01-13 21:00:09
2,8839,1,2024,General,73.56,2024-01-08 10:13:03,Internet Computer,5,12.13,12.93,0.06595218466611698,2024-01-13 21:00:49
3,345,1,2024,General,72.64,2024-01-08 10:12:29,Binance Coin,5,307.1,302.36,-0.015434711820254018,2024-01-13 21:00:14
4,5518,1,2024,General,72.21,2024-01-08 10:12:50,Avalanche,5,34.67,36.31,0.04730314392846843,2024-01-13 21:00:28
5,984,1,2024,General,71.18,2024-01-08 10:12:33,TRON,5,0.103885,0.113699,0.09446984646484083,2024-01-13 21:00:35
6,659,1,2024,General,71.00,2024-01-08 10:12:31,ChainLink,5,13.52,14.38,0.06360946745562139,2024-01-13 21:00:40
7,1036,1,2024,General,70.67,2024-01-08 10:12:33,Polygon,5,0.828885,0.884572,0.06718302297664941,2024-01-13 21:00:38
8,6569,1,2024,General,70.22,2024-01-08 10:12:54,The Graph,5,0.171799,0.172115,0.0018393587855574417,2024-01-13 21:01:53
9,979,1,2024,General,70.09,2024-01-08 10:12:32,XRP,5,0.568117,0.575125,0.012335487232383495,2024-01-13 21:00:19
10,4688,1,2024,General,69.94,2024-01-08 10:12:47,Polkadot,5,7.17,7.65,0.06694560669456073,2024-01-13 21:00:33
11,15951,1,2024,General,69.58,2024-01-08 10:14:27,BitTorrent,5,1.07e-06,1.08e-06,0.009345794392523473,2024-01-13 21:02:38
12,3844,1,2024,General,69.31,2024-01-08 10:12:44,Trust Wallet Token,5,1.11,1.16,0.04504504504504488,2024-01-13 21:04:52
13,8477,1,2024,General,68.50,2024-01-08 10:13:02,Mina Protocol (IOU),5,1.11,1.23,0.10810810810810799,2024-01-13 21:02:23
14,621,1,2024,General,68.43,2024-01-08 10:12:31,Cardano,5,0.523814,0.549262,0.04858213029815932,2024-01-13 21:00:26
15,5674,1,2024,General,68.38,2024-01-08 10:12:51,PancakeSwap,5,2.95,2.95,0.0,2024-01-13 21:03:21
16,1087,1,2024,General,68.05,2024-01-08 10:12:34,Kava,5,0.779778,0.778556,-0.001567112691047895,2024-01-13 21:02:59
17,1069,1,2024,General,67.88,2024-01-08 10:12:33,Hedera Hashgraph,5,0.079579,0.080322,0.009336634036617796,2024-01-13 21:01:28
18,18126,1,2024,General,67.70,2024-01-08 10:15:05,Optimism,5,3.24,3.77,0.16358024691358017,2024-01-13 21:01:14
19,5613,1,2024,General,66.96,2024-01-08 10:12:50,Aave,5,99.87,106.72,0.06858916591569034,2024-01-13 21:02:06
20,6009,1,2024,General,66.89,2024-01-08 10:12:52,Axie Infinity,5,8.21,8.17,-0.0048721071863582115,2024-01-13 21:02:31
21,996,1,2024,General,66.85,2024-01-08 10:12:33,Maker,5,1742.58,2072.51,0.18933420560318626,2024-01-13 21:01:56
22,6641,1,2024,General,66.71,2024-01-08 10:12:55,1inch,5,0.465551,0.495475,0.06427652394689305,2024-01-13 21:04:19
23,994,1,2024,General,66.53,2024-01-08 10:12:33,VeChain,5,0.0297698,0.0310984,0.044629120786837645,2024-01-13 21:01:43
24,147,1,2024,General,66.27,2024-01-08 10:12:29,Algorand,5,0.189645,0.190809,0.00613778375385588,2024-01-13 21:01:59
25,18408,1,2024,General,65.74,2024-01-08 10:15:10,Kaspa,5,0.107239,0.113593,0.05925083225319146,2024-01-13 21:01:32
26,995,1,2024,General,65.38,2024-01-08 10:12:33,Ontology,5,0.259392,0.246475,-0.04979721811004199,2024-01-13 21:08:19
