,id_project,name,score,position,platform,year,week
0,345,Binance Coin,73.63,4.0,binance-smart-chain,2023,39
1,3844,Trust Wallet Token,68.37,16.0,binancecoin,2023,39
2,5674,PancakeSwap,65.06,200.0,binancecoin,2023,39
3,6641,1inch,63.77,44.0,binance-smart-chain,2023,39
4,5798,Beefy.Finance,59.41,87.0,binance-smart-chain,2023,39
5,5718,Venus,59.31,92.0,binance-smart-chain,2023,39
6,3744,WazirX,58.69,97.0,binancecoin,2023,39
7,10692,Radio Caca,58.39,101.0,binance-smart-chain,2023,39
8,8315,Mobox,57.94,112.0,binance-smart-chain,2023,39
9,5541,BakerySwap,57.94,111.0,binance-smart-chain,2023,39
10,345,Binance Coin,73.48,5.0,binance-smart-chain,2023,40
11,3844,Trust Wallet Token,68.45,15.0,binancecoin,2023,40
12,5674,PancakeSwap,65.27,28.0,binancecoin,2023,40
13,6641,1inch,63.89,42.0,binance-smart-chain,2023,40
14,5718,Venus,62.29,61.0,binance-smart-chain,2023,40
15,5798,Beefy.Finance,59.41,97.0,binance-smart-chain,2023,40
16,3744,WazirX,58.54,106.0,binancecoin,2023,40
17,10692,Radio Caca,58.30,114.0,binance-smart-chain,2023,40
18,8315,Mobox,58.30,113.0,binance-smart-chain,2023,40
19,5541,BakerySwap,58.00,119.0,binance-smart-chain,2023,40
20,345,Binance Coin,73.55,5.0,binance-smart-chain,2023,41
21,3844,Trust Wallet Token,70.10,7.0,binancecoin,2023,41
22,5674,PancakeSwap,65.20,31.0,binancecoin,2023,41
23,7173,SafePal,63.42,46.0,binance-smart-chain,2023,41
24,6641,1inch,63.41,47.0,binance-smart-chain,2023,41
25,5541,BakerySwap,59.80,91.0,binance-smart-chain,2023,41
26,5798,Beefy.Finance,59.41,95.0,binance-smart-chain,2023,41
27,3744,WazirX,58.54,107.0,binancecoin,2023,41
28,8315,Mobox,57.89,119.0,binance-smart-chain,2023,41
29,5718,Venus,56.33,144.0,binance-smart-chain,2023,41
30,345,Binance Coin,73.36,3.0,binance-smart-chain,2023,42
31,3844,Trust Wallet Token,69.30,9.0,binancecoin,2023,42
32,5674,PancakeSwap,65.09,27.0,binancecoin,2023,42
33,6641,1inch,63.45,38.0,binance-smart-chain,2023,42
34,5798,Beefy.Finance,59.11,90.0,binance-smart-chain,2023,42
35,3744,WazirX,58.54,94.0,binancecoin,2023,42
36,14823,Wam,57.56,104.0,binance-smart-chain,2023,42
37,10071,Position Token,56.11,124.0,binance-smart-chain,2023,42
38,10455,Kryptomon,56.03,127.0,binance-smart-chain,2023,42
39,10361,Ariva,56.03,126.0,binance-smart-chain,2023,42
40,345,Binance Coin,73.25,4.0,binance-smart-chain,2023,43
41,3844,Trust Wallet Token,69.07,13.0,binancecoin,2023,43
42,5674,PancakeSwap,65.47,27.0,binancecoin,2023,43
43,6641,1inch,63.95,36.0,binance-smart-chain,2023,43
44,5798,Beefy.Finance,60.99,62.0,binance-smart-chain,2023,43
45,3744,WazirX,59.08,84.0,binancecoin,2023,43
46,10692,Radio Caca,56.95,109.0,binance-smart-chain,2023,43
47,10361,Ariva,56.59,116.0,binance-smart-chain,2023,43
48,18793,Unidef,56.41,122.0,binance-smart-chain,2023,43
49,4698,Cream,56.28,127.0,binance-smart-chain,2023,43
50,345,Binance Coin,69.43,6.0,binance-smart-chain,2023,44
51,3844,Trust Wallet Token,69.15,7.0,binancecoin,2023,44
52,6641,1inch,64.14,25.0,binance-smart-chain,2023,44
53,5674,PancakeSwap,61.53,43.0,binancecoin,2023,44
54,13212,Zuki Moba,57.46,83.0,binance-smart-chain,2023,44
55,5798,Beefy.Finance,57.13,85.0,binance-smart-chain,2023,44
56,6188,Pancake Bunny,57.08,86.0,binance-smart-chain,2023,44
57,18793,Unidef,56.40,93.0,binance-smart-chain,2023,44
58,3744,WazirX,54.77,122.0,binancecoin,2023,44
59,7174,Vai,54.54,,binance-smart-chain,2023,44
60,3844,Trust Wallet Token,70.23,5.0,binancecoin,2023,45
