,id_project,name,score,position,platform,year,week
0,16476,Bullieverse,50.97,195,polygon-pos,2023,2
1,10287,Kommunitas,49.51,223,polygon-pos,2023,2
2,17936,Quickswap,45.31,338,polygon-pos,2023,2
3,18112,Battle World,36.43,589,polygon-pos,2023,2
4,16753,GensoKishi Metaverse,36.38,596,polygon-pos,2023,2
5,15802,Affyn,35.98,657,polygon-pos,2023,2
6,12173,Decentral Games ICE,34.97,724,polygon-pos,2023,2
7,12260,Gains Network,33.76,792,polygon-pos,2023,2
8,16534,Rainbow Token,32.44,862,polygon-pos,2023,2
9,8737,PolyDoge,32.08,876,polygon-pos,2023,2
10,16476,Bullieverse,47.20,274,polygon-pos,2023,3
11,17936,Quickswap,45.31,317,polygon-pos,2023,3
12,10287,Kommunitas,42.70,349,polygon-pos,2023,3
13,18112,Battle World,36.72,501,polygon-pos,2023,3
14,15802,Affyn,35.84,571,polygon-pos,2023,3
15,12173,Decentral Games ICE,34.98,609,polygon-pos,2023,3
16,12260,Gains Network,33.59,684,polygon-pos,2023,3
17,16534,Rainbow Token,31.61,763,polygon-pos,2023,3
18,18670,Ankr Reward Earning MATIC,30.74,836,polygon-pos,2023,3
19,12382,Fabwelt,30.18,886,polygon-pos,2023,3
20,10287,Kommunitas,44.24,193,polygon-pos,2023,4
21,17936,Quickswap,33.99,404,polygon-pos,2023,4
22,18112,Battle World,33.48,411,polygon-pos,2023,4
23,14536,Geopoly,30.82,528,polygon-pos,2023,4
24,16037,Sheesha Finance Polygon,29.99,581,polygon-pos,2023,4
25,12382,Fabwelt,29.94,584,polygon-pos,2023,4
26,13053,StrongNode,29.82,593,polygon-pos,2023,4
27,15537,Kitsumon,29.33,634,polygon-pos,2023,4
28,12135,Snook,29.31,637,polygon-pos,2023,4
29,18132,SPORT,29.28,641,polygon-pos,2023,4
30,17936,Quickswap,34.00,415,polygon-pos,2023,5
31,10287,Kommunitas,32.63,458,polygon-pos,2023,5
32,16476,Bullieverse,30.90,544,polygon-pos,2023,5
33,12382,Fabwelt,30.87,549,polygon-pos,2023,5
34,14536,Geopoly,30.50,566,polygon-pos,2023,5
35,16037,Sheesha Finance Polygon,30.49,568,polygon-pos,2023,5
36,13269,Playermon,29.72,634,polygon-pos,2023,5
37,18132,SPORT,29.55,654,polygon-pos,2023,5
38,15537,Kitsumon,29.55,653,polygon-pos,2023,5
39,17063,MetaShooter,29.36,668,polygon-pos,2023,5
40,10287,Kommunitas,48.54,280,polygon-pos,2023,6
41,16476,Bullieverse,48.01,296,polygon-pos,2023,6
42,13269,Playermon,46.92,352,polygon-pos,2023,6
43,16037,Sheesha Finance Polygon,46.38,383,polygon-pos,2023,6
44,12382,Fabwelt,46.22,386,polygon-pos,2023,6
45,18132,SPORT,45.63,419,polygon-pos,2023,6
46,12135,Snook,45.24,436,polygon-pos,2023,6
47,16534,Rainbow Token,42.73,514,polygon-pos,2023,6
48,16766,Vault Hill City,41.35,575,polygon-pos,2023,6
49,17936,Quickswap,40.59,620,polygon-pos,2023,6
50,10287,Kommunitas,48.74,278,polygon-pos,2023,7
51,16476,Bullieverse,48.25,297,polygon-pos,2023,7
52,16037,Sheesha Finance Polygon,47.97,313,polygon-pos,2023,7
53,12382,Fabwelt,47.76,326,polygon-pos,2023,7
54,13269,Playermon,46.38,392,polygon-pos,2023,7
55,18132,SPORT,45.79,420,polygon-pos,2023,7
56,16534,Rainbow Token,45.54,434,polygon-pos,2023,7
57,12135,Snook,44.55,460,polygon-pos,2023,7
58,13802,IX Token,43.41,502,polygon-pos,2023,7
59,16766,Vault Hill City,42.38,543,polygon-pos,2023,7
60,10287,Kommunitas,49.76,258,polygon-pos,2023,8
61,16476,Bullieverse,48.73,295,polygon-pos,2023,8
62,12382,Fabwelt,48.39,314,polygon-pos,2023,8
63,16037,Sheesha Finance Polygon,47.89,342,polygon-pos,2023,8
64,18132,SPORT,46.05,421,polygon-pos,2023,8
65,13802,IX Token,44.63,475,polygon-pos,2023,8
66,12135,Snook,44.47,481,polygon-pos,2023,8
67,16534,Rainbow Token,42.67,542,polygon-pos,2023,8
68,16766,Vault Hill City,42.26,555,polygon-pos,2023,8
69,13269,Playermon,42.12,567,polygon-pos,2023,8
70,12260,Gains Network,54.03,147,polygon-pos,2023,9
71,12382,Fabwelt,46.07,293,polygon-pos,2023,9
72,17936,Quickswap,41.83,381,polygon-pos,2023,9
73,13802,IX Token,38.52,500,polygon-pos,2023,9
74,10287,Kommunitas,37.95,521,polygon-pos,2023,9
75,13269,Playermon,35.60,671,polygon-pos,2023,9
76,16037,Sheesha Finance Polygon,35.58,676,polygon-pos,2023,9
77,18132,SPORT,35.53,683,polygon-pos,2023,9
78,12135,Snook,35.23,720,polygon-pos,2023,9
79,18603,Astrafer,35.15,727,polygon-pos,2023,9
80,10287,Kommunitas,48.30,293,polygon-pos,2023,10
81,16476,Bullieverse,47.89,308,polygon-pos,2023,10
82,12382,Fabwelt,47.22,341,polygon-pos,2023,10
83,18132,SPORT,46.69,357,polygon-pos,2023,10
84,12135,Snook,46.33,376,polygon-pos,2023,10
85,13802,IX Token,45.20,421,polygon-pos,2023,10
86,16534,Rainbow Token,44.40,462,polygon-pos,2023,10
87,13269,Playermon,44.03,484,polygon-pos,2023,10
88,16766,Vault Hill City,41.95,608,polygon-pos,2023,10
89,13599,Index Coop - ETH 2x Flexible Leverage Index (Polygon),41.93,611,polygon-pos,2023,10
90,17936,Quickswap,51.05,229,polygon-pos,2023,11
91,10287,Kommunitas,49.38,261,polygon-pos,2023,11
92,16476,Bullieverse,47.52,306,polygon-pos,2023,11
93,12135,Snook,46.63,347,polygon-pos,2023,11
94,12382,Fabwelt,46.59,348,polygon-pos,2023,11
95,13802,IX Token,45.86,374,polygon-pos,2023,11
96,18132,SPORT,44.91,416,polygon-pos,2023,11
97,16534,Rainbow Token,44.38,444,polygon-pos,2023,11
98,13269,Playermon,43.74,477,polygon-pos,2023,11
99,16766,Vault Hill City,42.08,575,polygon-pos,2023,11
100,17936,Quickswap,63.23,66,polygon-pos,2023,12
101,12382,Fabwelt,54.13,176,polygon-pos,2023,12
102,10287,Kommunitas,49.78,245,polygon-pos,2023,12
103,16476,Bullieverse,47.46,326,polygon-pos,2023,12
104,18132,SPORT,45.66,368,polygon-pos,2023,12
105,12135,Snook,45.35,386,polygon-pos,2023,12
106,13269,Playermon,44.52,433,polygon-pos,2023,12
107,13802,IX Token,43.01,510,polygon-pos,2023,12
108,16534,Rainbow Token,42.71,522,polygon-pos,2023,12
109,16037,Sheesha Finance Polygon,40.97,597,polygon-pos,2023,12
110,17936,Quickswap,62.50,67,polygon-pos,2023,13
111,12382,Fabwelt,54.23,194,polygon-pos,2023,13
112,10287,Kommunitas,49.01,280,polygon-pos,2023,13
113,13269,Playermon,48.83,286,polygon-pos,2023,13
114,16476,Bullieverse,47.42,363,polygon-pos,2023,13
115,18132,SPORT,45.98,435,polygon-pos,2023,13
116,16766,Vault Hill City,45.48,448,polygon-pos,2023,13
117,12135,Snook,44.34,493,polygon-pos,2023,13
118,16037,Sheesha Finance Polygon,42.12,576,polygon-pos,2023,13
119,13802,IX Token,41.62,603,polygon-pos,2023,13
120,17936,Quickswap,62.88,68,polygon-pos,2023,14
121,10287,Kommunitas,49.39,274,polygon-pos,2023,14
122,16476,Bullieverse,48.42,304,polygon-pos,2023,14
123,13269,Playermon,47.71,337,polygon-pos,2023,14
124,12382,Fabwelt,47.18,361,polygon-pos,2023,14
125,16766,Vault Hill City,45.35,438,polygon-pos,2023,14
126,12135,Snook,44.50,467,polygon-pos,2023,14
127,16037,Sheesha Finance Polygon,42.75,532,polygon-pos,2023,14
128,13802,IX Token,41.65,575,polygon-pos,2023,14
129,16534,Rainbow Token,39.56,673,polygon-pos,2023,14
130,17936,Quickswap,61.88,85,polygon-pos,2023,15
131,10287,Kommunitas,48.91,298,polygon-pos,2023,15
132,13269,Playermon,48.45,321,polygon-pos,2023,15
133,16476,Bullieverse,48.20,342,polygon-pos,2023,15
134,12382,Fabwelt,47.34,392,polygon-pos,2023,15
