index,category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
0,General,polygon-ecosystem,2024-01-13 21:00:14,2024,1,345,Binance Coin,307.1,302.36,-0.015434711820254,72.64
1,General,polygon-ecosystem,2024-01-20 21:00:13,2024,2,345,Binance Coin,302.36,315.66,0.0439872999073951,73.4
2,General,polygon-ecosystem,2024-01-27 21:00:11,2024,3,345,Binance Coin,315.66,305.87,-0.0310143825635177,74.66
3,General,polygon-ecosystem,2024-02-03 21:00:13,2024,4,345,Binance Coin,305.87,300.03,-0.0190930787589499,73.65
4,General,polygon-ecosystem,2024-02-10 21:00:12,2024,5,345,Binance Coin,300.03,323.12,0.0769589707695898,74.89
5,General,polygon-ecosystem,2024-01-13 21:00:22,2024,1,992,USD Coin,1.0,1.0,0.0,29.1
6,General,polygon-ecosystem,2024-01-20 21:00:19,2024,2,992,USD Coin,1.0,1.003,0.0029999999999998,29.74
7,General,polygon-ecosystem,2024-01-27 21:00:17,2024,3,992,USD Coin,1.003,1.001,-0.0019940179461615,30.37
8,General,polygon-ecosystem,2024-02-03 21:00:19,2024,4,992,USD Coin,1.001,0.999854,-0.001144855144855,28.34
9,General,polygon-ecosystem,2024-02-10 21:00:18,2024,5,992,USD Coin,0.999854,1.0,0.0001460213191125,42.95
10,General,polygon-ecosystem,2024-01-13 21:00:40,2024,1,659,ChainLink,13.52,14.38,0.0636094674556213,71.0
11,General,polygon-ecosystem,2024-01-20 21:00:36,2024,2,659,ChainLink,14.38,15.72,0.0931849791376912,67.09
12,General,polygon-ecosystem,2024-01-27 21:00:31,2024,3,659,ChainLink,15.72,14.36,-0.0865139949109415,64.35
13,General,polygon-ecosystem,2024-02-03 21:00:36,2024,4,659,ChainLink,14.36,17.68,0.2311977715877437,65.78
14,General,polygon-ecosystem,2024-02-10 21:00:27,2024,5,659,ChainLink,17.68,18.66,0.0554298642533936,69.73
15,General,polygon-ecosystem,2024-01-13 21:00:38,2024,1,1036,Polygon,0.828885,0.884572,0.0671830229766494,70.67
16,General,polygon-ecosystem,2024-01-20 21:00:33,2024,2,1036,Polygon,0.884572,0.778208,-0.1202434623750243,70.83
17,General,polygon-ecosystem,2024-01-27 21:00:35,2024,3,1036,Polygon,0.778208,0.786723,0.0109418047617088,70.13
18,General,polygon-ecosystem,2024-02-03 21:00:38,2024,4,1036,Polygon,0.786723,0.787899,0.001494808210768,70.75
19,General,polygon-ecosystem,2024-02-10 21:00:32,2024,5,1036,Polygon,0.787899,0.851647,0.080908847453798,71.35
20,General,polygon-ecosystem,2024-01-13 21:00:45,2024,1,2872,Wrapped Bitcoin,43767.0,42850.0,-0.0209518587063312,46.29
21,General,polygon-ecosystem,2024-01-20 21:00:41,2024,2,2872,Wrapped Bitcoin,42850.0,41636.0,-0.0283313885647607,39.21
22,General,polygon-ecosystem,2024-01-27 21:00:37,2024,3,2872,Wrapped Bitcoin,41636.0,41949.0,0.0075175329042175,41.65
23,General,polygon-ecosystem,2024-02-03 21:00:43,2024,4,2872,Wrapped Bitcoin,41949.0,42942.0,0.023671601230065,45.44
24,General,polygon-ecosystem,2024-02-10 21:00:36,2024,5,2872,Wrapped Bitcoin,42942.0,47880.0,0.1149923152158725,45.66
25,General,polygon-ecosystem,2024-01-13 21:00:57,2024,1,5395,Uniswap,6.38,6.63,0.0391849529780564,59.13
26,General,polygon-ecosystem,2024-01-20 21:00:55,2024,2,5395,Uniswap,6.63,6.48,-0.0226244343891401,62.74
27,General,polygon-ecosystem,2024-01-27 21:00:47,2024,3,5395,Uniswap,6.48,5.99,-0.0756172839506173,62.29
28,General,polygon-ecosystem,2024-02-03 21:00:55,2024,4,5395,Uniswap,5.99,6.14,0.0250417362270449,61.95
29,General,polygon-ecosystem,2024-02-10 21:00:47,2024,5,5395,Uniswap,6.14,6.66,0.0846905537459284,70.03
30,General,polygon-ecosystem,2024-01-13 21:00:51,2024,1,865,Dai,1.0,0.999321,-0.0006789999999999,33.77
31,General,polygon-ecosystem,2024-01-20 21:00:52,2024,2,865,Dai,0.999321,0.998772,-0.0005493730242835,33.77
32,General,polygon-ecosystem,2024-01-27 21:00:46,2024,3,865,Dai,0.998772,1.002,0.0032319688577573,41.31
33,General,polygon-ecosystem,2024-02-03 21:00:49,2024,4,865,Dai,1.002,0.999328,-0.0026666666666666,41.26
34,General,polygon-ecosystem,2024-02-10 21:00:44,2024,5,865,Dai,0.999328,1.0,0.0006724518876685,41.39
35,General,polygon-ecosystem,2024-01-13 21:01:12,2024,1,5920,Injective Protocol,38.29,37.76,-0.0138417341342387,49.13
36,General,polygon-ecosystem,2024-01-20 21:01:17,2024,2,5920,Injective Protocol,37.76,35.47,-0.0606461864406779,51.23
37,General,polygon-ecosystem,2024-01-27 21:01:07,2024,3,5920,Injective Protocol,35.47,34.91,-0.015787989850578,43.63
38,General,polygon-ecosystem,2024-02-03 21:01:07,2024,4,5920,Injective Protocol,34.91,33.06,-0.0529934116299053,51.12
39,General,polygon-ecosystem,2024-02-10 21:01:11,2024,5,5920,Injective Protocol,33.06,34.98,0.0580762250453718,48.66
40,General,polygon-ecosystem,2024-01-13 21:01:20,2024,1,6723,Lido DAO,3.16,3.4,0.0759493670886075,59.16
41,General,polygon-ecosystem,2024-01-20 21:01:20,2024,2,6723,Lido DAO,3.4,2.89,-0.1499999999999999,58.93
42,General,polygon-ecosystem,2024-01-27 21:01:20,2024,3,6723,Lido DAO,2.89,3.04,0.0519031141868511,57.79
43,General,polygon-ecosystem,2024-02-03 21:01:20,2024,4,6723,Lido DAO,3.04,2.78,-0.0855263157894737,39.86
44,General,polygon-ecosystem,2024-02-10 21:01:22,2024,5,6723,Lido DAO,2.78,2.96,0.0647482014388489,61.82
45,General,polygon-ecosystem,2024-01-13 21:02:12,2024,1,4469,Render Token,3.82,3.88,0.0157068062827225,32.72
46,General,polygon-ecosystem,2024-01-20 21:02:08,2024,2,4469,Render Token,3.88,3.98,0.0257731958762886,41.2
47,General,polygon-ecosystem,2024-01-27 21:01:50,2024,3,4469,Render Token,3.98,3.97,-0.0025125628140702,41.47
48,General,polygon-ecosystem,2024-02-03 21:01:56,2024,4,4469,Render Token,3.97,4.82,0.2141057934508816,34.02
49,General,polygon-ecosystem,2024-02-10 21:01:37,2024,5,4469,Render Token,4.82,4.71,-0.0228215767634855,49.06
50,General,polygon-ecosystem,2024-01-13 21:01:56,2024,1,996,Maker,1742.58,2072.51,0.1893342056031862,66.85
51,General,polygon-ecosystem,2024-01-20 21:01:48,2024,2,996,Maker,2072.51,1970.93,-0.0490130325064777,59.54
52,General,polygon-ecosystem,2024-01-27 21:01:40,2024,3,996,Maker,1970.93,2017.33,0.0235421856686944,66.27
53,General,polygon-ecosystem,2024-02-03 21:01:45,2024,4,996,Maker,2017.33,2019.82,0.0012343047493469,66.7
54,General,polygon-ecosystem,2024-02-10 21:01:35,2024,5,996,Maker,2019.82,1995.17,-0.0122040577873275,67.99
55,General,polygon-ecosystem,2024-01-13 21:01:53,2024,1,6569,The Graph,0.171799,0.172115,0.0018393587855574,70.22
56,General,polygon-ecosystem,2024-01-20 21:01:58,2024,2,6569,The Graph,0.172115,0.159644,-0.072457368619818,70.54
57,General,polygon-ecosystem,2024-01-27 21:01:49,2024,3,6569,The Graph,0.159644,0.161063,0.0088885269725138,68.28
58,General,polygon-ecosystem,2024-02-03 21:01:54,2024,4,6569,The Graph,0.161063,0.158082,-0.0185082855776932,70.35
59,General,polygon-ecosystem,2024-02-10 21:01:44,2024,5,6569,The Graph,0.158082,0.171571,0.0853291329816171,66.33
60,General,polygon-ecosystem,2024-01-13 21:02:17,2024,1,13879,Rocket Pool ETH,2463.73,2828.77,0.1481655863264237,40.01
61,General,polygon-ecosystem,2024-01-20 21:02:02,2024,2,13879,Rocket Pool ETH,2828.77,2702.8,-0.0445317222679821,41.63
62,General,polygon-ecosystem,2024-01-27 21:01:47,2024,3,13879,Rocket Pool ETH,2702.8,2492.36,-0.0778599970401065,41.05
63,General,polygon-ecosystem,2024-02-03 21:02:01,2024,4,13879,Rocket Pool ETH,2492.36,2526.73,0.0137901426760178,40.75
64,General,polygon-ecosystem,2024-02-10 21:01:52,2024,5,13879,Rocket Pool ETH,2526.73,2750.99,0.0887550312063417,37.12
65,General,polygon-ecosystem,2024-01-13 21:02:06,2024,1,5613,Aave,99.87,106.72,0.0685891659156903,66.96
66,General,polygon-ecosystem,2024-01-20 21:02:04,2024,2,5613,Aave,106.72,96.6,-0.0948275862068965,62.8
67,General,polygon-ecosystem,2024-01-27 21:01:53,2024,3,5613,Aave,96.6,92.03,-0.0473084886128363,69.69
68,General,polygon-ecosystem,2024-02-03 21:02:02,2024,4,5613,Aave,92.03,86.56,-0.0594371400630229,70.07
69,General,polygon-ecosystem,2024-02-10 21:01:57,2024,5,5613,Aave,86.56,88.84,0.0263401109057301,70.98
70,General,polygon-ecosystem,2024-01-13 21:01:41,2024,1,1002,TrueUSD,1.0,0.996183,-0.0038169999999999,41.4
71,General,polygon-ecosystem,2024-01-20 21:01:45,2024,2,1002,TrueUSD,0.996183,0.987747,-0.0084683235911474,48.83
72,General,polygon-ecosystem,2024-01-27 21:01:37,2024,3,1002,TrueUSD,0.987747,0.988936,0.0012037495431522,41.59
73,General,polygon-ecosystem,2024-02-03 21:01:47,2024,4,1002,TrueUSD,0.988936,0.987439,-0.0015137481090789,48.84
74,General,polygon-ecosystem,2024-02-10 21:01:46,2024,5,1002,TrueUSD,0.987439,0.983766,-0.0037197234462077,48.51
75,General,polygon-ecosystem,2024-01-13 21:02:25,2024,1,1005,Synthetix Network Token,3.46,3.75,0.0838150289017341,63.03
76,General,polygon-ecosystem,2024-01-20 21:02:25,2024,2,1005,Synthetix Network Token,3.75,3.28,-0.1253333333333333,66.43
77,General,polygon-ecosystem,2024-01-27 21:02:15,2024,3,1005,Synthetix Network Token,3.28,3.23,-0.0152439024390243,63.9
78,General,polygon-ecosystem,2024-02-03 21:02:22,2024,4,1005,Synthetix Network Token,3.23,3.12,-0.0340557275541795,66.1
79,General,polygon-ecosystem,2024-02-10 21:02:12,2024,5,1005,Synthetix Network Token,3.12,3.47,0.1121794871794872,68.99
80,General,polygon-ecosystem,2024-01-13 21:02:36,2024,1,4708,SAND,0.503506,0.512107,0.017082219477027,60.48
81,General,polygon-ecosystem,2024-01-20 21:02:34,2024,2,4708,SAND,0.512107,0.485643,-0.0516767003770696,62.11
82,General,polygon-ecosystem,2024-01-27 21:02:25,2024,3,4708,SAND,0.485643,0.456548,-0.0599102633004078,64.3
83,General,polygon-ecosystem,2024-02-03 21:02:30,2024,4,4708,SAND,0.456548,0.442693,-0.030347301926632,63.01
84,General,polygon-ecosystem,2024-02-10 21:02:22,2024,5,4708,SAND,0.442693,0.472759,0.0679161405307967,64.55
85,General,polygon-ecosystem,2024-01-13 21:04:27,2024,1,5649,APEcoin,1.4,1.45,0.0357142857142857,34.81
86,General,polygon-ecosystem,2024-01-20 21:04:20,2024,2,5649,APEcoin,1.45,1.39,-0.0413793103448276,33.49
87,General,polygon-ecosystem,2024-01-27 21:04:25,2024,3,5649,APEcoin,1.39,1.42,0.0215827338129496,30.45
88,General,polygon-ecosystem,2024-02-03 21:02:51,2024,4,5649,APEcoin,1.42,1.4,-0.0140845070422535,35.35
89,General,polygon-ecosystem,2024-02-10 21:02:50,2024,5,5649,APEcoin,1.4,1.44,0.0285714285714286,35.91
90,General,polygon-ecosystem,2024-01-13 21:03:01,2024,1,907,Decentraland,0.45497,0.47075,0.0346836055124514,63.3
91,General,polygon-ecosystem,2024-01-20 21:03:00,2024,2,907,Decentraland,0.47075,0.473862,0.0066107275624004,66.92
92,General,polygon-ecosystem,2024-01-27 21:02:56,2024,3,907,Decentraland,0.473862,0.455206,-0.0393701119735281,66.75
93,General,polygon-ecosystem,2024-02-03 21:03:01,2024,4,907,Decentraland,0.455206,0.441182,-0.0308080297711365,66.39
94,General,polygon-ecosystem,2024-02-10 21:02:54,2024,5,907,Decentraland,0.441182,0.464525,0.052910136859618,71.66
95,General,polygon-ecosystem,2024-01-13 21:03:37,2024,1,18838,Frax Ether,2235.95,2555.36,0.1428520315749459,23.97
