category,platform,date,year,week,id_project,project_name,start_price,end_price,performance,score
General,polygon-ecosystem,2024-01-13 21:00:14,2024,2,345,Binance Coin,307.1,302.36,-0.015434711820254018,73.4
General,polygon-ecosystem,2024-01-20 21:00:13,2024,3,345,Binance Coin,302.36,315.66,0.043987299907395194,74.66
General,polygon-ecosystem,2024-01-27 21:00:11,2024,4,345,Binance Coin,315.66,305.87,-0.03101438256351777,73.65
General,polygon-ecosystem,2024-02-03 21:00:13,2024,5,345,Binance Coin,305.87,300.03,-0.019093078758949986,74.89
General,polygon-ecosystem,2024-02-10 21:00:12,2024,6,345,Binance Coin,300.03,323.12,0.07695897076958982,73.88
General,polygon-ecosystem,2024-01-13 21:00:22,2024,2,992,USD Coin,1.0,1.0,0.0,29.74
General,polygon-ecosystem,2024-01-20 21:00:19,2024,3,992,USD Coin,1.0,1.003,0.0029999999999998916,30.37
General,polygon-ecosystem,2024-01-27 21:00:17,2024,4,992,USD Coin,1.003,1.001,-0.0019940179461615175,28.34
General,polygon-ecosystem,2024-02-03 21:00:19,2024,5,992,USD Coin,1.001,0.999854,-0.0011448551448550144,42.95
General,polygon-ecosystem,2024-02-10 21:00:18,2024,6,992,USD Coin,0.999854,1.0,0.00014602131911256992,43.15
General,polygon-ecosystem,2024-01-13 21:00:40,2024,2,659,ChainLink,13.52,14.38,0.06360946745562139,67.09
General,polygon-ecosystem,2024-01-20 21:00:36,2024,3,659,ChainLink,14.38,15.72,0.09318497913769122,64.35
General,polygon-ecosystem,2024-01-27 21:00:31,2024,4,659,ChainLink,15.72,14.36,-0.08651399491094156,65.78
General,polygon-ecosystem,2024-02-03 21:00:36,2024,5,659,ChainLink,14.36,17.68,0.23119777158774377,69.73
General,polygon-ecosystem,2024-02-10 21:00:27,2024,6,659,ChainLink,17.68,18.66,0.05542986425339369,66.01
General,polygon-ecosystem,2024-01-13 21:00:38,2024,2,1036,Polygon,0.828885,0.884572,0.06718302297664941,70.83
General,polygon-ecosystem,2024-01-20 21:00:33,2024,3,1036,Polygon,0.884572,0.778208,-0.12024346237502431,70.13
General,polygon-ecosystem,2024-01-27 21:00:35,2024,4,1036,Polygon,0.778208,0.786723,0.010941804761708874,70.75
General,polygon-ecosystem,2024-02-03 21:00:38,2024,5,1036,Polygon,0.786723,0.787899,0.0014948082107680415,71.35
General,polygon-ecosystem,2024-02-10 21:00:32,2024,6,1036,Polygon,0.787899,0.851647,0.08090884745379805,70.78
General,polygon-ecosystem,2024-01-13 21:00:45,2024,2,2872,Wrapped Bitcoin,43767.0,42850.0,-0.020951858706331254,39.21
General,polygon-ecosystem,2024-01-20 21:00:41,2024,3,2872,Wrapped Bitcoin,42850.0,41636.0,-0.028331388564760793,41.65
General,polygon-ecosystem,2024-01-27 21:00:37,2024,4,2872,Wrapped Bitcoin,41636.0,41949.0,0.007517532904217504,45.44
General,polygon-ecosystem,2024-02-03 21:00:43,2024,5,2872,Wrapped Bitcoin,41949.0,42942.0,0.02367160123006508,45.66
General,polygon-ecosystem,2024-02-10 21:00:36,2024,6,2872,Wrapped Bitcoin,42942.0,47880.0,0.11499231521587257,44.33
General,polygon-ecosystem,2024-01-13 21:00:57,2024,2,5395,Uniswap,6.38,6.63,0.03918495297805643,62.74
General,polygon-ecosystem,2024-01-20 21:00:55,2024,3,5395,Uniswap,6.63,6.48,-0.02262443438914019,62.29
General,polygon-ecosystem,2024-01-27 21:00:47,2024,4,5395,Uniswap,6.48,5.99,-0.07561728395061731,61.95
General,polygon-ecosystem,2024-02-03 21:00:55,2024,5,5395,Uniswap,5.99,6.14,0.025041736227044985,70.03
General,polygon-ecosystem,2024-02-10 21:00:47,2024,6,5395,Uniswap,6.14,6.66,0.08469055374592842,69.69
General,polygon-ecosystem,2024-01-13 21:00:51,2024,2,865,Dai,1.0,0.999321,-0.0006789999999999852,33.77
General,polygon-ecosystem,2024-01-20 21:00:52,2024,3,865,Dai,0.999321,0.998772,-0.0005493730242835102,41.31
General,polygon-ecosystem,2024-01-27 21:00:46,2024,4,865,Dai,0.998772,1.002,0.0032319688577573348,41.26
General,polygon-ecosystem,2024-02-03 21:00:49,2024,5,865,Dai,1.002,0.999328,-0.0026666666666666744,41.39
General,polygon-ecosystem,2024-02-10 21:00:44,2024,6,865,Dai,0.999328,1.0,0.0006724518876685192,41.31
General,polygon-ecosystem,2024-01-13 21:01:12,2024,2,5920,Injective Protocol,38.29,37.76,-0.013841734134238734,51.23
General,polygon-ecosystem,2024-01-20 21:01:17,2024,3,5920,Injective Protocol,37.76,35.47,-0.06064618644067794,43.63
General,polygon-ecosystem,2024-01-27 21:01:07,2024,4,5920,Injective Protocol,35.47,34.91,-0.015787989850578017,51.12
General,polygon-ecosystem,2024-02-03 21:01:07,2024,5,5920,Injective Protocol,34.91,33.06,-0.05299341162990531,48.66
General,polygon-ecosystem,2024-02-10 21:01:11,2024,6,5920,Injective Protocol,33.06,34.98,0.05807622504537188,45.83
General,polygon-ecosystem,2024-01-13 21:01:20,2024,2,6723,Lido DAO,3.16,3.4,0.07594936708860751,58.93
General,polygon-ecosystem,2024-01-20 21:01:20,2024,3,6723,Lido DAO,3.4,2.89,-0.14999999999999994,57.79
General,polygon-ecosystem,2024-01-27 21:01:20,2024,4,6723,Lido DAO,2.89,3.04,0.05190311418685118,39.86
General,polygon-ecosystem,2024-02-03 21:01:20,2024,5,6723,Lido DAO,3.04,2.78,-0.08552631578947376,61.82
General,polygon-ecosystem,2024-02-10 21:01:22,2024,6,6723,Lido DAO,2.78,2.96,0.06474820143884898,62.45
General,polygon-ecosystem,2024-01-13 21:02:12,2024,2,4469,Render Token,3.82,3.88,0.015706806282722526,41.2
General,polygon-ecosystem,2024-01-20 21:02:08,2024,3,4469,Render Token,3.88,3.98,0.025773195876288683,41.47
General,polygon-ecosystem,2024-01-27 21:01:50,2024,4,4469,Render Token,3.98,3.97,-0.002512562814070298,34.02
General,polygon-ecosystem,2024-02-03 21:01:56,2024,5,4469,Render Token,3.97,4.82,0.21410579345088163,49.06
General,polygon-ecosystem,2024-02-10 21:01:37,2024,6,4469,Render Token,4.82,4.71,-0.022821576763485542,46.25
General,polygon-ecosystem,2024-01-13 21:01:56,2024,2,996,Maker,1742.58,2072.51,0.18933420560318626,59.54
General,polygon-ecosystem,2024-01-20 21:01:48,2024,3,996,Maker,2072.51,1970.93,-0.04901303250647772,66.27
General,polygon-ecosystem,2024-01-27 21:01:40,2024,4,996,Maker,1970.93,2017.33,0.023542185668694406,66.7
General,polygon-ecosystem,2024-02-03 21:01:45,2024,5,996,Maker,2017.33,2019.82,0.0012343047493469136,67.99
General,polygon-ecosystem,2024-02-10 21:01:35,2024,6,996,Maker,2019.82,1995.17,-0.012204057787327516,68.14
General,polygon-ecosystem,2024-01-13 21:01:53,2024,2,6569,The Graph,0.171799,0.172115,0.0018393587855574417,70.54
General,polygon-ecosystem,2024-01-20 21:01:58,2024,3,6569,The Graph,0.172115,0.159644,-0.07245736861981804,68.28
General,polygon-ecosystem,2024-01-27 21:01:49,2024,4,6569,The Graph,0.159644,0.161063,0.008888526972513865,70.35
General,polygon-ecosystem,2024-02-03 21:01:54,2024,5,6569,The Graph,0.161063,0.158082,-0.01850828557769327,66.33
General,polygon-ecosystem,2024-02-10 21:01:44,2024,6,6569,The Graph,0.158082,0.171571,0.08532913298161714,68.57
General,polygon-ecosystem,2024-01-13 21:02:17,2024,2,13879,Rocket Pool ETH,2463.73,2828.77,0.14816558632642374,41.63
General,polygon-ecosystem,2024-01-20 21:02:02,2024,3,13879,Rocket Pool ETH,2828.77,2702.8,-0.044531722267982125,41.05
General,polygon-ecosystem,2024-01-27 21:01:47,2024,4,13879,Rocket Pool ETH,2702.8,2492.36,-0.07785999704010657,40.75
General,polygon-ecosystem,2024-02-03 21:02:01,2024,5,13879,Rocket Pool ETH,2492.36,2526.73,0.013790142676017867,37.12
General,polygon-ecosystem,2024-02-10 21:01:52,2024,6,13879,Rocket Pool ETH,2526.73,2750.99,0.0887550312063417,36.38
General,polygon-ecosystem,2024-01-13 21:02:06,2024,2,5613,Aave,99.87,106.72,0.06858916591569034,62.8
General,polygon-ecosystem,2024-01-20 21:02:04,2024,3,5613,Aave,106.72,96.6,-0.09482758620689659,69.69
General,polygon-ecosystem,2024-01-27 21:01:53,2024,4,5613,Aave,96.6,92.03,-0.04730848861283637,70.07
General,polygon-ecosystem,2024-02-03 21:02:02,2024,5,5613,Aave,92.03,86.56,-0.05943714006302291,70.98
General,polygon-ecosystem,2024-02-10 21:01:57,2024,6,5613,Aave,86.56,88.84,0.02634011090573014,70.05
General,polygon-ecosystem,2024-01-13 21:01:41,2024,2,1002,TrueUSD,1.0,0.996183,-0.0038169999999999593,48.83
General,polygon-ecosystem,2024-01-20 21:01:45,2024,3,1002,TrueUSD,0.996183,0.987747,-0.008468323591147409,41.59
General,polygon-ecosystem,2024-01-27 21:01:37,2024,4,1002,TrueUSD,0.987747,0.988936,0.00120374954315224,48.84
General,polygon-ecosystem,2024-02-03 21:01:47,2024,5,1002,TrueUSD,0.988936,0.987439,-0.0015137481090789309,48.51
General,polygon-ecosystem,2024-02-10 21:01:46,2024,6,1002,TrueUSD,0.987439,0.983766,-0.003719723446207742,48.24
General,polygon-ecosystem,2024-01-13 21:02:25,2024,2,1005,Synthetix Network Token,3.46,3.75,0.08381502890173412,66.43
General,polygon-ecosystem,2024-01-20 21:02:25,2024,3,1005,Synthetix Network Token,3.75,3.28,-0.12533333333333338,63.9
General,polygon-ecosystem,2024-01-27 21:02:15,2024,4,1005,Synthetix Network Token,3.28,3.23,-0.015243902439024336,66.1
General,polygon-ecosystem,2024-02-03 21:02:22,2024,5,1005,Synthetix Network Token,3.23,3.12,-0.03405572755417953,68.99
General,polygon-ecosystem,2024-02-10 21:02:12,2024,6,1005,Synthetix Network Token,3.12,3.47,0.1121794871794872,68.18
General,polygon-ecosystem,2024-01-13 21:02:36,2024,2,4708,SAND,0.503506,0.512107,0.017082219477027025,62.11
General,polygon-ecosystem,2024-01-20 21:02:34,2024,3,4708,SAND,0.512107,0.485643,-0.05167670037706961,64.3
