id_project,name,top,score,year,week,created_at
376,Bitcoin,General,83.24,2023,31,2023-08-06 20:02:40
978,Ethereum,General,81.77,2023,31,2023-08-06 20:02:42
345,Binance Coin,General,73.79,2023,31,2023-08-06 20:02:40
979,XRP,General,73.54,2023,31,2023-08-06 20:02:42
10418,The Open Network,General,71.29,2023,31,2023-08-06 20:03:06
5518,Avalanche,General,71.00,2023,31,2023-08-06 20:02:52
998,Dogecoin,General,70.18,2023,31,2023-08-06 20:02:42
8839,Internet Computer,General,69.89,2023,31,2023-08-06 20:03:00
3747,Solana,General,69.77,2023,31,2023-08-06 20:02:48
809,Crypto.com Coin,General,69.66,2023,31,2023-08-06 20:02:41
5395,Uniswap,General,69.50,2023,31,2023-08-06 20:02:52
981,Litecoin,General,69.45,2023,31,2023-08-06 20:02:42
621,Cardano,General,69.29,2023,31,2023-08-06 20:02:41
21811,Arbitrum,General,69.02,2023,31,2023-08-06 20:03:50
984,TRON,General,68.90,2023,31,2023-08-06 20:02:42
659,ChainLink,General,68.89,2023,31,2023-08-06 20:02:41
18126,Optimism,General,68.88,2023,31,2023-08-06 20:03:35
13879,Rocket Pool ETH,General,68.81,2023,31,2023-08-06 20:03:19
3844,Trust Wallet Token,General,68.73,2023,31,2023-08-06 20:02:49
1069,Hedera Hashgraph,General,68.63,2023,31,2023-08-06 20:02:42
4688,Polkadot,General,68.53,2023,31,2023-08-06 20:02:50
3213,XinFin,General,68.36,2023,31,2023-08-06 20:02:48
18408,Kaspa,General,68.22,2023,31,2023-08-06 20:03:37
983,Stellar,General,68.20,2023,31,2023-08-06 20:02:42
5083,Shiba Inu,General,68.17,2023,31,2023-08-06 20:02:51
769,Cosmos,General,68.06,2023,31,2023-08-06 20:02:41
994,VeChain,General,68.00,2023,31,2023-08-06 20:02:42
382,Bitcoin Cash,General,67.88,2023,31,2023-08-06 20:02:40
1036,Polygon,General,67.64,2023,31,2023-08-06 20:02:42
6569,The Graph,General,67.60,2023,31,2023-08-06 20:02:54
3288,Filecoin,General,67.55,2023,31,2023-08-06 20:02:48
987,LEO Token,General,67.43,2023,31,2023-08-06 20:02:42
5613,Aave,General,66.78,2023,31,2023-08-06 20:02:52
147,Algorand,General,66.78,2023,31,2023-08-06 20:02:40
4691,Elrond,General,65.89,2023,31,2023-08-06 20:02:50
986,Monero,General,65.58,2023,31,2023-08-06 20:02:42
5674,PancakeSwap,General,65.33,2023,31,2023-08-06 20:02:52
15951,BitTorrent,General,65.29,2023,31,2023-08-06 20:03:25
996,Maker,General,65.17,2023,31,2023-08-06 20:02:42
16538,EverSAFU,General,65.00,2023,31,2023-08-06 20:03:27
6723,Lido DAO,General,64.87,2023,31,2023-08-06 20:02:55
5900,Near,General,64.85,2023,31,2023-08-06 20:02:53
8477,Mina Protocol (IOU),General,64.65,2023,31,2023-08-06 20:02:59
2391,Klaytn,General,64.59,2023,31,2023-08-06 20:02:46
6641,1inch,General,63.87,2023,31,2023-08-06 20:02:55
907,Decentraland,General,63.87,2023,31,2023-08-06 20:02:42
1032,Zilliqa,General,63.65,2023,31,2023-08-06 20:02:42
1005,Synthetix Network Token,General,63.40,2023,31,2023-08-06 20:02:42
1067,Loopring,General,63.38,2023,31,2023-08-06 20:02:42
14449,Aave ETH v1,General,63.34,2023,31,2023-08-06 20:03:21
376,Bitcoin,General,83.87,2023,32,2023-08-13 20:02:47
978,Ethereum,General,82.37,2023,32,2023-08-13 20:02:49
345,Binance Coin,General,74.08,2023,32,2023-08-13 20:02:47
979,XRP,General,73.36,2023,32,2023-08-13 20:02:49
10418,The Open Network,General,72.70,2023,32,2023-08-13 20:03:16
5518,Avalanche,General,72.58,2023,32,2023-08-13 20:03:00
998,Dogecoin,General,70.83,2023,32,2023-08-13 20:02:49
986,Monero,General,70.27,2023,32,2023-08-13 20:02:49
809,Crypto.com Coin,General,69.92,2023,32,2023-08-13 20:02:48
5395,Uniswap,General,69.80,2023,32,2023-08-13 20:02:59
988,OKB,General,69.66,2023,32,2023-08-13 20:02:49
659,ChainLink,General,69.50,2023,32,2023-08-13 20:02:48
621,Cardano,General,69.49,2023,32,2023-08-13 20:02:48
3747,Solana,General,69.48,2023,32,2023-08-13 20:02:56
1069,Hedera Hashgraph,General,69.45,2023,32,2023-08-13 20:02:49
3288,Filecoin,General,69.41,2023,32,2023-08-13 20:02:55
984,TRON,General,69.09,2023,32,2023-08-13 20:02:49
1036,Polygon,General,69.05,2023,32,2023-08-13 20:02:49
4688,Polkadot,General,68.81,2023,32,2023-08-13 20:02:58
3844,Trust Wallet Token,General,68.79,2023,32,2023-08-13 20:02:56
981,Litecoin,General,68.61,2023,32,2023-08-13 20:02:49
769,Cosmos,General,68.58,2023,32,2023-08-13 20:02:48
18126,Optimism,General,68.55,2023,32,2023-08-13 20:03:47
983,Stellar,General,68.41,2023,32,2023-08-13 20:02:49
994,VeChain,General,68.34,2023,32,2023-08-13 20:02:49
6569,The Graph,General,68.20,2023,32,2023-08-13 20:03:03
987,LEO Token,General,67.91,2023,32,2023-08-13 20:02:49
5083,Shiba Inu,General,67.91,2023,32,2023-08-13 20:02:59
5613,Aave,General,67.81,2023,32,2023-08-13 20:03:00
147,Algorand,General,67.51,2023,32,2023-08-13 20:02:47
4691,Elrond,General,67.46,2023,32,2023-08-13 20:02:58
382,Bitcoin Cash,General,67.37,2023,32,2023-08-13 20:02:47
3213,XinFin,General,66.97,2023,32,2023-08-13 20:02:55
21811,Arbitrum,General,66.94,2023,32,2023-08-13 20:04:04
18408,Kaspa,General,66.69,2023,32,2023-08-13 20:03:49
12263,Immutable X,General,66.50,2023,32,2023-08-13 20:03:23
1013,KuCoin Shares,General,65.72,2023,32,2023-08-13 20:02:49
1087,Kava,General,65.63,2023,32,2023-08-13 20:02:49
996,Maker,General,65.29,2023,32,2023-08-13 20:02:49
5674,PancakeSwap,General,65.26,2023,32,2023-08-13 20:03:00
15951,BitTorrent,General,65.26,2023,32,2023-08-13 20:03:38
5900,Near,General,65.24,2023,32,2023-08-13 20:03:01
8477,Mina Protocol (IOU),General,65.14,2023,32,2023-08-13 20:03:09
6723,Lido DAO,General,65.07,2023,32,2023-08-13 20:03:04
985,Tezos,General,65.04,2023,32,2023-08-13 20:02:49
11054,Baby Floki Coin,General,65.00,2023,32,2023-08-13 20:03:19
2391,Klaytn,General,64.98,2023,32,2023-08-13 20:02:53
4696,Curve DAO Token,General,64.31,2023,32,2023-08-13 20:02:58
907,Decentraland,General,64.20,2023,32,2023-08-13 20:02:48
6641,1inch,General,64.02,2023,32,2023-08-13 20:03:04
376,Bitcoin,General,83.11,2023,33,2023-08-20 20:02:40
978,Ethereum,General,81.40,2023,33,2023-08-20 20:02:41
345,Binance Coin,General,74.67,2023,33,2023-08-20 20:02:40
10418,The Open Network,General,72.82,2023,33,2023-08-20 20:03:05
979,XRP,General,72.11,2023,33,2023-08-20 20:02:41
1069,Hedera Hashgraph,General,70.50,2023,33,2023-08-20 20:02:42
5518,Avalanche,General,70.44,2023,33,2023-08-20 20:02:51
8839,Internet Computer,General,70.10,2023,33,2023-08-20 20:02:59
3747,Solana,General,69.69,2023,33,2023-08-20 20:02:48
998,Dogecoin,General,69.25,2023,33,2023-08-20 20:02:41
5395,Uniswap,General,69.14,2023,33,2023-08-20 20:02:51
984,TRON,General,69.11,2023,33,2023-08-20 20:02:41
983,Stellar,General,68.46,2023,33,2023-08-20 20:02:41
3844,Trust Wallet Token,General,68.45,2023,33,2023-08-20 20:02:48
659,ChainLink,General,68.42,2023,33,2023-08-20 20:02:41
4688,Polkadot,General,68.23,2023,33,2023-08-20 20:02:50
3288,Filecoin,General,68.11,2023,33,2023-08-20 20:02:47
1036,Polygon,General,67.99,2023,33,2023-08-20 20:02:42
769,Cosmos,General,67.97,2023,33,2023-08-20 20:02:41
809,Crypto.com Coin,General,67.87,2023,33,2023-08-20 20:02:41
21811,Arbitrum,General,67.86,2023,33,2023-08-20 20:03:49
994,VeChain,General,67.76,2023,33,2023-08-20 20:02:41
981,Litecoin,General,67.36,2023,33,2023-08-20 20:02:41
6569,The Graph,General,67.09,2023,33,2023-08-20 20:02:54
986,Monero,General,66.08,2023,33,2023-08-20 20:02:41
621,Cardano,General,65.44,2023,33,2023-08-20 20:02:40
5083,Shiba Inu,General,65.38,2023,33,2023-08-20 20:02:51
11224,Moniwar,General,65.00,2023,33,2023-08-20 20:03:08
15951,BitTorrent,General,64.66,2023,33,2023-08-20 20:03:24
996,Maker,General,64.53,2023,33,2023-08-20 20:02:41
382,Bitcoin Cash,General,64.42,2023,33,2023-08-20 20:02:40
6723,Lido DAO,General,64.42,2023,33,2023-08-20 20:02:54
18126,Optimism,General,64.32,2023,33,2023-08-20 20:03:34
5900,Near,General,64.30,2023,33,2023-08-20 20:02:52
8477,Mina Protocol (IOU),General,64.21,2023,33,2023-08-20 20:02:58
1087,Kava,General,64.06,2023,33,2023-08-20 20:02:42
13879,Rocket Pool ETH,General,63.86,2023,33,2023-08-20 20:03:18
1052,Golem,General,63.44,2023,33,2023-08-20 20:02:42
14449,Aave ETH v1,General,62.87,2023,33,2023-08-20 20:03:20
1067,Loopring,General,62.81,2023,33,2023-08-20 20:02:42
1032,Zilliqa,General,62.78,2023,33,2023-08-20 20:02:42
1060,GXChain,General,62.71,2023,33,2023-08-20 20:02:42
1005,Synthetix Network Token,General,62.67,2023,33,2023-08-20 20:02:42
1210,Matrix AI Network,General,62.67,2023,33,2023-08-20 20:02:43
1118,VeThor Token,General,62.66,2023,33,2023-08-20 20:02:42
6641,1inch,General,62.64,2023,33,2023-08-20 20:02:54
1040,Quant,General,62.64,2023,33,2023-08-20 20:02:42
995,Ontology,General,62.52,2023,33,2023-08-20 20:02:41
1103,Gnosis,General,62.47,2023,33,2023-08-20 20:02:42
18408,Kaspa,General,62.45,2023,33,2023-08-20 20:03:36
376,Bitcoin,General,85.16,2023,34,2023-08-27 20:02:43
978,Ethereum,General,82.34,2023,34,2023-08-27 20:02:44
