id_project,name,top,score,year,week,created_at
376,Bitcoin,General,85.51,2024,1,2024-01-08 10:12:30
978,Ethereum,General,76.16,2024,1,2024-01-08 10:12:32
8839,Internet Computer,General,73.56,2024,1,2024-01-08 10:13:03
345,Binance Coin,General,72.64,2024,1,2024-01-08 10:12:29
5518,Avalanche,General,72.21,2024,1,2024-01-08 10:12:50
984,TRON,General,71.18,2024,1,2024-01-08 10:12:33
659,ChainLink,General,71.00,2024,1,2024-01-08 10:12:31
1036,Polygon,General,70.67,2024,1,2024-01-08 10:12:33
6569,The Graph,General,70.22,2024,1,2024-01-08 10:12:54
979,XRP,General,70.09,2024,1,2024-01-08 10:12:32
4688,Polkadot,General,69.94,2024,1,2024-01-08 10:12:47
15951,BitTorrent,General,69.58,2024,1,2024-01-08 10:14:27
3844,Trust Wallet Token,General,69.31,2024,1,2024-01-08 10:12:44
8477,Mina Protocol (IOU),General,68.50,2024,1,2024-01-08 10:13:02
621,Cardano,General,68.43,2024,1,2024-01-08 10:12:31
5674,PancakeSwap,General,68.38,2024,1,2024-01-08 10:12:51
1087,Kava,General,68.05,2024,1,2024-01-08 10:12:34
1069,Hedera Hashgraph,General,67.88,2024,1,2024-01-08 10:12:33
18126,Optimism,General,67.70,2024,1,2024-01-08 10:15:05
5613,Aave,General,66.96,2024,1,2024-01-08 10:12:50
6009,Axie Infinity,General,66.89,2024,1,2024-01-08 10:12:52
996,Maker,General,66.85,2024,1,2024-01-08 10:12:33
6641,1inch,General,66.71,2024,1,2024-01-08 10:12:55
994,VeChain,General,66.53,2024,1,2024-01-08 10:12:33
147,Algorand,General,66.27,2024,1,2024-01-08 10:12:29
18408,Kaspa,General,65.74,2024,1,2024-01-08 10:15:10
995,Ontology,General,65.38,2024,1,2024-01-08 10:12:33
1032,Zilliqa,General,64.91,2024,1,2024-01-08 10:12:33
1118,VeThor Token,General,64.88,2024,1,2024-01-08 10:12:34
1014,Enjin Coin,General,64.59,2024,1,2024-01-08 10:12:33
3078,Ontology Gas,General,64.12,2024,1,2024-01-08 10:12:42
7102,Flow - Dapper Labs,General,64.05,2024,1,2024-01-08 10:12:56
985,Tezos,General,63.97,2024,1,2024-01-08 10:12:33
1094,Fetch.ai,General,63.87,2024,1,2024-01-08 10:12:34
15733,Acala,General,63.83,2024,1,2024-01-08 10:14:24
2391,Klaytn,General,63.77,2024,1,2024-01-08 10:12:40
5540,Origin Dollar,General,63.66,2024,1,2024-01-08 10:12:50
907,Decentraland,General,63.30,2024,1,2024-01-08 10:12:32
4696,Curve DAO Token,General,63.25,2024,1,2024-01-08 10:12:47
7333,Quickswap,General,63.17,2024,1,2024-01-08 10:12:57
1005,Synthetix Network Token,General,63.03,2024,1,2024-01-08 10:12:33
1011,Theta Network,General,63.02,2024,1,2024-01-08 10:12:33
4406,DeFiChain,General,63.00,2024,1,2024-01-08 10:12:46
1210,Matrix AI Network,General,62.89,2024,1,2024-01-08 10:12:35
769,Cosmos,General,62.48,2024,1,2024-01-08 10:12:32
