category,date,year,week,id_project,project_name,start_price,end_price,performance
4Chan,2024-01-06,2024,1,18950,Dejitaru Shirudo,0.00069385,0.00064839,-0.06551848382215175
4Chan,2024-01-06,2024,1,7176,DAO Maker,1.17,1.11,-0.05128205128205114
4Chan,2024-01-06,2024,1,1036,Polygon,0.960642,0.828885,-0.13715515249177115
4Chan,2024-01-06,2024,1,1040,Quant,138.9,119.41,-0.14031677465802742
4Chan,2024-01-06,2024,1,22543,Toshi,0.0001227,9.445e-05,-0.23023634881825586
4Chan,2024-01-06,2024,1,21525,AllianceBlock Nexera,0.128317,0.139903,0.09029201119103482
4Chan,2024-01-06,2024,1,19482,The Big Five,0.00020013,0.00071124,2.5538899715185135
4Chan,2024-01-06,2024,1,22559,Turbo,0.00039156,0.00039715,0.01427622841965466
4Chan,2024-01-06,2024,1,13346,Spool DAO Token,0.317323,0.290819,-0.08352372818862808
4Chan,2024-01-06,2024,1,1062,Fantom,0.466782,0.399713,-0.14368377529553408
4Chan,2024-01-06,2024,1,16935,CatCoin Cash,1.61221e-10,7.7574e-11,-0.5188343950229808
4Chan,2024-01-06,2024,1,22569,Datamall Coin,0.125512,0.103911,-0.17210306584230994
4Chan,2024-01-06,2024,1,16940,Taki,0.0496655,0.023013,-0.5366401224189831
4Chan,2024-01-06,2024,1,1069,Hedera Hashgraph,0.086854,0.079579,-0.08376125451907804
4Chan,2024-01-06,2024,1,16945,ApeX,0.326793,1.28,2.916852564161411
4Chan,2024-01-06,2024,1,3127,Everipedia,0.00573916,0.00541911,-0.0557660005993908
4Chan,2024-01-06,2024,1,22586,Openfabric AI,0.184921,0.162145,-0.12316610877077233
4Chan,2024-01-06,2024,1,22587,Comsats,0.0247202,0.0327468,0.32469802024255456
4Chan,2024-01-06,2024,1,22589,SophiaVerse,0.085674,0.077629,-0.09390246749305503
4Chan,2024-01-06,2024,1,24643,Coq Inu,1.83e-06,1.38e-06,-0.24590163934426237
4Chan,2024-01-06,2024,1,22599,MEME (Ordinals),49.39,33.95,-0.31261388945130586
4Chan,2024-01-06,2024,1,22600,Pika Protocol,0.374426,0.364937,-0.02534279136598412
4Chan,2024-01-06,2024,1,22602,f(x) Protocol,84.35,78.42,-0.07030231179608765
4Chan,2024-01-06,2024,1,16458,Paragen,0.0361393,0.0298962,-0.17275099407016734
4Chan,2024-01-06,2024,1,21068,Cheelee,15.25,15.1,-0.009836065573770515
4Chan,2024-01-06,2024,1,15951,BitTorrent,1.18e-06,1.07e-06,-0.09322033898305086
4Chan,2024-01-06,2024,1,4688,Polkadot,8.31,7.17,-0.13718411552346577
4Chan,2024-01-06,2024,1,20049,Concentrator,1.013,1.075,0.061204343534057314
