category,date,year,week,id_project,project_name,start_price,end_price,performance
Development,2024-01-06,2024,1,18950,Dejitaru Shirudo,0.00069385,0.00064839,-0.06551848382215175
Development,2024-01-06,2024,1,22542,Shido,0.00154464,0.00634242,3.10608297078931
Development,2024-01-06,2024,1,22543,Toshi,0.0001227,9.445e-05,-0.23023634881825586
Development,2024-01-06,2024,1,1045,MaidSafeCoin,0.193167,0.256805,0.32944550570231973
Development,2024-01-06,2024,1,1052,Golem,0.240024,0.239772,-0.0010498950104988439
Development,2024-01-06,2024,1,20508,Global Digital Cluster Co,2.77,2.8,0.010830324909747223
Development,2024-01-06,2024,1,22559,Turbo,0.00039156,0.00039715,0.01427622841965466
Development,2024-01-06,2024,1,16935,CatCoin Cash,1.61221e-10,7.7574e-11,-0.5188343950229808
Development,2024-01-06,2024,1,22569,Datamall Coin,0.125512,0.103911,-0.17210306584230994
Development,2024-01-06,2024,1,16940,Taki,0.0496655,0.023013,-0.5366401224189831
Development,2024-01-06,2024,1,16945,ApeX,0.326793,1.28,2.916852564161411
Development,2024-01-06,2024,1,22586,Openfabric AI,0.184921,0.162145,-0.12316610877077233
Development,2024-01-06,2024,1,22587,Comsats,0.0247202,0.0327468,0.32469802024255456
Development,2024-01-06,2024,1,22589,SophiaVerse,0.085674,0.077629,-0.09390246749305503
Development,2024-01-06,2024,1,18496,Aerarium Fi,9.7,8.65,-0.10824742268041226
Development,2024-01-06,2024,1,24643,Coq Inu,1.83e-06,1.38e-06,-0.24590163934426237
Development,2024-01-06,2024,1,22599,MEME (Ordinals),49.39,33.95,-0.31261388945130586
Development,2024-01-06,2024,1,22600,Pika Protocol,0.374426,0.364937,-0.02534279136598412
Development,2024-01-06,2024,1,22602,f(x) Protocol,84.35,78.42,-0.07030231179608765
Development,2024-01-06,2024,1,16458,Paragen,0.0361393,0.0298962,-0.17275099407016734
Development,2024-01-06,2024,1,21068,Cheelee,15.25,15.1,-0.009836065573770515
Development,2024-01-06,2024,1,1103,Gnosis,197.49,185.52,-0.06061066383108005
Development,2024-01-06,2024,1,10321,WOO Network,0.417379,0.389577,-0.06661092196780383
Development,2024-01-06,2024,1,24663,Rocky the dog,0.00014873,0.0038427,24.83675115981981
Development,2024-01-06,2024,1,22628,Champignons of Arborethia,0.00341214,0.00259141,-0.24053233454664813
Development,2024-01-06,2024,1,10341,CropperFinance,0.0119668,0.00810193,-0.3229660393756058
Development,2024-01-06,2024,1,1128,IRISnet,0.0317393,0.0284266,-0.10437218212121875
Development,2024-01-06,2024,1,621,Cardano,0.604204,0.523814,-0.13305108870513926
Development,2024-01-06,2024,1,1135,LBRY Credits,0.00449416,0.00588797,0.31013804581946364
Development,2024-01-06,2024,1,121,Aeternity,0.0227477,0.0209914,-0.07720780562430482
Development,2024-01-06,2024,1,23161,Dor,0.0315901,0.0381773,0.2085210239916934
Development,2024-01-06,2024,1,21630,PodFast,0.141243,0.09695,-0.3135943020185072
Development,2024-01-06,2024,1,22668,Mintra,0.0013467,0.00098257,-0.2703868716120887
Development,2024-01-06,2024,1,659,ChainLink,15.23,13.52,-0.11227839789888383
Development,2024-01-06,2024,1,22677,BANK (Ordinals),0.0304249,0.0160679,-0.471883227225069
Development,2024-01-06,2024,1,19609,KLEVA,0.129381,0.105041,-0.1881265409913357
Development,2024-01-06,2024,1,22681,SuiPad,0.112466,0.124285,0.10508953817153638
