category,date,year,week,id_project,project_name,start_price,end_price,performance
General,2024-01-06,2024,1,769,Cosmos,10.79,9.92,-0.08063021316033357
General,2024-01-06,2024,1,3844,Trust Wallet Token,1.25,1.11,-0.11199999999999992
General,2024-01-06,2024,1,3078,Ontology Gas,0.363653,0.338564,-0.0689915936345913
General,2024-01-06,2024,1,8839,Internet Computer,11.16,12.13,0.0869175627240144
General,2024-01-06,2024,1,1032,Zilliqa,0.0251522,0.0226189,-0.10071882380070128
General,2024-01-06,2024,1,907,Decentraland,0.516663,0.45497,-0.11940665385367251
General,2024-01-06,2024,1,1036,Polygon,0.960642,0.828885,-0.13715515249177115
General,2024-01-06,2024,1,5900,Near,3.7,3.51,-0.05135135135135145
General,2024-01-06,2024,1,5518,Avalanche,39.65,34.67,-0.1255989911727616
General,2024-01-06,2024,1,659,ChainLink,15.23,13.52,-0.11227839789888383
General,2024-01-06,2024,1,147,Algorand,0.224059,0.189645,-0.1535934731476977
General,2024-01-06,2024,1,5395,Uniswap,7.45,6.38,-0.14362416107382553
General,2024-01-06,2024,1,8477,Mina Protocol (IOU),1.44,1.11,-0.22916666666666657
General,2024-01-06,2024,1,15776,Astar,0.132695,0.14083,0.06130600248690608
General,2024-01-06,2024,1,3747,Solana,103.6,94.43,-0.0885135135135134
General,2024-01-06,2024,1,1060,GXChain,2.23,0.30866,-0.8615874439461884
General,2024-01-06,2024,1,6569,The Graph,0.177932,0.171799,-0.034468223815839756
General,2024-01-06,2024,1,5674,PancakeSwap,3.52,2.95,-0.16193181818181815
General,2024-01-06,2024,1,10410,Moonriver,27.91,24.18,-0.1336438552490147
General,2024-01-06,2024,1,1069,Hedera Hashgraph,0.086854,0.079579,-0.08376125451907804
General,2024-01-06,2024,1,10418,The Open Network,2.35,2.18,-0.07234042553191486
General,2024-01-06,2024,1,1081,Harmony,0.0192132,0.0170219,-0.11405179772239919
General,2024-01-06,2024,1,1210,Matrix AI Network,0.0215596,0.0203267,-0.057185662071652626
General,2024-01-06,2024,1,7102,Flow - Dapper Labs,0.893062,0.820262,-0.08151729667145168
General,2024-01-06,2024,1,1087,Kava,0.87354,0.779778,-0.10733566865856173
General,2024-01-06,2024,1,1090,IoTeX,0.050264,0.0427211,-0.15006565335031047
General,2024-01-06,2024,1,6723,Lido DAO,2.76,3.16,0.1449275362318842
General,2024-01-06,2024,1,1094,Fetch.ai,0.690926,0.65592,-0.05066533897986194
General,2024-01-06,2024,1,18126,Optimism,3.66,3.24,-0.11475409836065571
General,2024-01-06,2024,1,15951,BitTorrent,1.18e-06,1.07e-06,-0.09322033898305086
General,2024-01-06,2024,1,4688,Polkadot,8.31,7.17,-0.13718411552346577
General,2024-01-06,2024,1,978,Ethereum,2300.18,2242.24,-0.02518933300872108
General,2024-01-06,2024,1,979,XRP,0.624151,0.568117,-0.08977635219682421
General,2024-01-06,2024,1,981,Litecoin,73.15,65.51,-0.10444292549555707
General,2024-01-06,2024,1,2391,Klaytn,0.2332,0.189854,-0.1858747855917667
General,2024-01-06,2024,1,984,TRON,0.1059,0.103885,-0.019027384324834647
General,2024-01-06,2024,1,345,Binance Coin,314.97,307.1,-0.024986506651427133
General,2024-01-06,2024,1,985,Tezos,1.017,0.924132,-0.09131563421828905
General,2024-01-06,2024,1,986,Monero,165.56,153.77,-0.07121285334621884
General,2024-01-06,2024,1,983,Stellar,0.133472,0.119545,-0.10434398225845128
General,2024-01-06,2024,1,988,OKB,55.11,54.55,-0.010161495191435353
General,2024-01-06,2024,1,1118,VeThor Token,0.00240109,0.00226826,-0.05532070851155101
General,2024-01-06,2024,1,987,LEO Token,3.96,4.03,0.01767676767676775
General,2024-01-06,2024,1,4696,Curve DAO Token,0.622368,0.54498,-0.12434443930279193
General,2024-01-06,2024,1,994,VeChain,0.0362504,0.0297698,-0.1787731997440029
General,2024-01-06,2024,1,995,Ontology,0.243635,0.259392,0.06467461571613282
General,2024-01-06,2024,1,996,Maker,1588.82,1742.58,0.09677622386425146
General,2024-01-06,2024,1,4708,SAND,0.580164,0.503506,-0.13213160416709757
General,2024-01-06,2024,1,998,Dogecoin,0.090406,0.080938,-0.1047275623299339
General,2024-01-06,2024,1,18408,Kaspa,0.11756,0.107239,-0.08779346716570259
General,2024-01-06,2024,1,621,Cardano,0.604204,0.523814,-0.13305108870513926
