category,date,year,week,id_project,project_name,start_price,end_price,performance
General,2024-01-13,2024,1,769,Cosmos,9.92,10.27,0.03528225806451609
General,2024-01-20,2024,2,769,Cosmos,10.27,9.77,-0.04868549172346641
General,2024-01-27,2024,3,769,Cosmos,9.77,9.69,-0.008188331627430918
General,2024-02-03,2024,4,769,Cosmos,9.69,9.14,-0.056759545923632505
General,2024-02-10,2024,5,769,Cosmos,9.14,10.04,0.09846827133479195
General,2024-02-17,2024,6,769,Cosmos,10.04,10.23,0.01892430278884475
General,2024-02-24,2024,7,769,Cosmos,10.23,10.4,0.01661779081133919
General,2024-03-02,2024,8,769,Cosmos,10.4,12.08,0.1615384615384615
General,2024-03-09,2024,9,769,Cosmos,12.08,13.5,0.11754966887417218
General,2024-03-16,2024,10,769,Cosmos,13.5,11.9,-0.1185185185185185
General,2024-03-23,2024,11,769,Cosmos,11.9,11.5,-0.03361344537815129
General,2024-03-30,2024,12,769,Cosmos,11.5,12.39,0.07739130434782614
General,2024-04-06,2024,13,769,Cosmos,12.39,11.1,-0.10411622276029063
General,2024-01-13,2024,1,3844,Trust Wallet Token,1.11,1.16,0.04504504504504488
General,2024-01-20,2024,2,3844,Trust Wallet Token,1.16,1.11,-0.04310344827586192
General,2024-01-27,2024,3,3844,Trust Wallet Token,1.11,1.14,0.027027027027026848
General,2024-02-03,2024,4,3844,Trust Wallet Token,1.14,1.12,-0.01754385964912263
General,2024-02-10,2024,5,3844,Trust Wallet Token,1.12,1.16,0.035714285714285546
General,2024-02-18,2024,6,3844,Trust Wallet Token,1.16,1.33,0.1465517241379312
General,2024-02-24,2024,7,3844,Trust Wallet Token,1.33,1.32,-0.0075187969924812095
General,2024-03-02,2024,8,3844,Trust Wallet Token,1.32,1.49,0.12878787878787873
General,2024-03-09,2024,9,3844,Trust Wallet Token,1.49,1.55,0.040268456375838965
General,2024-03-16,2024,10,3844,Trust Wallet Token,1.55,1.35,-0.1290322580645161
General,2024-03-23,2024,11,3844,Trust Wallet Token,1.35,1.38,0.022222222222222077
General,2024-03-30,2024,12,3844,Trust Wallet Token,1.38,1.38,0.0
General,2024-04-06,2024,13,3844,Trust Wallet Token,1.38,1.26,-0.08695652173913036
General,2024-01-13,2024,1,8839,Internet Computer,12.13,12.93,0.06595218466611698
General,2024-01-20,2024,2,8839,Internet Computer,12.93,11.4,-0.11832946635730854
General,2024-01-27,2024,3,8839,Internet Computer,11.4,12.8,0.12280701754385967
General,2024-02-03,2024,4,8839,Internet Computer,12.8,12.7,-0.007812500000000111
General,2024-02-10,2024,5,8839,Internet Computer,12.7,13.35,0.05118110236220476
General,2024-02-17,2024,6,8839,Internet Computer,13.35,13.16,-0.014232209737827678
General,2024-02-24,2024,7,8839,Internet Computer,13.16,12.6,-0.04255319148936174
General,2024-03-02,2024,8,8839,Internet Computer,12.6,13.18,0.04603174603174604
General,2024-03-09,2024,9,8839,Internet Computer,13.18,14.79,0.12215477996965095
General,2024-03-16,2024,10,8839,Internet Computer,14.79,12.27,-0.17038539553752532
General,2024-03-23,2024,11,8839,Internet Computer,12.27,13.59,0.10757946210268951
General,2024-03-30,2024,12,8839,Internet Computer,13.59,18.22,0.34069168506254593
General,2024-04-06,2024,13,8839,Internet Computer,18.22,17.03,-0.06531284302963763
General,2024-01-13,2024,1,1032,Zilliqa,0.0226189,0.0219978,-0.02745933710304212
General,2024-01-20,2024,2,1032,Zilliqa,0.0219978,0.0217344,-0.011973924665193812
General,2024-01-27,2024,3,1032,Zilliqa,0.0217344,0.0207059,-0.047321297114252134
General,2024-02-03,2024,4,1032,Zilliqa,0.0207059,0.0202284,-0.02306105989114208
General,2024-02-10,2024,5,1032,Zilliqa,0.0202284,0.0210893,0.0425589764885012
General,2024-02-18,2024,6,1032,Zilliqa,0.0210893,0.0226886,0.0758346649722846
General,2024-02-24,2024,7,1032,Zilliqa,0.0226886,0.0241445,0.06416878961240445
General,2024-03-02,2024,8,1032,Zilliqa,0.0241445,0.0306108,0.2678166870301726
General,2024-03-09,2024,9,1032,Zilliqa,0.0306108,0.0351023,0.14672925895435607
General,2024-03-16,2024,10,1032,Zilliqa,0.0351023,0.0332744,-0.05207351085256522
General,2024-03-23,2024,11,1032,Zilliqa,0.0332744,0.0334223,0.004444858509845389
General,2024-03-30,2024,12,1032,Zilliqa,0.0334223,0.0375017,0.1220562319170134
General,2024-04-06,2024,13,1032,Zilliqa,0.0375017,0.0329447,-0.12151449134305908
General,2024-01-13,2024,1,907,Decentraland,0.45497,0.47075,0.03468360551245141
